first_day_in_week,last_day_in_week,ROBO_main_symb_weekly_mean_diff,PTX.TA_weekly_mean_diff_0.4,SPNTC.TA_weekly_mean_diff_0.44,BONS.TA_weekly_mean_diff_0.49
2019-03-31,2019-04-06,-0.5599999427795381,-1.0200004577636705,-4.819995117187522,0.3799998760223403
2019-04-07,2019-04-13,0.15000104904175515,0.22000045776367044,1.2199951171875227,0.0
2019-04-14,2019-04-20,-0.8799994468688965,-0.04000015258789062,0.7199951171875227,-0.22000074386596538
2019-04-28,2019-05-04,-0.6750017404556239,-0.21999969482421874,-0.2,-0.5400003671646119
2019-05-05,2019-05-11,5.3000013033548985,0.11999969482421875,-2.919995117187523,-0.01999948024749898
2019-05-19,2019-05-25,-1.7400002479553225,0.04000015258789347,0.5199951171875,0.04000008106231547
2019-05-26,2019-06-01,0.5599999427795297,0.1400001525878892,-9.140002441406228,-0.8799999952316284
2019-06-02,2019-06-08,-0.2399992942809945,-0.7599998474121101,-1.4799926757812727,0.04000008106231547
2019-06-09,2019-06-15,-0.22000074386595544,0.0799999237060561,-7.54000244140625,-0.020000338554380902
2019-06-16,2019-06-22,-0.09999990463257973,-0.24000015258789134,-0.2,1.1400002241134644
2019-06-23,2019-06-29,-0.03999948501586914,0.16000022888183524,-3.7199951171875,-0.4600000381469684
2019-06-30,2019-07-06,3.69999885559082,0.3199996948242202,0.9199951171875,0.8600002527236896
2019-07-07,2019-07-13,-1.8199992179870603,-0.41999969482422017,-5.14000244140625,0.37999987602233887
2019-07-14,2019-07-20,-0.4999995231628418,0.03999977111816477,-11.25999755859375,-1.359999775886537
2019-07-21,2019-07-27,3.379998207092291,-0.5399997711181648,3.34000244140625,0.3399997949600234
2019-07-28,2019-08-03,0.480000972747797,0.01999969482422017,-8.74000244140625,-1.0199999809265137
2019-08-04,2019-08-10,-0.8999991416931209,-1.0199996948242194,-2.8199951171875,-0.2399998903274522
2019-08-11,2019-08-17,-0.5800008773803654,-0.2,-43.620007324218726,0.27999997138976906
2019-08-18,2019-08-24,-0.5200004577636719,0.3599998474121094,11.440002441406227,0.8399999141693115
2019-08-25,2019-08-31,0.9000015258789006,-0.1799999237060547,-4.6199951171875,-0.4400002956390381
2019-09-01,2019-09-07,0.999999046325693,0.059999847412109376,-4.3,1.4200001955032349
2019-09-08,2019-09-14,-0.9666681289672946,-0.039999771118164065,-7.6,-1.0600000619888263
2019-09-22,2019-09-28,0.0,-0.07999992370605469,3.6,0.059999823570251465
2019-09-29,2019-10-05,1.0333339373270765,-0.19999980926513672,12.449981689453125,-1.7499998211860657
2019-10-06,2019-10-12,-0.3666679064432685,0.2999998728434245,11.800008138020834,0.30000011126200593
2019-10-13,2019-10-19,0.09999871253967284,0.09999974568684895,11.133321126302084,0.5666663249333675
2019-10-20,2019-10-26,-0.17499923706055398,-0.2666664123535156,-0.5333251953125,-0.39999981721242267
2019-11-03,2019-11-09,-1.6999983787536619,1.0,1.9,-0.6599998474121094
2019-11-10,2019-11-16,4.05999898910523,-0.3,1.07999267578125,-0.30000030994415
2019-12-01,2019-12-07,-1.860001087188732,-0.3,-12.1,0.1999998092651353
2019-12-08,2019-12-14,1.0000014305114804,-0.3,-0.220001220703125,-0.04000008106231832
2019-12-15,2019-12-21,0.4999995231628418,0.12000007629394531,-6.1,-0.059999823570247204
2019-12-22,2019-12-28,2.000000476837158,-0.04000015258789062,9.079998779296886,0.22000014781951477
2019-12-29,2020-01-04,0.039999485015863465,0.04000015258789062,9.080004882812466,0.18000006675720215
2020-01-05,2020-01-11,-0.5399990081787109,-0.12000007629394531,0.9,-0.2600002288818374
2020-01-12,2020-01-18,0.3999996185302848,0.2799999237060547,-3.759997558593727,-0.5000001192092881
2020-01-19,2020-01-25,-0.95999956130982,0.12000007629394531,-5.04000244140625,0.0
2020-01-26,2020-02-01,0.3399991989135742,0.1799999237060547,3.9999999999999774,0.10000050067901753
2020-02-02,2020-02-08,3.7999987602233833,0.0,-7.940002441406227,-0.3200000524520874
2020-02-09,2020-02-15,1.2600016593933163,0.2799999237060554,4.279998779296875,-0.3600001335144043
2020-02-16,2020-02-22,-2.2650017023086546,0.0,-2.5,-0.020000338554380902
2020-02-23,2020-02-29,-2.7437500655651093,-0.3599998474121101,-6.020001220703113,-0.32499969601631307
2020-03-01,2020-03-07,-5.54999911785125,-0.4250001907348633,-1.4499969482422017,-0.3187500759959221
2020-03-08,2020-03-14,-1.0800004005432189,-1.5999999046325684,7.949996948242202,-2.5000001341104507
2020-03-15,2020-03-21,8.920001983642573,-0.4,14.159997558593739,0.18000006675720287
2020-03-22,2020-03-28,-0.6000018119811955,-0.13999996185302735,1.94000244140625,0.3599998354911797
2020-03-29,2020-04-04,2.4666666984558105,0.33999996185302733,16.15999755859375,-0.5399999022483826
2020-04-05,2020-04-11,0.36666790644327796,0.16666666666666666,10.900004069010416,0.6666665275891622
2020-04-12,2020-04-18,7.879998683929437,-0.4333330790201823,-1.73333740234375,2.300000190734861
2020-04-19,2020-04-25,12.533338864644358,18.779999923706054,9.42000732421875,0.6400001049041762
2020-04-26,2020-05-02,5.139999389648449,1.6666666666666667,7.833333333333333,1.0000000397364346
2020-05-03,2020-05-09,0.060000419616699226,1.0800003051757812,-7.24000244140625,-0.5800002813339262
2020-05-10,2020-05-16,19.119997024536133,1.1399993896484375,26.74000244140625,2.760000228881836
2020-05-17,2020-05-23,3.7000000476837163,-5.289959716796875,13.6,-1.3599997758865356
2020-05-24,2020-05-30,2.899992465972929,-2.597475051879883,-7.5500030517578125,-0.2500005066394806
