first_day_in_week,last_day_in_week,ALGS_main_symb_weekly_mean_diff,ECP.TA_weekly_mean_diff_0.35,TGTR.TA_weekly_mean_diff_0.35,ASHO.TA_weekly_mean_diff_0.36,RLCO.TA_weekly_mean_diff_0.36,RMLI.TA_weekly_mean_diff_0.36,FBRT.TA_weekly_mean_diff_0.37,HOD.TA_weekly_mean_diff_0.39,KRUR.TA_weekly_mean_diff_0.42,PTX.TA_weekly_mean_diff_0.55
2019-12-08,2019-12-14,28.0,-25.4,-3.739996337890625,-1.54000244140625,5.8,14.0,-102.0,41.00000381469722,35.4,-0.3
2019-12-15,2019-12-21,-37.0,22.6,-2.420001220703125,1.0800048828125,-0.2,-24.0,-46.0,-7.999992370605469,-24.8,0.12000007629394531
2019-12-22,2019-12-28,70.8,10.0,-3.85999755859375,2.8,-45.0,92.0,118.0,23.99997711181627,0.8,-0.04000015258789062
2019-12-29,2020-01-04,-23.8,-2.0,7.65999755859375,-0.82000732421875,-5.4,86.0,64.0,-3.40000152587877,11.4,0.04000015258789062
2020-01-05,2020-01-11,-13.0,69.2,-2.220001220703125,1.74000244140625,28.6,-24.0,-154.0,-7.79998779296875,-13.4,-0.12000007629394531
2020-01-12,2020-01-18,-34.8,-68.4,6.3,-1.17999267578125,2.2,-76.0,76.0,5.600013732910156,-12.2,0.2799999237060547
2020-01-19,2020-01-25,-18.4,5.4,-4.6,1.6199951171875,-29.2,-4.0,-68.0,13.800010681152344,-9.0,0.12000007629394531
2020-01-26,2020-02-01,-31.6,107.6,1.04000244140625,-3.6800048828125,-8.2,-44.0,-134.0,8.199996948242188,-7.2,0.1799999237060547
2020-02-02,2020-02-08,-7.8,32.8,-0.6,-1.5199951171875,30.0,0.0,52.0,-29.600009918212937,88.4,0.0
2020-02-09,2020-02-15,-5.4,45.8,-0.320001220703125,-0.15999755859375,9.6,-18.0,-76.0,9.200000762939363,-79.8,0.2799999237060554
2020-02-16,2020-02-22,-29.0,-69.8,-0.75999755859375,-2.85999755859375,-3.6,154.0,-20.0,-8.600006103515488,-48.8,0.0
2020-02-23,2020-02-29,-30.25,-86.6,-5.4,-12.52000732421875,-64.0,-224.0,-152.0,-25.400009155273438,-90.4,-0.3599998474121101
2020-03-01,2020-03-07,-111.0,-112.5,-3.5,-8.324996948242188,-59.0,160.0,-92.5,-22.999978065490723,-20.0,-0.4250001907348633
2020-03-08,2020-03-14,-30.9199951171875,-242.75,-30.175003051757812,-36.42500305175781,-85.25,-532.5,-363.25,-82.50000476837158,-280.25,-1.5999999046325684
2020-03-15,2020-03-21,12.9199951171875,48.2,1.920001220703125,-20.45999755859375,-35.2,412.0,44.4,-11.35999679565432,-20.4,-0.4
2020-03-22,2020-03-28,90.2,215.4,7.979998779296875,7.540002441406227,93.8,-14.0,380.2,2.1799850463867188,269.8,-0.13999996185302735
2020-03-29,2020-04-04,19.33333333333333,-131.6,12.55999755859375,25.759997558593774,-7.2,0.0,-62.0,22.580013275146463,-75.0,0.33999996185302733
2020-04-05,2020-04-11,50.33333333333334,170.33333333333334,5.533335367838561,53.633341471354164,20.0,350.0,300.0,34.333324432373125,232.66666666666666,0.16666666666666666
2020-04-12,2020-04-18,-11.0,-13.333333333333334,-2.5666605631510606,60.366658528645836,-43.666666666666664,-160.0,-170.0,5.3333282470703125,-250.66666666666666,-0.4333330790201823
2020-04-19,2020-04-25,172.33333333333337,66.0,11.25999755859375,36.9,36.2,528.0,174.0,21.60000228881836,305.0,18.779999923706054
2020-04-26,2020-05-02,-40.6,68.33333333333333,-2.4666646321614585,-22.333333333333332,-33.666666666666664,-153.33333333333334,-6.666666666666667,-10.666666666666666,141.0,1.6666666666666667
2020-05-03,2020-05-09,-4.4,-25.0,-5.460003662109375,0.2,-16.8,-198.0,-94.0,0.6,-174.0,1.0800003051757812
2020-05-10,2020-05-16,-46.4,2.2,3.920001220703125,-7.6,-21.8,-22.0,-30.0,-21.8,-110.2,1.1399993896484375
2020-05-17,2020-05-23,-36.0,75.4,-2.779998779296875,15.6,18.0,88.0,-138.0,5.2,100.2,-5.289959716796875
2020-05-24,2020-05-30,21.0,260.5,0.5,-5.5,39.0,-47.5,-241.25,5.5,-41.25,-2.597475051879883
2020-05-31,2020-06-06,-18.25,4.2,-4.520001220703113,-6.0,-22.8,-396.0,-1.0,15.8,23.0,-4.152059936523438
2020-06-07,2020-06-13,-19.8,-35.25,-0.9499969482422159,-4.0,18.25,47.5,-125.5,-18.75,-37.5,0.350000381469723
2020-06-14,2020-06-20,-17.8,78.0,3.9200012207031363,16.6,-12.2,-158.0,-116.6,-5.8,9.6,-0.9400001525878878
2020-06-21,2020-06-27,33.19999237060547,-26.0,-2.9200012207031363,-13.6,-9.4,10.0,-162.0,4.2,-11.6,0.15999984741210938
2020-06-28,2020-07-04,-38.99999237060547,25.99993896484375,-4.020000839233387,0.20000457763671875,3.4000152587890624,3.9998779296882274,45.399993896484375,-10.600009155273437,115.00003051757812,0.04000015258789062
2020-07-05,2020-07-11,-9.8,-122.39993896484376,-1.3399997711181642,18.599995422363282,1.7999847412109375,82.00012207031178,-71.59999389648438,-7.399990844726562,110.99996948242188,0.3
2020-07-12,2020-07-18,32.6,282.6,-2.680001831054682,-5.4,6.6,80.0,121.4,-0.8,-16.0,-0.8599998474121108
2020-07-19,2020-07-25,-14.25,-46.2,-1.0599975585937613,-6.6,1.0,22.0,71.2,-2.4,-6.0,-0.22000045776367044
