first_day_in_week,last_day_in_week,ALGS_main_symb_weekly_mean_diff,ECP.TA_weekly_mean_diff_0.35,TGTR.TA_weekly_mean_diff_0.35,ASHO.TA_weekly_mean_diff_0.36,RLCO.TA_weekly_mean_diff_0.36,RMLI.TA_weekly_mean_diff_0.36,FBRT.TA_weekly_mean_diff_0.37,HOD.TA_weekly_mean_diff_0.39,KRUR.TA_weekly_mean_diff_0.42,PTX.TA_weekly_mean_diff_0.55
2019-03-10,2019-03-16,27.2,23.8,-2.3400024414062273,6.0,-1.0,60.0,24.0,7.999992370605469,-84.2,-0.5799995422363281
2019-03-17,2019-03-23,-24.2,-25.0,-2.0400024414062727,-10.85999755859375,-3.2,-114.0,-50.0,-0.7999992370605469,-37.2,0.0
2019-03-24,2019-03-30,4.8,15.0,-0.739990234375,-5.5800048828125,1.2,-18.0,-18.0,-11.599998474121094,-29.2,-0.6599998474121094
2019-03-31,2019-04-06,-18.6,-6.8,-2.8800048828125,-0.8799926757812727,27.6,62.0,-68.2,-40.19998550415039,-6.6,-1.0200004577636705
2019-04-07,2019-04-13,-34.8,91.8,-3.6400024414062386,-5.640002441406227,27.2,66.0,-10.0,-3.200016021728561,82.4,0.22000045776367044
2019-04-14,2019-04-20,26.2,21.8,-3.159997558593761,-9.74000244140625,-33.4,94.0,-35.4,-4.200000762939408,6.4,-0.04000015258789062
2019-04-21,2019-04-27,-27.2,2.8,0.8,5.180004882812478,-23.4,-20.0,94.6,1.4000129699706576,41.4,-0.24000015258789062
2019-04-28,2019-05-04,12.2,-16.4,-2.25999755859375,-6.060009765624978,22.6,-142.0,-13.0,3.7999916076660156,23.4,-0.21999969482421874
2019-05-05,2019-05-11,-2.2,-14.0,-2.34000244140625,3.8800048828125,-9.2,40.0,-14.2,5.7999992370606375,-38.4,0.11999969482421875
2019-05-12,2019-05-18,-7.0,27.6,-13.9,-6.2800048828125,10.0,-8.0,30.6,0.2000045776366733,23.4,-0.08000030517578267
2019-05-19,2019-05-25,0.0,6.0,6.0599975585937615,1.24000244140625,0.0,-76.0,-22.2,7.999992370605469,-31.4,0.04000015258789347
2019-05-26,2019-06-01,3.2,-43.8,-2.379998779296886,-1.4,9.8,30.0,-41.2,-3.599987030029342,-2.4,0.1400001525878892
2019-06-02,2019-06-08,-46.8,-16.2,-4.979998779296875,-0.3,-9.8,-104.0,-125.4,-13.400001525878816,-52.2,-0.7599998474121101
2019-06-09,2019-06-15,20.6,6.2,10.44000244140625,4.25999755859375,-2.0,-6.0,69.2,-4.400005340576217,5.6,0.0799999237060561
2019-06-16,2019-06-22,-36.4,-12.8,-9.3,-5.5,-0.8,100.0,-82.4,-7.000007629394531,2.6,-0.24000015258789134
2019-06-23,2019-06-29,19.8,-18.4,-0.220001220703125,1.02000732421875,4.2,16.0,-7.2,13.200016021728562,23.4,0.16000022888183524
2019-06-30,2019-07-06,-30.8,59.0,-1.9600036621093637,2.24000244140625,7.0,78.0,90.0,5.1999855041503,-5.0,0.3199996948242202
2019-07-07,2019-07-13,-22.4,-52.0,-2.1199951171875115,-2.44000244140625,-32.2,-26.0,68.6,-12.199993133544876,56.8,-0.41999969482422017
2019-07-14,2019-07-20,-8.4,32.6,-4.7,1.7199951171875,-2.4,-134.0,45.6,-3.4000015258789062,-26.0,0.03999977111816477
2019-07-21,2019-07-27,7.8,21.2,0.279998779296875,-0.34000244140625,29.8,50.0,18.6,7.800006866455033,-11.6,-0.5399997711181648
2019-07-28,2019-08-03,-14.8,79.4,-2.420001220703125,-2.7199951171875,-3.0,12.0,34.0,-7.20001220703125,21.8,0.01999969482422017
2019-08-04,2019-08-10,-41.6,40.6,-4.2,3.0,-8.0,22.0,-91.0,-8.79999160766597,-31.6,-1.0199996948242194
2019-08-11,2019-08-17,-17.0,47.4,-5.44000244140625,-2.6199951171875,10.2,-62.0,65.0,4.799995422363236,-14.0,-0.2
2019-08-18,2019-08-24,15.0,12.8,5.34000244140625,2.6199951171875,2.8,-16.0,90.0,10.200004577636765,22.2,0.3599998474121094
2019-08-25,2019-08-31,-36.4,-41.0,5.15999755859375,-5.5800048828125,11.8,52.0,324.0,-6.000003814697266,-5.8,-0.1799999237060547
2019-09-01,2019-09-07,20.2,87.0,-5.379998779296875,-2.37999267578125,-23.2,74.0,136.0,7.20001220703125,-6.2,0.059999847412109376
2019-09-08,2019-09-14,-19.75,-21.2,-3.579998779296875,6.1199951171875,-2.0,80.0,132.0,15.799999237060547,10.6,-0.039999771118164065
2019-09-15,2019-09-21,-31.4,-69.0,1.0749969482421875,-5.7249908447265625,21.5,97.5,120.0,11.500000953674316,4.5,-0.5750002861022949
2019-09-22,2019-09-28,-24.5,92.4,-1.939996337890625,6.65999755859375,-1.0,8.0,-72.0,6.399993896484375,7.4,-0.07999992370605469
2019-09-29,2019-10-05,-25.66666666666667,-44.5,-7.4000091552734375,-11.050018310546875,-33.5,-50.0,-295.0,13.99998664855957,-64.0,-0.19999980926513672
2019-10-06,2019-10-12,-27.33333333333333,-10.333333333333334,-3.26666259765625,-2.3666585286458335,24.666666666666668,133.33333333333334,-13.333333333333334,-11.666647593180338,49.333333333333336,0.2999998728434245
2019-10-13,2019-10-19,0.0,95.33333333333333,3.4666646321614585,8.166666666666666,0.3333333333333333,-160.0,16.666666666666668,-8.000024159749273,35.0,0.09999974568684895
2019-10-20,2019-10-26,-9.2,-83.33333333333333,0.16666666666666666,3.0333251953125,-32.333333333333336,76.66666666666667,-240.0,-3.9999961853028103,31.333333333333332,-0.2666664123535156
2019-10-27,2019-11-02,57.2,30.6,4.64000244140625,-0.15999755859375,5.0,-6.0,144.0,-20.200004577636765,6.0,0.07999992370605469
2019-11-03,2019-11-09,-6.8,-28.6,1.95999755859375,5.64000244140625,18.0,20.0,-146.0,-15.799999237060547,-27.4,1.0
2019-11-10,2019-11-16,-25.2,20.8,3.360003662109375,-5.2199951171875,-2.6,-76.0,-22.0,4.8000144958497,-31.6,-0.3
2019-11-17,2019-11-23,1.8,86.2,10.11999511718751,-3.8800048828125,19.2,186.0,158.0,0.5999946594237826,85.8,-0.03999977111816477
2019-11-24,2019-11-30,-18.0,8.0,-7.0599975585937615,6.0800048828125,17.0,-90.0,158.0,12.999992370605515,-47.2,-0.14000015258788992
2019-12-01,2019-12-07,10.0,-27.2,-4.14000244140625,-6.0800048828125,14.2,-12.0,-116.0,5.0,-9.0,-0.3
