first_day_in_week,last_day_in_week,AVIV_main_symb_weekly_mean_diff,SLARL.TA_weekly_mean_diff_0.4_INT_SKBN.TA_weekly_mean_diff_0.38_corr_0.73,SLARL.TA_weekly_mean_diff_0.4_INT_ZUR.TA_weekly_mean_diff_0.51_corr_0.75,SMT.TA_weekly_mean_diff_0.4_INT_ARAD.TA_weekly_mean_diff_0.41_corr_0.73,SMT.TA_weekly_mean_diff_0.4_INT_AZRM.TA_weekly_mean_diff_0.49_corr_0.73,SNCM.TA_weekly_mean_diff_0.41_INT_KNFM.TA_weekly_mean_diff_0.51_corr_0.72,SNCM.TA_weekly_mean_diff_0.41_INT_SLARL.TA_weekly_mean_diff_0.4_corr_0.72,SNEL.TA_weekly_mean_diff_0.49_INT_NTGR.TA_weekly_mean_diff_0.43_corr_0.73,SRAC.TA_weekly_mean_diff_0.45_INT_ANLT.TA_weekly_mean_diff_0.5_corr_0.74,SRAC.TA_weekly_mean_diff_0.45_INT_NAWI.TA_weekly_mean_diff_0.41_corr_0.77,SRAC.TA_weekly_mean_diff_0.45_INT_OPAL.TA_weekly_mean_diff_0.61_corr_0.75,UNON.TA_weekly_mean_diff_0.42_INT_DSCT.TA_weekly_mean_diff_0.37_corr_0.75,ZMH.TA_weekly_mean_diff_0.46_INT_SKLN.TA_weekly_mean_diff_0.46_corr_0.74,ZUR.TA_weekly_mean_diff_0.51_INT_BLSR.TA_weekly_mean_diff_0.45_corr_0.77,ZUR.TA_weekly_mean_diff_0.51_INT_MGDL.TA_weekly_mean_diff_0.41_corr_0.72,ANLT.TA_weekly_mean_diff_0.5_INT_SKLN.TA_weekly_mean_diff_0.46_corr_0.78,BLSR.TA_weekly_mean_diff_0.45_INT_NSTR.TA_weekly_mean_diff_0.54_corr_0.79,ELCRE.TA_weekly_mean_diff_0.42_INT_AZRM.TA_weekly_mean_diff_0.49_corr_0.79,GOHO.TA_weekly_mean_diff_0.46_INT_ISRS.TA_weekly_mean_diff_0.43_corr_0.8,MLSR.TA_weekly_mean_diff_0.43_INT_MNRT.TA_weekly_mean_diff_0.42_corr_0.79,NSTR.TA_weekly_mean_diff_0.54_INT_GZT.TA_weekly_mean_diff_0.49_corr_0.94,NSTR.TA_weekly_mean_diff_0.54_INT_MLSR.TA_weekly_mean_diff_0.43_corr_0.83,NSTR.TA_weekly_mean_diff_0.54_INT_MNRT.TA_weekly_mean_diff_0.42_corr_0.78,NSTR.TA_weekly_mean_diff_0.54_INT_SKLN.TA_weekly_mean_diff_0.46_corr_0.8,OPAL.TA_weekly_mean_diff_0.61_INT_MNRV.TA_weekly_mean_diff_0.47_corr_0.8,PHOE.TA_weekly_mean_diff_0.48_INT_HARL.TA_weekly_mean_diff_0.43_corr_0.81,SLARL.TA_weekly_mean_diff_0.4_INT_AURA.TA_weekly_mean_diff_0.44_corr_0.79,SLARL.TA_weekly_mean_diff_0.4_INT_BLSR.TA_weekly_mean_diff_0.45_corr_0.83,SLARL.TA_weekly_mean_diff_0.4_INT_MNRT.TA_weekly_mean_diff_0.42_corr_0.81,SLARL.TA_weekly_mean_diff_0.4_INT_NSTR.TA_weekly_mean_diff_0.54_corr_0.86,SLARL.TA_weekly_mean_diff_0.4_INT_NTGR.TA_weekly_mean_diff_0.43_corr_0.82,SMT.TA_weekly_mean_diff_0.4_INT_MNRT.TA_weekly_mean_diff_0.42_corr_0.78,SNCM.TA_weekly_mean_diff_0.41_INT_SKLN.TA_weekly_mean_diff_0.46_corr_0.78
2019-04-21,2019-04-27,5.0,-0.06918305665254593,0.07998046875,480.0,10.5999755859375,3.952003173828125,0.01519630126655102,-11.152080078124813,1.2400000000000002,84.32,10.54,4.64,102.0,64.0,8.639990234375,1.0,176.0,1.2719970703124999,-187.2,-14.4,28.6,-396.0,4.4,55.0,-183.6,-1.4252001953124909,-0.012305039539933092,0.319921875,0.007998046875000001,0.21994628906250002,-0.013596777319907915,4.0,3.8000030517578125
2019-04-28,2019-05-04,6.0,-0.06600219726562499,-1.62805419921875,5076.8,55.631962890625,27.879989624023537,-0.36081187743693716,3.039990234375023,734.1600000000001,563.04,98.80796630859375,-0.8,-18.4,1465.2,-14.948009033203125,-489.44,12276.0,-13.90799072265625,2668.0,70.71987304687501,186.0,6448.0,42.159924316406254,-1140.8,708.8397583007812,142.00790527343662,-0.039292873032392324,-43.561450195312496,-0.1496047119051218,-13.640454101562499,-0.3344100585579897,10.3359814453125,-30.175988769531354
2019-05-05,2019-05-11,-7.2,0.62400390625,-3.9000244140625,-324.79999999999995,1.9040051269531089,0.0,-0.21840041503310645,-3.2,-69.0,285.2,-14.260028076171876,-3.84,-16.92,-220.0,4.299987792968807,28.200000000000003,1108.8,-16.04804321289049,425.59999999999997,-2.9601806640625,347.76,3729.6,-0.5040307617187499,236.88,-11.160021972656251,-14.803125,0.20124259278178216,34.32021484375,-0.015601049810647964,19.656123046875,0.62400390625,-0.028001708984375,-2.6319885253906783
2019-05-12,2019-05-18,-15.6,10.29599365234375,-5.720000000000001,187.2,12.168028564452857,9.471990966796918,-3.32799682617189,-2.3800415039062504,31.200000000000003,-3.0,-0.060003662109374994,-18.24,-99.64,-145.20000000000002,-1.6720080566406001,97.76,-343.2,-2.600006103515568,-0.0,0.64000244140625,-24.96,20.8,0.8320031738281249,-48.88,5.24031982421875,1164.409765625,-1.9099542236328124,171.6,-0.41600158691406247,-13.520000000000001,-0.36400634765625006,-3.744014282226562,-12.03198852539068
2019-05-19,2019-05-25,-1.4,-7.7399963378906245,-34.8,-1324.8,-0.288017578125,-2.688001708984359,-1.4400009155273352,-22.440020751953128,1931.5199999999998,2354.0399999999995,90.53999999999999,-0.0,2.76,-1948.8,-13.4559716796875,11.52,2167.2000000000003,0.00800048828125,-1587.6000000000001,63.91988525390625,340.56,4850.400000000001,8.771984252929688,15.48,311.40000000000003,-72.027978515625,-1.1910003662109374,126.0,0.5099990844726563,38.7,-1.9800018310546876,-4.8959912109375,-0.5760003662109341
2019-05-26,2019-06-01,-12.0,141.49993896484375,-62.259973144531244,-256.0,-9.216015624999928,1.3639959716797,3.509188122563096,21.412012939453124,-486.1600000000001,330.40000000000003,11.8,1.0,-104.39999999999999,-1584.0,34.979986572265624,-238.96,3398.4,-23.328039550781064,456.0,-39.0,-28.32,1840.8000000000002,-11.8,-273.76,56.0,-32.782216796875005,8.202470949217773,815.0396484375,-2.829998779296875,133.5759423828125,11.433201977536081,-3.2,-7.191978759765691
2019-06-02,2019-06-08,-7.8,-16.295969238281252,0.7759985351562501,-24.0,-0.15599853515625683,-25.3919775390626,5.354385156258963,3.97600341796875,-452.4,-260.0,23.400000000000002,7.839999999999999,-5.04,-3.6,0.724000244140625,-125.27999999999999,-507.59999999999997,1.2479882812500547,1425.6000000000001,20.27996826171875,163.56,-733.1999999999999,-21.995965576171873,-101.52,640.8000000000001,87.361083984375,-0.5385431728511387,-69.83986816406251,-3.026389550790191,109.41579345703126,5.5095943359285595,0.467999267578125,-4.96799560546877
2019-06-09,2019-06-15,6.8,28.0799560546875,-27.45595703125,18.8,7.89602294921875,-0.2040020751953125,-0.18720161132514476,5.44,-80.0,-67.0,5.0,11.479999999999999,-252.0,-528.0,-3.5200000000000005,192.0,600.0,6.8880200195312495,1048.0,-12.320068359375,42.0,-560.0,2.20001220703125,120.0,168.0,-1.69404296875,-3.2204656630754647,187.19970703125,0.6864027343690395,31.199951171875,1.247998046875,2.068011474609375,-0.7200073242187499
2019-06-16,2019-06-22,-3.2,-56.543925781249996,1.487998046875,950.4,-2.8800000000000003,4.88798278808599,-1.9343906494230243,21.888013916015627,-10.2,10.0,-2.039996337890625,-14.559999999999999,135.36,12.8,0.48,-95.88,896.0,-2.6,-1090.3999999999999,-74.4799072265625,784.0,2128.0,-27.439965820312498,263.2,138.71975097656252,84.940693359375,2.58465188086035,119.03984375,-3.6455906738340853,104.15986328125,7.142395166009664,-14.111982421875,-4.88798278808599
2019-06-23,2019-06-29,3.6,27.216020507812498,32.4000244140625,285.59999999999997,22.711995849609377,6.336013183593709,-5.702416162118278,-1.1399963378906248,161.6,-4.04,36.36,16.0,258.4,-90.0,-5.0,152.0,324.0,18.703996582031248,-1128.0,81.599853515625,468.0,-1440.0,-18.359967041015626,-342.0,50.4,301.982216796875,2.829168391600251,-116.640087890625,6.609593115225435,-116.640087890625,2.4623939453065393,3.4679937744140625,-16.720034790038955
