first_day_in_week,last_day_in_week,MGOR_main_symb_weekly_mean_diff,PTX.TA_weekly_mean_diff_0.37,SHGR.TA_weekly_mean_diff_0.4,ALRPR.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,12.2,-0.5799995422363281,4.6,64.0
2019-03-17,2019-03-23,-3.4,0.0,27.8,0.0
2019-03-24,2019-03-30,49.4,-0.6599998474121094,-8.6,46.0
2019-03-31,2019-04-06,10.0,-1.0200004577636705,15.2,12.0
2019-04-07,2019-04-13,3.2,0.22000045776367044,1.0,-14.0
2019-04-14,2019-04-20,7.0,-0.04000015258789062,-1.0,90.0
2019-04-21,2019-04-27,-37.2,-0.24000015258789062,4.4,14.0
2019-04-28,2019-05-04,8.4,-0.21999969482421874,-14.4,-70.0
2019-05-05,2019-05-11,26.6,0.11999969482421875,3.4,36.0
2019-05-12,2019-05-18,15.0,-0.08000030517578267,-3.2,18.0
2019-05-19,2019-05-25,48.4,0.04000015258789347,-17.8,64.0
2019-05-26,2019-06-01,7.2,0.1400001525878892,6.8,-164.0
2019-06-02,2019-06-08,34.0,-0.7599998474121101,3.6,-30.0
2019-06-09,2019-06-15,89.4,0.0799999237060561,8.0,148.0
2019-06-16,2019-06-22,152.0,-0.24000015258789134,3.4,90.0
2019-06-23,2019-06-29,-61.2,0.16000022888183524,-2.2,-20.0
2019-06-30,2019-07-06,62.2,0.3199996948242202,-6.0,162.0
2019-07-07,2019-07-13,-37.8,-0.41999969482422017,-5.2,66.0
2019-07-14,2019-07-20,63.8,0.03999977111816477,4.0,-238.0
2019-07-21,2019-07-27,46.6,-0.5399997711181648,-14.8,-34.0
2019-07-28,2019-08-03,72.2,0.01999969482422017,-10.6,76.0
2019-08-04,2019-08-10,-89.8,-1.0199996948242194,-0.2,156.0
2019-08-11,2019-08-17,73.0,-0.2,-3.4,-114.0
2019-08-18,2019-08-24,0.2,0.3599998474121094,17.4,80.0
2019-08-25,2019-08-31,-23.2,-0.1799999237060547,11.2,34.0
2019-09-01,2019-09-07,-33.6,0.059999847412109376,-12.6,0.0
2019-09-08,2019-09-14,67.0,-0.039999771118164065,8.4,36.0
2019-09-15,2019-09-21,50.0,-0.5750002861022949,-4.5,95.0
2019-09-22,2019-09-28,-51.0,-0.07999992370605469,5.2,-10.0
2019-09-29,2019-10-05,118.0,-0.19999980926513672,-6.0,-20.0
2019-10-06,2019-10-12,76.0,0.2999998728434245,8.333333333333334,250.0
2019-10-13,2019-10-19,103.33333333333331,0.09999974568684895,17.333333333333332,-6.666666666666667
2019-10-20,2019-10-26,28.0,-0.2666664123535156,-7.666666666666667,-90.0
2019-10-27,2019-11-02,-31.0,0.07999992370605469,-5.6,20.0
2019-11-03,2019-11-09,-40.6,1.0,-1.8,-102.0
2019-11-10,2019-11-16,69.4,-0.3,-6.2,-54.0
2019-11-17,2019-11-23,65.0,-0.03999977111816477,2.2,52.0
2019-11-24,2019-11-30,-106.2,-0.14000015258788992,-21.6,132.0
2019-12-01,2019-12-07,65.0,-0.3,-1.0,10.0
2019-12-08,2019-12-14,-20.2,-0.3,-0.4,20.0
2019-12-15,2019-12-21,-16.8,0.12000007629394531,13.0,68.0
2019-12-22,2019-12-28,48.4,-0.04000015258789062,-1.4,-42.0
2019-12-29,2020-01-04,-25.0,0.04000015258789062,5.0,60.0
2020-01-05,2020-01-11,50.0,-0.12000007629394531,7.8,44.0
2020-01-12,2020-01-18,-0.2,0.2799999237060547,-4.2,418.0
2020-01-19,2020-01-25,91.0,0.12000007629394531,2.4,-84.0
2020-01-26,2020-02-01,-8.2,0.1799999237060547,-9.8,-220.0
2020-02-02,2020-02-08,247.4,0.0,-17.2,-62.0
2020-02-09,2020-02-15,-44.0,0.2799999237060554,14.8,-30.0
2020-02-16,2020-02-22,-72.0,0.0,-8.8,166.0
2020-02-23,2020-02-29,-72.5,-0.3599998474121101,-20.0,-438.0
2020-03-01,2020-03-07,-512.5,-0.4250001907348633,-31.074996948242188,-890.0
2020-03-08,2020-03-14,-54.8,-1.5999999046325684,-38.67500305175781,-1003.0
2020-03-15,2020-03-21,82.2,-0.4,17.15999755859375,-32.6
2020-03-22,2020-03-28,182.0,-0.13999996185302735,35.84000244140625,376.8
2020-03-29,2020-04-04,17.666666666666668,0.33999996185302733,3.4,184.2
2020-04-05,2020-04-11,-240.33333333333331,0.16666666666666666,-7.666666666666667,-122.66666666666667
2020-04-12,2020-04-18,-10.6,-0.4333330790201823,8.0,-285.0
2020-04-19,2020-04-25,358.0,18.779999923706054,19.8,36.2
2020-04-26,2020-05-02,4.0,1.6666666666666667,12.333333333333334,324.0
2020-05-03,2020-05-09,-164.0,1.0800003051757812,-10.2,-190.2
2020-05-10,2020-05-16,63.2,1.1399993896484375,-15.8,-251.2
2020-05-17,2020-05-23,-4.0,-5.289959716796875,14.0,81.4
2020-05-24,2020-05-30,-78.2,-2.597475051879883,-11.5,0.0
2020-05-31,2020-06-06,72.75,-4.152059936523438,2.2,-16.0
2020-06-07,2020-06-13,60.0,0.350000381469723,-11.75,181.25
2020-06-14,2020-06-20,-197.2,-0.9400001525878878,-22.6,110.4
2020-06-21,2020-06-27,77.40004272460938,0.15999984741210938,9.2,-109.4
2020-06-28,2020-07-04,-146.20004272460938,0.04000015258789062,3.400002288818359,-70.39993286132812
2020-07-05,2020-07-11,46.0,0.3,-3.2000022888183595,-21.800067138671874
2020-07-12,2020-07-18,41.8,-0.8599998474121108,45.0,3.2
2020-07-19,2020-07-25,22.75,-0.22000045776367044,16.8,-2.6
