first_day_in_week,last_day_in_week,EQTL_main_symb_weekly_mean_diff,ORL.TA_weekly_mean_diff_0.35,ALRPR.TA_weekly_mean_diff_0.36,ASGR.TA_weekly_mean_diff_0.37,PCBT.TA_weekly_mean_diff_0.38,MCTC.TA_weekly_mean_diff_0.39,PIU.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,125.0,-1.9799987792968807,64.0,0.67999267578125,1.379998779296875,7.599998474121094,5.1199951171875
2019-03-17,2019-03-23,4.0,-0.2,0.0,12.34000244140625,7.8,-1.1999969482421875,3.4
2019-03-24,2019-03-30,202.0,-0.3,46.0,-4.64000244140625,-0.6599975585937727,101.5999984741211,0.75999755859375
2019-03-31,2019-04-06,38.0,-0.7399993896484375,12.0,2.3800048828125,1.4799926757812727,7.1999969482421875,15.64000244140625
2019-04-07,2019-04-13,-54.0,0.9,-14.0,2.5800048828125,3.1800048828125,9.800003051757812,-13.0
2019-04-14,2019-04-20,-32.0,0.3,90.0,-3.52000732421875,1.7,1.1999969482421875,7.7
2019-04-21,2019-04-27,-108.0,-0.220001220703125,14.0,-2.84000244140625,0.3199951171875,-7.0,2.680004882812477
2019-04-28,2019-05-04,14.0,-0.3399993896484375,-70.0,-3.6199951171875,3.42000732421875,-34.399993896484375,-10.2
2019-05-05,2019-05-11,32.0,0.1,36.0,3.9199951171875,-0.85999755859375,6.1999969482421875,1.7599975585937728
2019-05-12,2019-05-18,-20.0,0.9600006103515625,18.0,0.660009765625,0.4199951171875,-39.80000305175781,-6.84000244140625
2019-05-19,2019-05-25,164.0,-1.7600006103515624,64.0,16.1199951171875,0.9199951171875,13.199996948242188,-8.2800048828125
2019-05-26,2019-06-01,-60.0,1.0,-164.0,1.8800048828125,0.72000732421875,-15.0,-2.35999755859375
2019-06-02,2019-06-08,24.0,-0.3,-30.0,-1.02000732421875,-0.85999755859375,-6.0,-12.7199951171875
2019-06-09,2019-06-15,-48.0,-0.1399993896484375,148.0,-5.54000244140625,-0.52000732421875,-3.0,2.5
2019-06-16,2019-06-22,10.0,1.5399993896484374,90.0,0.7800048828125,-0.0199951171875,-5.999992370605469,0.7
2019-06-23,2019-06-29,-68.0,-0.2,-20.0,-2.14000244140625,-7.52000732421875,12.400001525878906,0.27999267578125
2019-06-30,2019-07-06,-18.0,-0.4799987792968807,162.0,3.24000244140625,2.060009765625,-11.000000000000023,9.22000732421875
2019-07-07,2019-07-13,16.0,-0.12000122070311932,66.0,-3.9199951171875,0.7,-10.600006103515625,-0.34000244140625
2019-07-14,2019-07-20,100.0,0.2,-238.0,-3.060009765625,-3.8400024414062726,0.600006103515625,1.95999755859375
2019-07-21,2019-07-27,4.0,1.3200012207031193,-34.0,5.14000244140625,-0.6800048828124545,-5.0,5.1800048828125
2019-07-28,2019-08-03,-76.0,0.27999877929688066,76.0,2.54000244140625,-4.419995117187545,-11.400001525878883,-5.82000732421875
2019-08-04,2019-08-10,-40.0,0.0,156.0,1.3800048828125,-4.540002441406227,2.7999954223632586,-3.47999267578125
2019-08-11,2019-08-17,10.0,-2.5,-114.0,6.539990234375,-2.25999755859375,-6.9999999999999885,4.07999267578125
2019-08-18,2019-08-24,-48.0,1.1399993896484375,80.0,4.560009765625,2.0199951171875115,-9.0,32.3800048828125
2019-08-25,2019-08-31,-94.0,-1.4199981689453125,34.0,-1.4,-4.879998779296886,-2.7999954223632697,-5.8
2019-09-01,2019-09-07,22.0,0.779998779296875,0.0,-4.0800048828125,-5.0,-2.5999984741210938,-2.7
2019-09-08,2019-09-14,-71.25,-1.4,36.0,2.9,-5.079998779296875,-6.200004577636719,6.5
