first_day_in_week,last_day_in_week,EQTL_main_symb_weekly_mean_diff,ORL.TA_weekly_mean_diff_0.35,ALRPR.TA_weekly_mean_diff_0.36,ASGR.TA_weekly_mean_diff_0.37,PCBT.TA_weekly_mean_diff_0.38,MCTC.TA_weekly_mean_diff_0.39,PIU.TA_weekly_mean_diff_0.39
2019-09-15,2019-09-21,109.0,2.25,95.0,-0.725006103515625,2.6750030517578125,2.2500038146972656,28.0
2019-09-22,2019-09-28,-85.0,0.4600006103515625,-10.0,6.6800048828125,3.579998779296875,13.79999542236327,-8.6
2019-09-29,2019-10-05,140.0,0.34999847412109375,-20.0,3.45001220703125,8.699996948242188,9.000015258789062,-5.5
2019-10-06,2019-10-12,-53.33333333333334,0.6000010172526041,250.0,-7.433349609375,5.466664632161458,3.3333333333333335,25.333333333333332
2019-10-13,2019-10-19,-76.66666666666667,-0.06666564941407198,-6.666666666666667,2.70001220703125,0.100006103515625,-16.666666666666647,2.6666666666666665
2019-10-20,2019-10-26,-28.0,-0.9333343505859281,-90.0,-2.4666748046875,1.1999918619791856,-9.00000254313151,6.0
2019-10-27,2019-11-02,-26.0,-0.4,20.0,2.44000244140625,-3.2399963378906365,9.0,1.4
2019-11-03,2019-11-09,-14.0,-0.6399993896484375,-102.0,3.1,0.920001220703125,-6.400001525878906,15.2
2019-11-10,2019-11-16,68.0,0.25999755859375,-54.0,-1.9,-2.820001220703125,1.8000030517578125,12.4
2019-11-17,2019-11-23,-14.0,-1.679998779296875,52.0,-4.1800048828125,-8.679998779296875,1.5999984741210938,-8.6
2019-11-24,2019-11-30,-60.0,-0.1,132.0,2.82000732421875,-2.620001220703125,-1.0,10.2
2019-12-01,2019-12-07,32.0,-0.3,10.0,-4.34000244140625,-0.720001220703125,-5.0,-13.6
2019-12-08,2019-12-14,-14.0,-2.279998779296875,20.0,4.65999755859375,1.3,7.599998474121094,6.8
2019-12-15,2019-12-21,-46.0,0.6399993896484375,68.0,-0.7199951171875,-2.4400024414062385,-2.1999969482421875,-19.0
2019-12-22,2019-12-28,130.0,2.2399993896484376,-42.0,3.47999267578125,12.5,3.1999969482421875,5.0
2019-12-29,2020-01-04,-152.8,0.9399993896484375,60.0,5.42000732421875,-3.379998779296886,-2.4000015258789062,10.8
2020-01-05,2020-01-11,68.8,0.420001220703125,44.0,-0.1800048828125,-0.32000122070311365,7.400001525878906,3.4
2020-01-12,2020-01-18,-74.0,-2.3399993896484377,418.0,1.4800048828125,4.7,-3.800003051757824,2.6
2020-01-19,2020-01-25,-99.8,-0.9,-84.0,-2.3800048828125,2.5400024414062385,6.600006103515625,-0.2
2020-01-26,2020-02-01,-52.0,-1.9600006103515626,-220.0,-6.4,-0.979998779296875,-5.600006103515625,-16.6
2020-02-02,2020-02-08,-1.4,-2.2600006103515624,-62.0,4.64000244140625,-1.920001220703125,-0.7999954223632699,-17.6
2020-02-09,2020-02-15,111.2,-1.1,-30.0,-3.8199951171875,2.84000244140625,-10.20000457763673,13.6
2020-02-16,2020-02-22,-213.6,-1.3,166.0,3.139990234375,1.079998779296875,-5.79999542236327,-6.0
2020-02-23,2020-02-29,-164.75,-2.2,-438.0,-15.039990234375,-6.279998779296875,-5.599998474121094,-14.8
2020-03-01,2020-03-07,-580.75,-1.3500003814697266,-890.0,-24.100006103515625,-13.200004577636719,-5.500001907348647,-33.8999938964844
2020-03-08,2020-03-14,-139.6,-9.149999618530273,-1003.0,-31.25,-19.875,-26.000003814697244,-71.30000305175778
2020-03-15,2020-03-21,323.6,-0.7800003051757812,-32.6,-12.820001220703125,-10.879998779296875,-0.5999984741210994,-6.85999755859375
2020-03-22,2020-03-28,104.2,-2.1799995422363283,376.8,9.820001220703125,5.6,7.0,11.039990234375
2020-03-29,2020-04-04,360.0,6.320000457763669,184.2,19.0,21.3,79.2,37.32000732421875
2020-04-05,2020-04-11,142.66666666666666,5.099998474121098,-122.66666666666667,14.866658528645834,2.3333333333333335,-11.333333333333334,4.666666666666667
2020-04-12,2020-04-18,51.4,-2.3666661580403647,-285.0,-10.0333251953125,-0.3333333333333333,-16.800008138020832,25.466654459635453
2020-04-19,2020-04-25,24.0,0.6,36.2,-6.95999755859375,2.5599975585937615,-13.8199951171875,3.3
2020-04-26,2020-05-02,-29.6,-2.266667683919266,324.0,20.433329264322918,1.1000061035156061,-2.5333353678385415,16.46667480468746
2020-05-03,2020-05-09,-18.4,0.3400009155273409,-190.2,-7.6,3.1399963378906364,-2.639996337890625,4.2
2020-05-10,2020-05-16,-76.0,-0.48000030517578124,-251.2,-5.3199951171875,1.6800048828124887,2.739996337890625,-10.6
2020-05-17,2020-05-23,-127.5,0.46000061035155965,81.4,2.67999267578125,4.539996337890625,2.820001220703125,3.8
2020-05-24,2020-05-30,-149.6,-3.225000381469723,0.0,-6.5749969482421875,4.625,7.425003051757784,-19.875
2020-05-31,2020-06-06,35.5,0.1,-16.0,3.3,-0.32000122070311365,-9.260003662109352,-6.080004882812477
2020-06-07,2020-06-13,18.6,-0.8000011444091797,181.25,-9.949996948242216,1.2000045776367045,0.9000015258789062,7.725006103515597
2020-06-14,2020-06-20,-169.0,-2.4399993896484373,110.4,-5.3,-1.820001220703125,-2.65999755859375,12.0
2020-06-21,2020-06-27,91.79995727539062,-0.3399993896484375,-109.4,-12.540002441406227,1.64000244140625,0.1,-7.2
2020-06-28,2020-07-04,-131.59995727539064,0.5399999618530273,-70.39993286132812,-4.239997100830078,-3.0400062561035157,-13.480000305175816,-0.9000022888183594
2020-07-05,2020-07-11,9.4,-1.8400007247924806,-21.800067138671874,-6.760002899169922,0.46000137329102697,-4.400004577636674,-4.399997711181641
2020-07-12,2020-07-18,37.2,1.020000457763669,3.2,12.520001220703126,-9.959997558593761,1.9400024414062387,6.14000244140625
2020-07-19,2020-07-25,-103.25,0.5199996948242216,-2.6,-3.379998779296875,10.120001220703125,-0.820001220703125,-1.4
