first_day_in_week,last_day_in_week,CFX_main_symb_weekly_mean_diff,ASHO.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,0.05999755859377274,6.0
2019-03-17,2019-03-23,-4.979998779296875,-10.85999755859375
2019-03-24,2019-03-30,-2.479998779296875,-5.5800048828125
2019-03-31,2019-04-06,-1.960003662109375,-0.8799926757812727
2019-04-07,2019-04-13,0.2799987792968864,-5.640002441406227
2019-04-14,2019-04-20,1.9,-9.74000244140625
2019-04-21,2019-04-27,0.24000244140623864,5.180004882812478
2019-04-28,2019-05-04,-5.6,-6.060009765624978
2019-05-05,2019-05-11,0.7,3.8800048828125
2019-05-12,2019-05-18,-0.120001220703125,-6.2800048828125
2019-05-19,2019-05-25,1.9,1.24000244140625
2019-05-26,2019-06-01,-0.979998779296875,-1.4
2019-06-02,2019-06-08,-0.45999755859375,-0.3
2019-06-09,2019-06-15,-1.0,4.25999755859375
2019-06-16,2019-06-22,-2.820001220703125,-5.5
2019-06-23,2019-06-29,-2.74000244140625,1.02000732421875
2019-06-30,2019-07-06,2.2,2.24000244140625
2019-07-07,2019-07-13,-1.65999755859375,-2.44000244140625
2019-07-14,2019-07-20,0.45999755859375,1.7199951171875
2019-07-21,2019-07-27,1.420001220703125,-0.34000244140625
2019-07-28,2019-08-03,2.14000244140625,-2.7199951171875
2019-08-04,2019-08-10,3.75999755859375,3.0
2019-08-11,2019-08-17,0.520001220703125,-2.6199951171875
2019-08-18,2019-08-24,-4.5,2.6199951171875
2019-08-25,2019-08-31,-10.060003662109363,-5.5800048828125
2019-09-01,2019-09-07,0.6600036621093637,-2.37999267578125
2019-09-08,2019-09-14,-4.474998474121094,6.1199951171875
2019-09-15,2019-09-21,0.779998779296875,-5.7249908447265625
2019-09-22,2019-09-28,4.25,6.65999755859375
2019-09-29,2019-10-05,0.2999979654947917,-11.050018310546875
2019-10-06,2019-10-12,2.866668701171875,-2.3666585286458335
2019-10-13,2019-10-19,7.0666605631510615,8.166666666666666
2019-10-20,2019-10-26,-5.719995117187512,3.0333251953125
2019-10-27,2019-11-02,-1.6800048828124887,-0.15999755859375
2019-11-03,2019-11-09,2.0,5.64000244140625
2019-11-10,2019-11-16,-2.8,-5.2199951171875
2019-11-17,2019-11-23,3.6800048828124887,-3.8800048828125
2019-11-24,2019-11-30,-5.8800048828124885,6.0800048828125
2019-12-01,2019-12-07,-3.559997558593761,-6.0800048828125
2019-12-08,2019-12-14,2.920001220703125,-1.54000244140625
2019-12-15,2019-12-21,-0.920001220703125,1.0800048828125
2019-12-22,2019-12-28,-5.720001220703125,2.8
2019-12-29,2020-01-04,-3.25999755859375,-0.82000732421875
2020-01-05,2020-01-11,1.520001220703125,1.74000244140625
2020-01-12,2020-01-18,-4.360003662109375,-1.17999267578125
2020-01-19,2020-01-25,6.9,1.6199951171875
2020-01-26,2020-02-01,0.020001220703125,-3.6800048828125
2020-02-02,2020-02-08,-8.320001220703125,-1.5199951171875
2020-02-09,2020-02-15,-1.820001220703125,-0.15999755859375
2020-02-16,2020-02-22,2.24000244140625,-2.85999755859375
2020-02-23,2020-02-29,1.6750030517578125,-12.52000732421875
2020-03-01,2020-03-07,-3.3000030517578125,-8.324996948242188
2020-03-08,2020-03-14,-3.020001220703125,-36.42500305175781
2020-03-15,2020-03-21,0.220001220703125,-20.45999755859375
2020-03-22,2020-03-28,-3.0200012207031137,7.540002441406227
2020-03-29,2020-04-04,6.633331298828106,25.759997558593774
2020-04-05,2020-04-11,6.300008138020832,53.633341471354164
2020-04-12,2020-04-18,5.539996337890625,60.366658528645836
2020-04-19,2020-04-25,6.933339436848957,36.9
2020-04-26,2020-05-02,-0.34000244140625,-22.333333333333332
2020-05-03,2020-05-09,-7.5,0.2
2020-05-10,2020-05-16,2.75999755859375,-7.6
2020-05-17,2020-05-23,-3.1999969482421875,15.6
2020-05-24,2020-05-30,-5.25999755859375,-5.5
2020-05-31,2020-06-06,2.924995422363281,-6.0
2020-06-07,2020-06-13,-1.020001220703125,-4.0
2020-06-14,2020-06-20,-1.679998779296875,16.6
2020-06-21,2020-06-27,2.0200025558471566,-13.6
2020-06-28,2020-07-04,-1.2400037765502816,0.20000457763671875
2020-07-05,2020-07-11,-0.639996337890625,18.599995422363282
2020-07-12,2020-07-18,1.520001220703125,-5.4
2020-07-19,2020-07-25,-10.77500152587892,-6.6
