first_day_in_week,last_day_in_week,ARD_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,25.6,1.839996337890625
2019-03-17,2019-03-23,75.6,0.820001220703125
2019-03-24,2019-03-30,-34.4,1.64000244140625
2019-03-31,2019-04-06,36.0,0.6
2019-04-07,2019-04-13,1.8,0.879998779296875
2019-04-14,2019-04-20,2.6,-0.479998779296875
2019-04-21,2019-04-27,-54.6,-0.320001220703125
2019-04-28,2019-05-04,25.8,1.4
2019-05-05,2019-05-11,-2.6,-0.25999755859375
2019-05-12,2019-05-18,12.4,-1.160003662109375
2019-05-19,2019-05-25,-55.6,0.779998779296875
2019-05-26,2019-06-01,-60.0,-0.879998779296875
2019-06-02,2019-06-08,90.2,0.379998779296875
2019-06-09,2019-06-15,25.0,-2.1
2019-06-16,2019-06-22,-0.8,-1.7
2019-06-23,2019-06-29,17.0,2.920001220703125
2019-06-30,2019-07-06,-3.4,-3.420001220703125
2019-07-07,2019-07-13,-2.2,-2.3
2019-07-14,2019-07-20,53.2,-4.139996337890636
2019-07-21,2019-07-27,-39.0,1.4599975585937728
2019-07-28,2019-08-03,21.6,2.9400024414062385
2019-08-04,2019-08-10,-37.2,-3.560003662109375
2019-08-11,2019-08-17,-5.6,-0.05999755859375
2019-08-18,2019-08-24,65.2,-0.9
2019-08-25,2019-08-31,-3.6,1.9200012207031136
2019-09-01,2019-09-07,36.8,-0.32000122070311365
2019-09-08,2019-09-14,21.25,0.4799987792968864
2019-09-15,2019-09-21,-31.6,0.125
2019-09-22,2019-09-28,3.0,-1.5200012207031364
2019-09-29,2019-10-05,53.0,-3.149993896484375
2019-10-06,2019-10-12,0.6666666666666666,3.6666666666666665
2019-10-13,2019-10-19,-37.0,3.466664632161477
2019-10-20,2019-10-26,6.2,-2.466664632161477
2019-10-27,2019-11-02,-3.0,-1.25999755859375
2019-11-03,2019-11-09,-37.8,-1.74000244140625
2019-11-10,2019-11-16,49.2,-1.2399993896484376
2019-11-17,2019-11-23,108.2,2.0800018310546875
2019-11-24,2019-11-30,21.0,6.439996337890625
2019-12-01,2019-12-07,-59.6,-1.279998779296875
2019-12-08,2019-12-14,36.6,1.04000244140625
2019-12-15,2019-12-21,30.8,1.239996337890625
2019-12-22,2019-12-28,23.2,1.660003662109375
2019-12-29,2020-01-04,-1.6,-1.8800048828125
2020-01-05,2020-01-11,60.4,0.64000244140625
2020-01-12,2020-01-18,45.0,1.3
2020-01-19,2020-01-25,-61.0,-1.3
2020-01-26,2020-02-01,-78.8,-1.75999755859375
2020-02-02,2020-02-08,-1.2,-1.820001220703125
2020-02-09,2020-02-15,-26.0,-0.34000244140623864
2020-02-16,2020-02-22,-77.8,0.4999999999999886
2020-02-23,2020-02-29,-9.5,0.560003662109375
2020-03-01,2020-03-07,-320.0,-8.925003051757812
2020-03-08,2020-03-14,-25.4,-16.549999237060547
2020-03-15,2020-03-21,85.6,-4.380001831054687
2020-03-22,2020-03-28,84.8,5.0800018310546875
2020-03-29,2020-04-04,262.3333333333333,11.539999389648438
2020-04-05,2020-04-11,-114.33333333333331,-4.799997965494801
2020-04-12,2020-04-18,74.4,4.266662597656269
2020-04-19,2020-04-25,2.0,-1.9199981689453183
2020-04-26,2020-05-02,-61.0,3.899998982747396
2020-05-03,2020-05-09,-58.6,-2.2
2020-05-10,2020-05-16,133.0,-0.6799987792968807
2020-05-17,2020-05-23,-16.25,0.019998168945318185
2020-05-24,2020-05-30,-74.2,-2.424999237060547
2020-05-31,2020-06-06,-90.75,0.4399993896484375
2020-06-07,2020-06-13,161.0,1.4500007629394531
2020-06-14,2020-06-20,12.0,-1.1399993896484375
2020-06-21,2020-06-27,-44.19998168945313,2.079998779296875
2020-06-28,2020-07-04,-171.00001831054686,-0.2200000762939453
2020-07-05,2020-07-11,100.2,0.02000007629394531
2020-07-12,2020-07-18,-13.0,7.060000610351563
2020-07-19,2020-07-25,-69.5,2.120001220703114
