first_day_in_week,last_day_in_week,ELSPC_main_symb_weekly_mean_diff,KTOV.TA_weekly_mean_diff_0.45
2019-03-10,2019-03-16,-0.2200012207031193,12.6800048828125
2019-03-17,2019-03-23,0.9200012207031192,-14.220007324218738
2019-03-24,2019-03-30,1.4799987792968807,-6.219995117187511
2019-03-31,2019-04-06,-2.1,-0.74000244140625
2019-04-07,2019-04-13,0.1,-1.379998779296875
2019-04-14,2019-04-20,-0.4200012207031193,-1.3
2019-04-21,2019-04-27,-0.059997558593761366,-2.179998779296875
2019-04-28,2019-05-04,0.0,-2.84000244140625
2019-05-05,2019-05-11,-1.8666687011718652,-0.420001220703125
2019-05-12,2019-05-18,4.5,-1.079998779296875
2019-05-26,2019-06-01,-0.1,-8.360003662109374
2019-06-23,2019-06-29,1.3499984741210938,6.1
2019-06-30,2019-07-06,-4.900001525878891,-2.239996337890625
2019-07-28,2019-08-03,-2.6,-2.420001220703125
2019-08-04,2019-08-10,9.22000122070312,-4.060003662109375
2019-08-11,2019-08-17,9.520001220703127,-3.1199951171875
2019-08-18,2019-08-24,-2.920001220703125,3.7399963378906365
2019-08-25,2019-08-31,0.3,4.479998779296864
2019-09-01,2019-09-07,-3.0,3.9
2019-09-08,2019-09-14,-2.599998474121108,-3.139996337890625
2019-09-15,2019-09-21,3.0799987792968864,-4.0
2019-09-22,2019-09-28,0.0,-3.340002441406239
2019-09-29,2019-10-05,4.73333740234375,-1.550003051757841
2019-10-06,2019-10-12,-0.73333740234375,0.9333394368489394
2019-10-13,2019-10-19,-3.0,-1.0
2019-10-20,2019-10-26,0.05999755859375,-1.0666707356770455
2019-10-27,2019-11-02,-3.4,0.47999877929686363
2019-11-03,2019-11-09,1.6800048828125,0.22000122070313638
2019-11-10,2019-11-16,-0.7,-2.8000000000000056
2019-11-17,2019-11-23,0.9399963378906364,-1.3599975585937614
2019-11-24,2019-11-30,0.1,0.059997558593761366
2019-12-01,2019-12-07,-4.079998779296886,0.2
2019-12-08,2019-12-14,0.8799987792968864,1.3600006103515567
2019-12-15,2019-12-21,1.0200012207031135,1.4199981689453125
2019-12-22,2019-12-28,2.820001220703113,-2.0999969482421874
2019-12-29,2020-01-04,0.5399963378906364,2.819998168945324
2020-01-05,2020-01-11,0.560003662109375,3.8799987792968635
2020-01-12,2020-01-18,-1.420001220703125,-3.0
2020-01-19,2020-01-25,1.25999755859375,-0.4
2020-01-26,2020-02-01,1.260003662109375,-0.6199951171875
2020-02-02,2020-02-08,-1.24000244140625,0.8399963378906363
2020-02-09,2020-02-15,-1.679998779296875,-3.559997558593767
2020-02-16,2020-02-22,-2.4,-2.780001831054682
2020-02-23,2020-02-29,1.4250030517578125,-3.3600006103515567
2020-03-01,2020-03-07,-9.425003051757812,-1.6499977111816477
2020-03-08,2020-03-14,-2.6799987792968807,-26.075000762939453
2020-03-15,2020-03-21,6.2399993896484425,1.1800003051757812
2020-03-22,2020-03-28,3.899996948242188,0.059999084472659094
2020-03-29,2020-04-04,-6.1666615804036455,4.039999389648434
2020-04-05,2020-04-11,2.5666656494140625,-2.2666651407877603
2020-04-12,2020-04-18,2.34000244140625,5.699999491373698
2020-04-19,2020-04-25,-3.4333394368489394,-3.679998779296878
2020-04-26,2020-05-02,3.9,2.4666646321614727
2020-05-03,2020-05-09,-2.1200012207031365,2.160000610351557
2020-05-10,2020-05-16,-0.25999755859375,1.9600006103515626
2020-05-17,2020-05-23,0.875,9.0
2020-05-24,2020-05-30,4.520001220703125,-0.15000152587890625
2020-05-31,2020-06-06,16.150001525878903,-4.239999389648437
2020-06-07,2020-06-13,2.75999755859375,-2.5999984741210938
2020-06-14,2020-06-20,-7.679998779296875,-0.320001220703125
2020-06-21,2020-06-27,30.5,41.0
2020-06-28,2020-07-04,-13.979998779296874,-2.4800004959106445
2020-07-05,2020-07-11,3.719995117187511,-11.44000072479248
2020-07-12,2020-07-18,-0.9399963378906364,-6.139996337890625
2020-07-19,2020-07-25,2.7750015258789062,-0.06000366210936363
