first_day_in_week,last_day_in_week,SPRG_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.45,ORTC.TA_weekly_mean_diff_0.49,PEN.TA_weekly_mean_diff_0.5,MMAN.TA_weekly_mean_diff_0.52,EMCO.TA_weekly_mean_diff_0.53,ALRPR.TA_weekly_mean_diff_0.57
2019-03-10,2019-03-16,-5.959997558593773,1.3200012207031364,5.4,0.7399993896484375,-5.6,6.0,64.0
2019-03-17,2019-03-23,3.724990844726591,2.1199951171875,10.4,3.9200012207031194,3.0,2.4,0.0
2019-03-24,2019-03-30,0.0800048828125,-0.25999755859375,8.4,0.11999816894531819,-8.6,2.4,46.0
2019-04-14,2019-04-20,-3.5800048828125,-0.34000244140625,-1.6,-0.3,-1.32000732421875,-14.6,90.0
2019-04-21,2019-04-27,9.8199951171875,1.7,27.8,0.0399993896484375,1.1800048828125,2.8,14.0
2019-04-28,2019-05-04,-0.13332112630212126,-3.579998779296875,-14.4,-1.8,-1.75999755859375,3.8,-70.0
2019-05-05,2019-05-11,6.919995117187523,-0.620001220703125,11.8,0.820001220703125,-0.94000244140625,1.0,36.0
2019-05-19,2019-05-25,6.15999755859375,0.9,3.2,6.560000610351563,3.460009765625,-1.8,64.0
2019-05-26,2019-06-01,11.34000244140625,-0.5,13.4,1.679998779296875,0.0199951171875,16.4,-164.0
2019-06-02,2019-06-08,0.2800048828125,1.8,-10.4,-3.4399993896484373,-1.8199951171875,-7.2,-30.0
2019-06-09,2019-06-15,-3.22000732421875,-1.0,-13.6,1.9200012207031194,-2.54000244140625,5.6,148.0
2019-06-16,2019-06-22,0.64000244140625,-2.039996337890625,-25.4,3.8599975585937614,0.64000244140625,5.2,90.0
2019-06-23,2019-06-29,0.0,1.8,21.8,-1.719998168945318,6.1199951171875,-2.4,-20.0
2019-06-30,2019-07-06,1.8800048828125,4.35999755859375,22.8,5.219998168945324,3.14000244140625,2.6,162.0
2019-07-07,2019-07-13,-6.64000244140625,2.420001220703125,-66.2,1.8,-2.12000732421875,-16.2,66.0
2019-07-14,2019-07-20,-6.475006103515625,-0.379998779296875,-23.4,-1.8399963378906363,3.22000732421875,1.8,-238.0
2019-08-18,2019-08-24,-10.859997558593774,-6.5,-33.4,1.579998779296875,-2.05999755859375,-34.6,80.0
2019-08-25,2019-08-31,-1.150009155273409,-3.0,-8.6,-2.55999755859375,-0.5199951171875,-24.6,34.0
2019-09-01,2019-09-07,-1.6999816894531818,3.0,5.8,4.95999755859375,-0.0800048828125,8.6,0.0
2019-09-15,2019-09-21,-1.3400024414062273,0.40000152587890625,13.0,-2.5500030517578125,-0.600006103515625,7.25,95.0
2019-09-22,2019-09-28,-8.149993896484432,-1.8,-4.4,-2.739996337890625,-4.8,1.6,-10.0
2019-09-29,2019-10-05,-8.133341471354111,-1.3000030517578125,-26.5,0.9499969482421875,0.0,15.0,-20.0
2019-10-06,2019-10-12,2.366668701171856,0.7000020345052084,9.333333333333334,-2.0666707356770835,-1.5,-2.3333333333333335,250.0
2019-10-13,2019-10-19,0.0,0.8333333333333334,8.333333333333334,1.73333740234375,1.9333292643229167,0.3333333333333333,-6.666666666666667
2019-10-20,2019-10-26,-1.35999755859375,2.6666666666666665,6.666666666666667,3.9666646321614585,9.23333740234375,-11.666666666666666,-90.0
2019-10-27,2019-11-02,3.860003662109375,1.579998779296875,-28.4,2.079998779296875,3.0,-9.4,20.0
