first_day_in_week,last_day_in_week,SPRG_main_symb_weekly_mean_diff,OPAL.TA_weekly_mean_diff_0.45,ORTC.TA_weekly_mean_diff_0.49,PEN.TA_weekly_mean_diff_0.5,MMAN.TA_weekly_mean_diff_0.52,EMCO.TA_weekly_mean_diff_0.53,ALRPR.TA_weekly_mean_diff_0.57
2019-11-03,2019-11-09,2.9599975585937277,0.720001220703125,7.8,4.0,2.05999755859375,-10.4,-102.0
2019-11-10,2019-11-16,2.6599975585937727,0.920001220703125,20.4,-0.279998779296875,-4.14000244140625,-1.0,-54.0
2019-11-17,2019-11-23,16.04000244140625,2.579998779296875,0.8,3.0,10.42000732421875,15.6,52.0
2019-11-24,2019-11-30,3.17999267578125,0.520001220703125,-6.0,-3.120001220703125,-4.3,-3.6,132.0
2019-12-01,2019-12-07,0.0,1.1399963378906364,-17.2,-2.139996337890625,-0.6800048828125,10.0,10.0
2019-12-08,2019-12-14,1.1800048828125,-2.0199951171875115,-7.2,-3.179998779296875,-1.1,6.2,20.0
2019-12-15,2019-12-21,-1.95999755859375,3.339996337890625,25.4,-0.8,-0.14000244140625,-5.2,68.0
2019-12-22,2019-12-28,1.2,1.520001220703125,-28.0,-1.1800048828125,2.94000244140625,1.4,-42.0
2019-12-29,2020-01-04,7.15999755859375,4.9,-19.2,2.14000244140625,-1.65999755859375,2.6,60.0
2020-01-05,2020-01-11,-0.2800048828125,9.0,26.6,-2.1,-0.3800048828125,3.8,44.0
2020-01-12,2020-01-18,34.0800048828125,-0.9400024414062387,13.0,6.94000244140625,3.44000244140625,21.8,418.0
2020-01-19,2020-01-25,6.8,-0.23999633789063637,30.2,6.85999755859375,-0.87999267578125,-8.8,-84.0
2020-01-26,2020-02-01,-1.6,-3.420001220703125,-10.8,-1.74000244140625,-4.04000244140625,0.6,-220.0
2020-02-02,2020-02-08,-5.4,-2.1400024414062386,5.2,0.14000244140625,-5.34000244140625,-15.4,-62.0
2020-02-09,2020-02-15,-1.1800048828125,2.4400024414062385,-5.2,-0.8,4.1800048828125,3.8,-30.0
2020-02-16,2020-02-22,-0.3199951171875,5.379998779296875,-39.6,1.1,0.9,7.6,166.0
2020-02-23,2020-02-29,-7.0500030517578125,-2.8,-26.4,-10.95999755859375,-9.4800048828125,-17.4,-438.0
2020-03-01,2020-03-07,-25.14999389648437,-21.25,-38.25,-9.175003051757812,-14.725006103515625,-31.25,-890.0
2020-03-08,2020-03-14,-12.54000244140625,-30.499999999999993,-121.5,-21.825000762939453,-46.44999694824219,-64.875,-1003.0
2020-03-15,2020-03-21,-5.25,-13.87999877929688,-12.6,-7.339999389648438,-10.479998779296864,-38.0199951171875,-32.6
2020-03-22,2020-03-28,13.100006103515625,10.960000610351562,57.0,11.82000122070312,24.540002441406237,36.37999267578125,376.8
2020-04-05,2020-04-11,-9.166666666666666,2.266672770182273,-11.0,3.399998982747396,3.0333353678385415,29.46667480468746,-122.66666666666667
2020-04-12,2020-04-18,-0.2,-0.2666727701822727,0.0,-2.8333333333333335,2.733327229817727,18.333333333333332,-285.0
2020-04-19,2020-04-25,2.6666666666666665,1.6600036621093637,3.2,-1.2399993896484376,9.340002441406238,3.8,36.2
2020-04-26,2020-05-02,19.2199951171875,6.066660563151042,50.333333333333336,11.966664632161468,29.0,42.0,324.0
2020-05-03,2020-05-09,8.5,5.379998779296875,-14.0,8.12000122070312,-1.1199951171875,8.2,-190.2
2020-05-10,2020-05-16,-2.54000244140625,-7.7199951171875,-8.6,-12.539999389648438,-4.5,-8.6,-251.2
2020-05-17,2020-05-23,-7.074996948242188,-0.2,59.0,7.719998168945324,3.0199951171875,-1.0,81.4
2020-05-24,2020-05-30,8.5800048828125,-2.25,53.75,-0.724998474121108,-3.0,-9.0,0.0
2020-05-31,2020-06-06,-14.425003051757812,0.45999755859375,-23.0,0.2,-0.6400024414062273,1.4,-16.0
2020-06-07,2020-06-13,9.6199951171875,1.3249969482421875,28.5,-1.625,14.350006103515597,-2.25,181.25
2020-06-14,2020-06-20,6.72000732421875,-5.15999755859375,10.2,0.9799987792968864,-1.62000732421875,28.0,110.4
2020-06-21,2020-06-27,-2.960000610351585,-3.5200012207031195,-0.8,-5.639999389648449,-0.7,-15.0,-109.4
2020-06-28,2020-07-04,-5.450004577636662,-4.100000190734863,-20.399981689453124,-2.2399993896484376,-3.7399967193603745,-1.7999992370605469,-70.39993286132812
2020-07-05,2020-07-11,0.57999267578125,-1.5799985885620174,16.999981689453126,-4.239999389648437,-2.3799983978271255,-1.0000007629394532,-21.800067138671874
2020-07-19,2020-07-25,-13.699996948242188,1.9600006103515568,10.6,2.380001831054682,0.3,-1.0,-2.6
