first_day_in_week,last_day_in_week,LHIS_main_symb_weekly_mean_diff,BBYL.TA_weekly_mean_diff_0.46
2019-03-17,2019-03-23,-1.9,2.3399993896484377
2019-03-24,2019-03-30,-2.579998779296875,-0.2399993896484375
2019-03-31,2019-04-06,8.159997558593764,0.979998779296875
2019-04-07,2019-04-13,-1.9499969482422017,-0.4199981689453125
2019-05-12,2019-05-18,5.8999938964844025,-0.5600006103515625
2019-05-19,2019-05-25,0.0,1.1199981689453125
2019-07-28,2019-08-03,3.05999755859375,0.4399993896484375
2019-08-04,2019-08-10,-5.279998779296875,0.8399993896484375
2019-08-11,2019-08-17,3.766672770182292,-0.2399993896484375
2019-09-15,2019-09-21,-3.73333740234375,-0.17499923706054688
2019-09-22,2019-09-28,0.0,0.1399993896484375
2019-10-20,2019-10-26,-2.14000244140625,-0.23333740234375
2019-10-27,2019-11-02,-5.620001220703113,-0.4
2019-11-03,2019-11-09,0.06000366210936362,-0.6
2019-11-10,2019-11-16,0.0,-0.45999755859375
2019-11-17,2019-11-23,-4.460003662109363,-0.120001220703125
2019-11-24,2019-11-30,-1.8399963378906363,0.720001220703125
2019-12-01,2019-12-07,-5.120001220703125,-0.1
2019-12-08,2019-12-14,-1.679998779296875,0.1399993896484375
2019-12-15,2019-12-21,-1.7,0.2199981689453125
2019-12-22,2019-12-28,6.75999755859375,10.820001220703125
2019-12-29,2020-01-04,3.779998779296887,2.5200012207031195
2020-01-05,2020-01-11,-1.8,-0.7200012207031193
2020-01-12,2020-01-18,2.7600036621093635,8.35999755859375
2020-01-19,2020-01-25,1.679998779296875,3.1
2020-01-26,2020-02-01,-4.850006103515597,-3.679998779296864
2020-02-02,2020-02-08,9.600006103515595,1.0200012207031137
2020-02-16,2020-02-22,-2.4400024414062385,2.120001220703125
2020-02-23,2020-02-29,-2.6749954223632955,-5.4399993896484435
2020-03-01,2020-03-07,-21.400001525878906,-6.275001525878899
2020-03-08,2020-03-14,1.4,-7.450000762939453
2020-03-15,2020-03-21,-0.779998779296875,-4.839999389648438
2020-03-22,2020-03-28,2.379998779296875,1.020001220703125
2020-03-29,2020-04-04,7.866668701171875,3.6
2020-04-05,2020-04-11,1.866668701171875,6.166666666666657
2020-04-12,2020-04-18,2.639996337890625,-5.100001017252595
2020-04-19,2020-04-25,0.0,1.7
2020-04-26,2020-05-02,-2.1666666666666665,2.733332316080729
2020-05-03,2020-05-09,3.3750028610229488,-1.4399993896484375
2020-06-28,2020-07-04,3.860001373291016,1.420000267028803
2020-07-05,2020-07-11,13.166666666666664,3.0000009536743164
2020-07-19,2020-07-25,5.349998474121094,10.739999389648437
