first_day_in_week,last_day_in_week,SNFL_main_symb_weekly_mean_diff,MTMY.TA_weekly_mean_diff_0.35
2019-03-10,2019-03-16,10.060009765625,-0.24000015258789062
2019-03-17,2019-03-23,-14.5,-0.9999996185302727
2019-03-24,2019-03-30,3.07999267578125,0.020000076293943892
2019-03-31,2019-04-06,-0.2,-1.0800003051757798
2019-04-07,2019-04-13,-1.05999755859375,-0.1799999237060554
2019-04-14,2019-04-20,-1.6,0.36000022888183525
2019-04-21,2019-04-27,0.4,-0.36000022888183525
2019-04-28,2019-05-04,0.1199951171875,0.7200000762939454
2019-05-05,2019-05-11,0.04000244140625,0.14000015258788992
2019-05-12,2019-05-18,7.8,-1.2400001525878899
2019-05-19,2019-05-25,1.52000732421875,0.12000007629394602
2019-05-26,2019-06-01,1.1199951171875,-0.1799999237060561
2019-06-02,2019-06-08,0.4199951171875,0.3599998474121101
2019-06-09,2019-06-15,-7.05999755859375,0.14000015258788992
2019-06-16,2019-06-22,-14.9,-2.380000114440917
2019-06-23,2019-06-29,-3.65999755859375,0.11999988555908167
2019-06-30,2019-07-06,-5.8,-0.31999988555908165
2019-07-07,2019-07-13,2.9,0.03999996185302699
2019-07-14,2019-07-20,-0.74000244140625,-0.1
2019-07-21,2019-07-27,-3.1999999999999766,0.02000007629394531
2019-07-28,2019-08-03,-1.8400024414062728,0.1
2019-08-04,2019-08-10,-10.0199951171875,-0.8200000762939453
2019-08-11,2019-08-17,5.8199951171875,-0.2
2019-08-18,2019-08-24,-0.4599975585937273,0.02000007629394567
2019-08-25,2019-08-31,16.359997558593722,1.959999847412109
2019-09-01,2019-09-07,3.2800048828125,-0.3799999237060547
2019-09-08,2019-09-14,1.274993896484375,-1.0799999237060547
2019-09-15,2019-09-21,-0.439990234375,0.02499985694885254
2019-09-22,2019-09-28,-1.1500244140625,-0.23999996185302735
2019-09-29,2019-10-05,-0.8333333333333334,0.0
2019-10-06,2019-10-12,1.9000040690104167,0.16666666666666666
2019-10-13,2019-10-19,-0.0333251953125,0.0
2019-10-20,2019-10-26,-0.02000732421875,0.6000000635782884
2019-10-27,2019-11-02,-1.239990234375,-0.0399999618530277
2019-11-03,2019-11-09,-0.82000732421875,-0.2200000762939453
2019-11-10,2019-11-16,-1.5,0.4
2019-11-17,2019-11-23,6.2800048828125,0.1
2019-11-24,2019-11-30,-1.12000732421875,0.12000007629394531
2019-12-01,2019-12-07,0.8800048828125,0.0399999618530277
2019-12-08,2019-12-14,-2.3,0.019999885559081675
2019-12-15,2019-12-21,0.4199951171875,0.12000007629394531
2019-12-22,2019-12-28,4.960009765625,1.0400001525878906
2019-12-29,2020-01-04,3.67999267578125,-0.14000015258789061
2020-01-05,2020-01-11,0.44000244140625,0.32000007629394533
2020-01-12,2020-01-18,13.45999755859375,-0.24000015258789062
2020-01-19,2020-01-25,-7.44000244140625,0.06000022888183594
2020-01-26,2020-02-01,-4.3,-0.2200000762939453
2020-02-02,2020-02-08,3.360009765625,0.02000007629394531
2020-02-09,2020-02-15,-8.9800048828125,0.15999984741210938
2020-02-16,2020-02-22,-6.84000244140625,0.1799999237060547
2020-02-23,2020-02-29,3.675003051757813,0.3
2020-03-01,2020-03-07,-4.149993896484375,-0.19999980926513672
2020-03-08,2020-03-14,-6.94000244140625,0.2999997138977051
2020-03-15,2020-03-21,7.8,-0.059999847412109376
2020-03-22,2020-03-28,-1.95999755859375,-0.12000007629394531
2020-03-29,2020-04-04,-1.7666829427083333,-0.3799999237060547
2020-04-05,2020-04-11,-3.8666585286458335,0.16666666666666666
2020-04-12,2020-04-18,-8.0,0.0
2020-04-19,2020-04-25,3.0,-0.02000007629394531
2020-04-26,2020-05-02,9.24000244140625,-0.23333295186360678
2020-05-03,2020-05-09,0.4199951171875,0.13999977111816406
2020-05-10,2020-05-16,-1.45999755859375,0.02000007629394531
2020-05-17,2020-05-23,-0.5,0.1799999237060547
2020-05-24,2020-05-30,2.04000244140625,1.5500001907348642
2020-05-31,2020-06-06,-1.0,-0.5200000762939461
2020-06-07,2020-06-13,-0.42000732421875,0.3000001907348624
2020-06-14,2020-06-20,-0.3199951171875,-0.28000030517577984
2020-06-21,2020-06-27,-4.280002212524438,-0.8799999237060554
2020-06-28,2020-07-04,4.260007095336936,9.536743093008226e-08
2020-07-05,2020-07-11,-0.9800048828125,-9.536743093008226e-08
2020-07-12,2020-07-18,-0.7800048828125,0.0
2020-07-19,2020-07-25,-14.5,0.0
