first_day_in_week,last_day_in_week,SLGN_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,2.0399902343750456,64.0
2019-03-17,2019-03-23,-13.1,0.0
2019-03-24,2019-03-30,-0.9199951171875228,46.0
2019-03-31,2019-04-06,-3.619995117187522,12.0
2019-04-07,2019-04-13,9.279992675781275,-14.0
2019-04-14,2019-04-20,19.94000244140625,90.0
2019-04-21,2019-04-27,2.2,14.0
2019-04-28,2019-05-04,3.2,-70.0
2019-05-05,2019-05-11,2.4,36.0
2019-05-12,2019-05-18,1.2,18.0
2019-05-19,2019-05-25,1.2,64.0
2019-05-26,2019-06-01,8.6,-164.0
2019-06-02,2019-06-08,-5.2,-30.0
2019-06-09,2019-06-15,-1.6,148.0
2019-06-16,2019-06-22,15.2,90.0
2019-06-23,2019-06-29,-1.0,-20.0
2019-06-30,2019-07-06,-1.2,162.0
2019-07-07,2019-07-13,2.4,66.0
2019-07-14,2019-07-20,-9.6,-238.0
2019-07-21,2019-07-27,0.6,-34.0
2019-07-28,2019-08-03,5.4,76.0
2019-08-04,2019-08-10,0.0,156.0
2019-08-11,2019-08-17,5.6,-114.0
2019-08-18,2019-08-24,-10.2,80.0
2019-08-25,2019-08-31,10.2,34.0
2019-09-01,2019-09-07,24.0,0.0
2019-09-08,2019-09-14,-9.0,36.0
2019-09-15,2019-09-21,4.4,95.0
2019-09-22,2019-09-28,1.0,-10.0
2019-09-29,2019-10-05,54.66666666666666,-20.0
2019-10-06,2019-10-12,8.666666666666666,250.0
2019-10-13,2019-10-19,0.6666666666666666,-6.666666666666667
2019-10-20,2019-10-26,21.4,-90.0
2019-10-27,2019-11-02,-20.6,20.0
2019-11-03,2019-11-09,-3.2,-102.0
2019-11-10,2019-11-16,17.4,-54.0
2019-11-17,2019-11-23,-3.0,52.0
2019-11-24,2019-11-30,-1.0,132.0
2019-12-01,2019-12-07,16.2,10.0
2019-12-08,2019-12-14,20.2,20.0
2019-12-15,2019-12-21,5.6,68.0
2019-12-22,2019-12-28,16.6,-42.0
2019-12-29,2020-01-04,-7.6,60.0
2020-01-05,2020-01-11,-9.6,44.0
2020-01-12,2020-01-18,-12.4,418.0
2020-01-19,2020-01-25,13.2,-84.0
2020-01-26,2020-02-01,-3.2,-220.0
2020-02-02,2020-02-08,12.0,-62.0
2020-02-09,2020-02-15,0.4,-30.0
2020-02-16,2020-02-22,-34.6,166.0
2020-02-23,2020-02-29,-37.0,-438.0
2020-03-01,2020-03-07,-131.57499694824222,-890.0
2020-03-08,2020-03-14,-1.6800048828125,-1003.0
2020-03-15,2020-03-21,21.54000244140625,-32.6
2020-03-22,2020-03-28,13.8,376.8
2020-03-29,2020-04-04,55.66666666666666,184.2
2020-04-05,2020-04-11,12.333333333333336,-122.66666666666667
2020-04-12,2020-04-18,-8.2,-285.0
2020-04-19,2020-04-25,50.33333333333334,36.2
2020-04-26,2020-05-02,35.6,324.0
2020-05-03,2020-05-09,-14.8,-190.2
2020-05-10,2020-05-16,23.2,-251.2
2020-05-17,2020-05-23,18.75,81.4
2020-05-24,2020-05-30,-1.0,0.0
2020-05-31,2020-06-06,-41.0,-16.0
2020-06-07,2020-06-13,-6.902001953125,181.25
2020-06-14,2020-06-20,1.9820068359375,110.4
2020-06-21,2020-06-27,8.919997406005859,-109.4
2020-06-28,2020-07-04,-15.800002288818359,-70.39993286132812
2020-07-05,2020-07-11,-4.8,-21.800067138671874
2020-07-12,2020-07-18,16.799991607666016,3.2
2020-07-19,2020-07-25,5.750012397766112,-2.6
