first_day_in_week,last_day_in_week,NTGR_main_symb_weekly_mean_diff,SHOM.TA_weekly_mean_diff_0.45_INT_OPAL.TA_weekly_mean_diff_0.53_corr_0.77
2019-03-10,2019-03-16,0.8,-0.7920007324218818
2019-03-17,2019-03-23,1.65999755859375,3.052798144519329
2019-03-24,2019-03-30,-0.979998779296875,-0.857991943359375
2019-03-31,2019-04-06,1.779998779296875,39.36677482910454
2019-04-07,2019-04-13,-2.35999755859375,16.864429711923005
2019-04-14,2019-04-20,-0.6800048828124886,-0.8432056396454574
2019-04-21,2019-04-27,-1.5199951171875117,3.365997924804687
2019-04-28,2019-05-04,-0.8,17.899993896484375
2019-05-05,2019-05-11,-0.14000244140625,-2.8644063964858653
2019-05-12,2019-05-18,-1.320001220703125,0.032402001954615116
2019-05-19,2019-05-25,2.020001220703125,7.866002197265626
2019-05-26,2019-06-01,-1.420001220703125,3.270001220703125
2019-06-02,2019-06-08,0.4,8.64
2019-06-09,2019-06-15,1.920001220703125,3.820001220703125
2019-06-16,2019-06-22,0.379998779296875,1.3055901855602863
2019-06-23,2019-06-29,6.34000244140625,6.04799560546875
2019-06-30,2019-07-06,3.560003662109375,4.621586767584135
2019-07-07,2019-07-13,-0.160009765625,-1.2100006103515626
2019-07-14,2019-07-20,10.64000244140625,0.24319782715291216
2019-07-21,2019-07-27,6.22000732421875,7.390375146493316
2019-07-28,2019-08-03,3.4,2.4056077636778355
2019-08-04,2019-08-10,1.0199951171875,3.7064065185561774
2019-08-11,2019-08-17,-3.1800048828125,-0.114000244140625
2019-08-18,2019-08-24,-3.67999267578125,-39.7799682617189
2019-08-25,2019-08-31,-2.64000244140625,-7.740014648437363
2019-09-01,2019-09-07,0.7800048828125,18.479992675781318
2019-09-08,2019-09-14,0.8249969482421875,5.32479179687798
2019-09-15,2019-09-21,-3.04000244140625,-0.25999855040572584
2019-09-22,2019-09-28,-8.5,3.49200439453125
2019-09-29,2019-10-05,1.9333292643229545,-6.239998779259622
2019-10-06,2019-10-12,2.4666748046874623,4.830016886401508
2019-10-13,2019-10-19,3.633321126302084,1.833343505859375
2019-10-20,2019-10-26,5.12000732421875,11.022189670138888
2019-10-27,2019-11-02,21.44000244140625,12.734786303713918
2019-11-03,2019-11-09,-6.1800048828125,4.809611669927835
2019-11-10,2019-11-16,-1.4800048828125,4.986402124017476
2019-11-17,2019-11-23,-0.05999755859375,12.332406762689352
2019-11-24,2019-11-30,-2.95999755859375,-3.1200073242187503
2019-12-01,2019-12-07,2.6199951171875,-6.589184399396247
2019-12-08,2019-12-14,1.8800048828125,10.301975097656308
2019-12-15,2019-12-21,0.1800048828125,44.22155966795981
2019-12-22,2019-12-28,1.55999755859375,5.59361191406846
2019-12-29,2020-01-04,3.37999267578125,59.19196411132813
2020-01-05,2020-01-11,3.4800048828125,207.0000000000002
2020-01-12,2020-01-18,0.2800048828125,10.095617040991684
2020-01-19,2020-01-25,-7.260009765625,0.20159750975669385
2020-01-26,2020-02-01,-9.37999267578125,11.559620825201273
2020-02-02,2020-02-08,5.0199951171875,-32.82764267578704
2020-02-09,2020-02-15,3.65999755859375,-15.908804003894256
2020-02-16,2020-02-22,-9.67999267578125,103.72633706055582
2020-02-23,2020-02-29,-11.725006103515625,57.11999999999999
2020-03-01,2020-03-07,-46.27499389648438,859.5624351501465
2020-03-08,2020-03-14,-13.6800048828125,1899.3875465393062
2020-03-15,2020-03-21,3.6800048828125,30.258380395509313
2020-03-22,2020-03-28,13.919995117187511,412.09602294921876
2020-03-29,2020-04-04,13.833333333333336,-39.41280314940967
2020-04-05,2020-04-11,0.3333333333333333,26.293394910999254
2020-04-12,2020-04-18,-6.3399963378906365,-3.333409627278409
2020-04-19,2020-04-25,9.866668701171877,17.46325068362045
2020-04-26,2020-05-02,-6.1,164.60864922424986
2020-05-03,2020-05-09,-2.4800048828124885,-49.60356247559189
2020-05-10,2020-05-16,7.7400024414062365,179.72152402341365
2020-05-17,2020-05-23,5.699996948242202,-2.7600000000000002
2020-05-24,2020-05-30,-3.759997558593761,18.393722534179688
2020-05-31,2020-06-06,10.300003051757812,0.5151950195431709
2020-06-07,2020-06-13,-0.54000244140625,-15.270581741351634
2020-06-14,2020-06-20,3.3199951171875,3.7152360351383686
2020-06-21,2020-06-27,-1.2399913787841796,19.571198193356363
2020-06-28,2020-07-04,-5.560002517700196,-47.150006885528775
2020-07-05,2020-07-11,5.379998779296875,21.23518669585683
2020-07-12,2020-07-18,3.7199951171875,1.5576070312410668
2020-07-19,2020-07-25,2.32501220703125,16.93438613280649
