first_day_in_week,last_day_in_week,ILX_main_symb_weekly_mean_diff,ININ.TA_weekly_mean_diff_-0.37,ZNKL.TA_weekly_mean_diff_-0.37
2019-03-10,2019-03-16,83.60000610351562,4.479998779296897,4.0
2019-03-17,2019-03-23,60.0,4.159997558593727,0.6
2019-03-24,2019-03-30,-34.599990844726555,2.760009765625,3.6
2019-03-31,2019-04-06,4.000015258789063,-3.3200073242187274,13.6
2019-04-07,2019-04-13,18.199920654296875,-0.41999511718754545,11.6
2019-04-14,2019-04-20,-3.999945068359375,11.559997558593773,11.0
2019-04-21,2019-04-27,-43.6,7.9,5.6
2019-04-28,2019-05-04,2.4,-4.3,-15.0
2019-05-05,2019-05-11,-5.000021362304506,-2.25999755859375,-8.8
2019-05-12,2019-05-18,52.39997863769513,-6.65999755859375,-6.4
2019-05-19,2019-05-25,-19.799957275390625,2.0199951171875,25.8
2019-05-26,2019-06-01,16.999969482422053,-13.3,-11.6
2019-06-02,2019-06-08,33.200073242187315,1.1599975585937727,-5.2
2019-06-09,2019-06-15,7.39990234375,2.120007324218727,-2.6
2019-06-16,2019-06-22,-16.999969482421875,-2.9800048828125,-13.8
2019-06-23,2019-06-29,-51.39999389648438,-2.620001220703125,0.2
2019-06-30,2019-07-06,16.199951171874822,4.320001220703125,8.8
2019-07-07,2019-07-13,-18.399963378906072,0.2800048828125,11.2
2019-07-14,2019-07-20,-20.5999755859375,-3.800006103515625,0.0
2019-07-21,2019-07-27,53.60000610351562,-5.339996337890625,-3.6
2019-07-28,2019-08-03,-15.5999755859375,1.339996337890625,-16.8
2019-08-04,2019-08-10,-58.00003051757813,4.64000244140625,8.8
2019-08-11,2019-08-17,296.3999938964844,-3.9600036621093637,-0.8
2019-08-18,2019-08-24,-21.60003662109375,-1.6199951171875113,4.2
2019-08-25,2019-08-31,86.60003662109375,-5.360003662109375,-3.4
2019-09-01,2019-09-07,-58.99993896484375,0.0,-5.0
2019-09-08,2019-09-14,-79.00009155273438,0.04000244140625,-0.2
2019-09-15,2019-09-21,44.000091552734375,-3.4250030517578125,-9.25
2019-09-22,2019-09-28,-80.50003051757812,2.3,0.6
2019-09-29,2019-10-05,26.99991861979167,-2.25,3.0
2019-10-06,2019-10-12,-9.666697184244793,-4.799997965494792,9.333333333333334
2019-10-13,2019-10-19,-12.999979654947914,-8.066670735677064,-0.6666666666666666
2019-10-20,2019-10-26,19.799957275390625,3.900004069010398,-2.3333333333333335
2019-10-27,2019-11-02,33.600006103515625,2.8,4.6
2019-11-03,2019-11-09,-4.199981689453125,3.9,9.6
2019-11-10,2019-11-16,36.00006103515625,-0.9400024414062387,-8.0
2019-11-17,2019-11-23,111.199951171875,0.04000244140623863,27.0
2019-11-24,2019-11-30,-69.79995727539061,0.020001220703125,8.4
2019-12-01,2019-12-07,37.79998779296875,-2.279998779296875,-1.6
2019-12-08,2019-12-14,24.4000244140625,2.439996337890625,15.4
2019-12-15,2019-12-21,-10.200042724609377,-0.22000122070311362,28.4
2019-12-22,2019-12-28,17.400054931640625,1.7800048828124886,-20.0
2019-12-29,2020-01-04,43.600006103515625,-3.020001220703125,28.4
2020-01-05,2020-01-11,0.19989013671875,0.25999755859375,-15.4
2020-01-12,2020-01-18,22.400054931640625,0.360003662109375,-4.6
2020-01-19,2020-01-25,-1.199951171875,0.879998779296875,-29.8
2020-01-26,2020-02-01,8.99993896484375,-0.8,-0.8
2020-02-02,2020-02-08,50.20004272460938,-2.3,-2.6
2020-02-09,2020-02-15,-32.20001220703125,1.2399963378906365,1.0
2020-02-16,2020-02-22,-161.45003509521484,0.24000244140623864,24.2
2020-02-23,2020-02-29,-99.9374942779541,-3.620001220703125,-6.0
2020-03-01,2020-03-07,-228.2500762939453,-4.25,24.25
2020-03-08,2020-03-14,13.800048828125,-18.92499542236328,-61.5
2020-03-15,2020-03-21,392.20001220703125,-16.34000244140625,-39.6
2020-03-22,2020-03-28,10.0,0.9,47.4
2020-03-29,2020-04-04,-57.99992879231772,24.54000244140625,65.0
2020-04-05,2020-04-11,244.3331400553385,-7.566670735677083,-64.33333333333333
2020-04-12,2020-04-18,270.20004272460943,-3.23333740234375,3.0
2020-04-19,2020-04-25,63.33338419596353,2.6800048828125,22.8
2020-04-26,2020-05-02,-205.80001831054688,5.199991861979186,16.333333333333332
2020-05-03,2020-05-09,-3.600006103515625,0.5400024414062387,2.0
2020-05-10,2020-05-16,-28.800048828125,0.44000244140625,-10.2
2020-05-17,2020-05-23,14.750099182128904,-0.94000244140625,9.0
2020-05-24,2020-05-30,109.99984741210848,-10.650001525878906,2.5
