first_day_in_week,last_day_in_week,MLD_main_symb_weekly_mean_diff,MCTC.TA_weekly_mean_diff_-0.39,CANF.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,0.5599998474121094,7.599998474121094,-1.7
2019-03-17,2019-03-23,-0.5,-1.1999969482421875,5.460000610351562
2019-03-24,2019-03-30,-4.3,101.5999984741211,-14.520001220703126
2019-03-31,2019-04-06,0.1599998474121101,7.1999969482421875,-7.619999694824219
2019-04-07,2019-04-13,0.3400001525878899,9.800003051757812,-1.2
2019-04-14,2019-04-20,0.3800003051757813,1.1999969482421875,-2.8199996948242188
2019-04-21,2019-04-27,0.1,-7.0,0.36000061035155967
2019-04-28,2019-05-04,0.1399993896484375,-34.399993896484375,-2.1600006103515597
2019-05-05,2019-05-11,-1.039999771118164,6.1999969482421875,-1.3199996948242188
2019-05-12,2019-05-18,-0.3399997711181648,-39.80000305175781,-2.4
2019-05-19,2019-05-25,-0.9,13.199996948242188,-6.320000457763672
2019-05-26,2019-06-01,-0.8400001525878901,-15.0,-0.9599998474121094
2019-06-02,2019-06-08,-0.4200000762939453,-6.0,0.9599998474121094
2019-06-09,2019-06-15,-0.12000007629394532,-3.0,-0.8799995422363281
2019-06-16,2019-06-22,2.8800003051757805,-5.999992370605469,0.6
2019-06-23,2019-06-29,0.4999999999999993,12.400001525878906,-0.3600006103515625
2019-06-30,2019-07-06,-1.9600002288818343,-11.000000000000023,0.1600006103515625
2019-07-07,2019-07-13,-0.2599998474121087,-10.600006103515625,0.0399993896484375
2019-07-14,2019-07-20,0.1200000762939439,0.600006103515625,0.1600006103515625
2019-07-21,2019-07-27,0.05999984741211008,-5.0,-0.5800003051757813
2019-07-28,2019-08-03,0.220000076293946,-11.400001525878883,0.18000030517578125
2019-08-04,2019-08-10,0.13999977111816406,2.7999954223632586,-1.0600002288818353
2019-08-11,2019-08-17,0.4400001525878899,-6.9999999999999885,-0.12000007629394602
2019-08-18,2019-08-24,-1.1599998474121094,-9.0,-0.44000015258788994
2019-08-25,2019-08-31,-0.06000022888183594,-2.7999954223632697,0.6
2019-09-01,2019-09-07,0.6200000762939453,-2.5999984741210938,-0.6399997711181641
2019-09-08,2019-09-14,-0.4250001907348624,-6.200004577636719,1.0200000762939432
2019-09-15,2019-09-21,-0.4599998474121101,2.2500038146972656,-0.6249999999999991
2019-09-22,2019-09-28,-0.6000003814697266,13.79999542236327,-0.42000007629394387
2019-09-29,2019-10-05,0.6666666666666666,9.000015258789062,-1.4000005722045898
2019-10-06,2019-10-12,-0.4333330790201823,3.3333333333333335,0.7333335876464832
2019-10-13,2019-10-19,0.4666665395100911,-16.666666666666647,-0.03333346048990885
2019-10-20,2019-10-26,-0.2599998474121093,-9.00000254313151,-0.20000012715657434
2019-10-27,2019-11-02,0.3599998474121094,9.0,0.6
2019-11-03,2019-11-09,-0.5399997711181641,-6.400001525878906,-0.1799999237060554
2019-11-10,2019-11-16,0.2,1.8000030517578125,-0.1200000762939446
2019-11-17,2019-11-23,-0.040000152587890615,1.5999984741210938,0.18000030517577983
2019-11-24,2019-11-30,-0.07999992370605469,-1.0,0.13999977111816478
2019-12-01,2019-12-07,0.059999847412109376,-5.0,3.720000076293945
2019-12-08,2019-12-14,0.020000076293945308,7.599998474121094,-1.8400001525878906
2019-12-15,2019-12-21,0.1,-2.1999969482421875,-0.7199996948242188
2019-12-22,2019-12-28,-0.3,3.1999969482421875,1.5
2019-12-29,2020-01-04,-0.07999992370605469,-2.4000015258789062,-0.9599998474121094
2020-01-05,2020-01-11,-0.16000022888183593,7.400001525878906,-1.1
2020-01-12,2020-01-18,-0.2799999237060547,-3.800003051757824,0.1
2020-01-19,2020-01-25,-0.8599998474121093,6.600006103515625,-0.22000045776367116
2020-01-26,2020-02-01,-1.2200000762939454,-5.600006103515625,-0.939999771118164
2020-02-02,2020-02-08,0.2399999618530275,-0.7999954223632699,-0.4799999237060561
2020-02-09,2020-02-15,0.04000005722045881,-10.20000457763673,-2.180000114440917
2020-02-16,2020-02-22,-0.2800000190734863,-5.79999542236327,0.6600000381469723
2020-02-23,2020-02-29,-0.0499999523162844,-5.599998474121094,-0.4200000762939453
2020-03-01,2020-03-07,-0.7750000357627865,-5.500001907348647,2.0250000953674325
