first_day_in_week,last_day_in_week,MLD_main_symb_weekly_mean_diff,MCTC.TA_weekly_mean_diff_-0.39,CANF.TA_weekly_mean_diff_0.46
2020-03-08,2020-03-14,-0.3800000190734864,-26.000003814697244,-1.7000002861022958
2020-03-15,2020-03-21,0.4200000286102295,-0.5999984741210994,0.16000022888183593
2020-03-22,2020-03-28,-0.040000009536743084,7.0,0.02000007629394531
2020-03-29,2020-04-04,0.16666666666666652,79.2,-0.08000030517578124
2020-04-05,2020-04-11,0.3666667143503825,-11.333333333333334,0.5333334604899088
2020-04-12,2020-04-18,-0.14000005722045902,-16.800008138020832,1.4666665395100924
2020-04-19,2020-04-25,0.10000006357828777,-13.8199951171875,-0.41999969482421945
2020-04-26,2020-05-02,0.0,-2.5333353678385415,0.39999961853027344
2020-05-03,2020-05-09,-0.12000002861022947,-2.639996337890625,-0.25999984741210935
2020-05-10,2020-05-16,-0.04000000953674317,2.739996337890625,-0.06000022888183594
2020-05-17,2020-05-23,-0.1499999761581421,2.820001220703125,0.9600002288818367
2020-05-24,2020-05-30,0.15999999046325686,7.425003051757784,-0.20000028610229492
2020-05-31,2020-06-06,-0.09999996423721312,-9.260003662109352,-0.01999969482422017
2020-06-07,2020-06-13,0.0,0.9000015258789062,-0.9999999999999991
2020-06-14,2020-06-20,-0.06000003814697265,-2.65999755859375,0.0
2020-06-21,2020-06-27,-0.5599999822676182,0.1,0.1
2020-06-28,2020-07-04,0.4800000108778477,-13.480000305175816,0.4599999308586128
2020-07-05,2020-07-11,0.019999980926513672,-4.400004577636674,-0.3800000071525581
2020-07-12,2020-07-18,0.0,1.9400024414062387,0.23999977111816406
2020-07-19,2020-07-25,-0.02499997615814209,-0.820001220703125,1.1400001525878907
