first_day_in_week,last_day_in_week,ORON_main_symb_weekly_mean_diff,RAVD.TA_weekly_mean_diff_0.48,AYAL.TA_weekly_mean_diff_0.49,BIOV.TA_weekly_mean_diff_0.57
2019-03-10,2019-03-16,0.08000183105468181,0.0,-3.8,1.839996337890625
2019-03-17,2019-03-23,-1.0400024414062383,-0.44000244140625,-18.4,0.820001220703125
2019-03-24,2019-03-30,0.8200012207031193,-0.2,-6.0,1.64000244140625
2019-03-31,2019-04-06,0.5799987792968807,-6.3199951171875,-2.4,0.6
2019-04-07,2019-04-13,0.5,-4.34000244140625,2.0,0.879998779296875
2019-04-14,2019-04-20,-0.033330281575530314,5.65999755859375,1.0,-0.479998779296875
2019-05-05,2019-05-11,-1.5800018310546815,0.3,10.8,-0.25999755859375
2019-05-12,2019-05-18,0.5,-1.22000732421875,26.0,-1.160003662109375
2019-05-19,2019-05-25,1.9600006103515624,1.05999755859375,-3.4,0.779998779296875
2019-05-26,2019-06-01,0.0600006103515625,-2.27999267578125,-10.4,-0.879998779296875
2019-06-02,2019-06-08,0.1,-1.24000244140625,-45.8,0.379998779296875
2019-06-09,2019-06-15,0.379998779296875,-0.1,22.4,-2.1
2019-06-16,2019-06-22,-0.0399993896484375,0.34000244140625,-15.0,-1.7
2019-06-23,2019-06-29,3.4799987792968805,-0.3,0.0,2.920001220703125
2019-06-30,2019-07-06,1.320001220703119,3.67999267578125,1.4,-3.420001220703125
2019-07-07,2019-07-13,-4.3,-1.45999755859375,-9.6,-2.3
2019-07-14,2019-07-20,-1.1399993896484375,2.1,-9.4,-4.139996337890636
2019-07-21,2019-07-27,0.7399993896484375,-0.27999267578125,2.4,1.4599975585937728
2019-07-28,2019-08-03,2.1600006103515623,-0.9800048828125,4.8,2.9400024414062385
2019-08-04,2019-08-10,0.7,2.5800048828125,-17.2,-3.560003662109375
2019-08-11,2019-08-17,0.019998168945318185,-2.52000732421875,7.4,-0.05999755859375
2019-08-18,2019-08-24,1.7400024414062387,-0.24000244140625,10.4,-0.9
2019-08-25,2019-08-31,1.3399993896484432,-0.239990234375,27.8,1.9200012207031136
2019-09-01,2019-09-07,2.139999389648437,-1.44000244140625,13.4,-0.32000122070311365
2019-09-08,2019-09-14,0.0749969482421875,-0.05999755859375,-7.8,0.4799987792968864
2019-09-15,2019-09-21,1.9800048828125,0.8249969482421875,-16.0,0.125
2019-09-22,2019-09-28,-3.0,-1.05999755859375,15.6,-1.5200012207031364
2019-09-29,2019-10-05,2.5333251953125,-3.350006103515625,-11.0,-3.149993896484375
2019-10-06,2019-10-12,1.5,1.8333333333333333,0.6666666666666666,3.6666666666666665
2019-10-13,2019-10-19,3.4333394368489585,9.466654459635416,19.666666666666668,3.466664632161477
2019-10-20,2019-10-26,5.620001220703125,9.600016276041666,8.0,-2.466664632161477
2019-10-27,2019-11-02,2.0199951171875,2.0,-30.8,-1.25999755859375
2019-11-03,2019-11-09,0.820001220703125,0.15999755859375,-15.4,-1.74000244140625
2019-11-10,2019-11-16,0.2,-0.14000244140625,-4.2,-1.2399993896484376
2019-11-17,2019-11-23,2.74000244140625,2.9,-3.4,2.0800018310546875
2019-11-24,2019-11-30,-1.679998779296875,1.2,6.8,6.439996337890625
2019-12-01,2019-12-07,-1.160003662109375,-1.4800048828125,-13.0,-1.279998779296875
2019-12-08,2019-12-14,-3.739996337890625,2.94000244140625,-11.0,1.04000244140625
2019-12-15,2019-12-21,2.379998779296875,22.44000244140625,-15.0,1.239996337890625
2019-12-22,2019-12-28,0.179998779296875,-3.2,-4.8,1.660003662109375
2019-12-29,2020-01-04,0.020001220703125,8.4,19.8,-1.8800048828125
2020-01-05,2020-01-11,0.079998779296875,3.580004882812477,-1.0,0.64000244140625
2020-01-12,2020-01-18,-0.720001220703125,-8.360009765624955,-8.4,1.3
2020-01-19,2020-01-25,-1.9,4.980004882812477,-9.4,-1.3
2020-01-26,2020-02-01,-0.7,-7.9199951171875,-14.6,-1.75999755859375
2020-02-02,2020-02-08,-0.279998779296875,-9.82000732421875,-8.2,-1.820001220703125
2020-02-09,2020-02-15,0.84000244140625,4.8800048828125,8.2,-0.34000244140623864
2020-02-16,2020-02-22,-2.420001220703125,9.540002441406227,28.6,0.4999999999999886
2020-02-23,2020-02-29,-1.0250015258789062,-9.680004882812478,-53.8,0.560003662109375
2020-03-01,2020-03-07,-18.2750015258789,-9.25,-33.75,-8.925003051757812
2020-03-08,2020-03-14,-5.519998168945318,-45.80000305175781,-84.75,-16.549999237060547
2020-03-15,2020-03-21,4.460000610351557,-16.25999755859375,-46.85999755859375,-4.380001831054687
2020-03-22,2020-03-28,5.679998779296881,-6.459997558593773,-5.0800048828125,5.0800018310546875
2020-03-29,2020-04-04,19.033335367838546,37.15999755859377,65.74000244140625,11.539999389648438
2020-04-05,2020-04-11,1.7999979654947915,-2.5,15.666666666666666,-4.799997965494801
2020-04-12,2020-04-18,-0.220001220703125,-4.699991861979167,-17.666666666666668,4.266662597656269
2020-04-19,2020-04-25,5.23333740234375,-8.92000732421875,22.6,-1.9199981689453183
2020-04-26,2020-05-02,-3.020001220703125,0.76666259765625,28.0,3.899998982747396
2020-05-03,2020-05-09,-0.35999755859375,0.860009765625,-5.4,-2.2
2020-05-10,2020-05-16,-0.94000244140625,-0.9800048828125,-21.0,-0.6799987792968807
2020-05-17,2020-05-23,-0.0749969482421875,4.44000244140625,4.6,0.019998168945318185
2020-05-24,2020-05-30,0.7199951171875,2.9749908447265625,-0.25,-2.424999237060547
