first_day_in_week,last_day_in_week,BIOV_main_symb_weekly_mean_diff,PHOE.TA_weekly_mean_diff_0.46_INT_HARL.TA_weekly_mean_diff_0.43_corr_0.81
2019-03-10,2019-03-16,0.820001220703125,-28.81119140625
2019-03-17,2019-03-23,1.64000244140625,-22.14990234375
2019-03-24,2019-03-30,0.6,1537.01953125
2019-03-31,2019-04-06,0.879998779296875,813.3481494140625
2019-04-07,2019-04-13,-0.479998779296875,606.0127148437499
2019-04-14,2019-04-20,-0.320001220703125,40.595966796875
2019-04-21,2019-04-27,1.4,32.77960449218729
2019-04-28,2019-05-04,-0.25999755859375,142.00790527343662
2019-05-05,2019-05-11,-1.160003662109375,-14.803125
2019-05-12,2019-05-18,0.779998779296875,1164.409765625
2019-05-19,2019-05-25,-0.879998779296875,-72.027978515625
2019-05-26,2019-06-01,0.379998779296875,-32.782216796875005
2019-06-02,2019-06-08,-2.1,87.361083984375
2019-06-09,2019-06-15,-1.7,-1.69404296875
2019-06-16,2019-06-22,2.920001220703125,84.940693359375
2019-06-23,2019-06-29,-3.420001220703125,301.982216796875
2019-06-30,2019-07-06,-2.3,38.831953125
2019-07-07,2019-07-13,-4.139996337890636,-3.7743945312499996
2019-07-14,2019-07-20,1.4599975585937728,36.413671875
2019-07-21,2019-07-27,2.9400024414062385,19.431650390625
2019-07-28,2019-08-03,-3.560003662109375,25.8890625
2019-08-04,2019-08-10,-0.05999755859375,174.73681640625
2019-08-11,2019-08-17,-0.9,48.53522460937501
2019-08-18,2019-08-24,1.9200012207031136,228.24635253906249
2019-08-25,2019-08-31,-0.32000122070311365,2.7744140625
2019-09-01,2019-09-07,0.4799987792968864,96.138046875
2019-09-08,2019-09-14,0.125,54.312998046875
2019-09-15,2019-09-21,-1.5200012207031364,178.44593811035156
2019-09-22,2019-09-28,-3.149993896484375,104.96
2019-09-29,2019-10-05,3.6666666666666665,369.0
2019-10-06,2019-10-12,3.466664632161477,-3.0
2019-10-13,2019-10-19,-2.4666646321614767,245.66666666666666
2019-10-20,2019-10-26,-1.25999755859375,22.666666666666668
2019-10-27,2019-11-02,-1.74000244140625,464.28
2019-11-03,2019-11-09,-1.2399993896484376,-6.16
2019-11-10,2019-11-16,2.0800018310546875,7.68
2019-11-17,2019-11-23,6.439996337890625,28.08
2019-11-24,2019-11-30,-1.279998779296875,285.2
2019-12-01,2019-12-07,1.04000244140625,37.519999999999996
2019-12-08,2019-12-14,1.239996337890625,121.43999999999998
2019-12-15,2019-12-21,1.660003662109375,88.44
2019-12-22,2019-12-28,-1.8800048828125,15.36
2019-12-29,2020-01-04,0.64000244140625,4.960000000000001
2020-01-05,2020-01-11,1.3,628.0
2020-01-12,2020-01-18,-1.3,1.7600000000000002
2020-01-19,2020-01-25,-1.75999755859375,0.72
2020-01-26,2020-02-01,-1.820001220703125,651.24
2020-02-02,2020-02-08,-0.34000244140623864,28.56
2020-02-09,2020-02-15,0.4999999999999886,57.76
2020-02-16,2020-02-22,0.560003662109375,168.48000000000002
2020-02-23,2020-02-29,-8.925003051757812,3467.6400000000003
2020-03-01,2020-03-07,-16.549999237060547,3977.875
2020-03-08,2020-03-14,-4.380001831054687,5978.6875
2020-03-15,2020-03-21,5.080001831054688,133.39999999999998
2020-03-22,2020-03-28,11.539999389648438,2012.8
2020-03-29,2020-04-04,-4.799997965494801,-92.88
2020-04-05,2020-04-11,4.266662597656269,69.0
2020-04-12,2020-04-18,-1.9199981689453185,623.3333333333334
2020-04-19,2020-04-25,3.8999989827473964,1266.08
2020-04-26,2020-05-02,-2.2,434.8888888888889
2020-05-03,2020-05-09,-0.6799987792968807,558.6
2020-05-10,2020-05-16,0.019998168945318185,1012.3200000000002
2020-05-17,2020-05-23,-2.424999237060547,521.6
2020-05-24,2020-05-30,0.4399993896484375,28.125
2020-05-31,2020-06-06,1.4500007629394531,638.4
2020-06-07,2020-06-13,-1.1399993896484375,11.25
2020-06-14,2020-06-20,2.079998779296875,211.68
2020-06-21,2020-06-27,-0.2200000762939453,1370.2
2020-06-28,2020-07-04,0.020000076293945308,60.5200331115621
2020-07-05,2020-07-11,7.060000610351563,57.12006912230448
2020-07-12,2020-07-18,2.120001220703114,-88.8
2020-07-19,2020-07-25,-0.02500152587889204,89.88
