first_day_in_week,last_day_in_week,PCBT_main_symb_weekly_mean_diff,WLFD.TA_weekly_mean_diff_0.48,ECP.TA_weekly_mean_diff_0.51,LEVI.TA_weekly_mean_diff_0.51,ONE.TA_weekly_mean_diff_0.51,ALRPR.TA_weekly_mean_diff_0.52,ALRPR.TA_weekly_mean_diff_0.52_INT_OPAL.TA_weekly_mean_diff_0.47_corr_0.72,SHOM.TA_weekly_mean_diff_0.54,SHGR.TA_weekly_mean_diff_0.56
2019-12-08,2019-12-14,-2.4400024414062385,19.0,-25.4,166.0,194.0,20.0,-40.39990234375023,-5.1,-0.4
2019-12-15,2019-12-21,12.5,21.0,22.6,124.0,66.0,68.0,227.1197509765625,13.24000244140625,13.0
2019-12-22,2019-12-28,-3.379998779296886,-23.2,10.0,-68.0,-48.0,-42.0,-63.84005126953125,3.6800048828125,-1.4
2019-12-29,2020-01-04,-0.32000122070311365,-18.8,-2.0,106.0,84.0,60.0,294.0,12.07999267578125,5.0
2020-01-05,2020-01-11,4.7,-1.2,69.2,104.0,10.0,44.0,396.0,23.00000000000002,7.8
2020-01-12,2020-01-18,2.5400024414062385,-5.2,-68.4,-26.0,182.0,418.0,-392.9210205078078,-10.739990234375023,-4.2
2020-01-19,2020-01-25,-0.979998779296875,-17.0,5.4,-38.0,-2.0,-84.0,20.159692382813457,-0.84000244140625,2.4
2020-01-26,2020-02-01,-1.920001220703125,-2.0,107.6,-100.0,-118.0,-220.0,752.4002685546875,-3.3800048828125,-9.8
2020-02-02,2020-02-08,2.84000244140625,10.0,32.8,174.0,-190.0,-62.0,132.6801513671868,15.34000244140625,-17.2
2020-02-09,2020-02-15,1.079998779296875,-25.0,45.8,-94.0,-6.0,-30.0,-73.20007324218716,-6.5199951171875,14.8
2020-02-16,2020-02-22,-6.279998779296875,-14.8,-69.8,218.0,-102.0,166.0,893.0797973632812,19.27999267578125,-8.8
2020-02-23,2020-02-29,-13.20000457763672,-8.4,-86.6,-426.0,-482.0,-438.0,1226.3999999999999,-20.4,-20.0
2020-03-01,2020-03-07,-19.875,-50.25,-112.5,-472.5,-575.0,-890.0,18912.5,-40.44999694824219,-31.074996948242188
2020-03-08,2020-03-14,-10.879998779296878,-70.5,-242.75,-1332.5,-562.5,-1003.0,30591.499999999993,-62.275001525878906,-38.67500305175781
2020-03-15,2020-03-21,5.6,9.0,48.2,-124.0,120.0,-32.6,452.4879602050783,-2.179998779296875,17.15999755859375
2020-03-22,2020-03-28,21.3,35.8,215.4,618.0,634.0,376.8,4129.728229980468,37.6,35.84000244140625
2020-03-29,2020-04-04,2.333333333333333,-0.6,-131.6,342.0,96.0,184.2,1127.3036627197287,-6.44000244140625,3.4
2020-04-05,2020-04-11,-0.3333333333333333,69.66666666666667,170.33333333333334,-240.0,566.6666666666666,-122.66666666666667,-278.0451931423588,11.599995930989584,-7.666666666666667
2020-04-12,2020-04-18,2.559997558593761,-3.3333333333333335,-13.333333333333334,43.333333333333336,-133.33333333333334,-285.0,76.00173950194772,12.5,8.0
2020-04-19,2020-04-25,1.100006103515606,53.4,66.0,-224.0,-72.0,36.2,60.09213256835897,10.52000732421875,19.8
2020-04-26,2020-05-02,3.1399963378906364,-29.666666666666668,68.33333333333333,316.6666666666667,750.0,324.0,1965.5980224609375,27.133321126302082,12.333333333333334
2020-05-03,2020-05-09,1.6800048828124887,-7.2,-25.0,-394.0,-120.0,-190.2,-1023.2757678222655,-9.2199951171875,-10.2
2020-05-10,2020-05-16,4.539996337890625,-15.6,2.2,186.0,-42.0,-251.2,1939.2627734374998,-23.2800048828125,-15.8
2020-05-17,2020-05-23,4.625,23.8,75.4,-28.0,286.0,81.4,-16.28,13.8,14.0
2020-05-24,2020-05-30,-0.32000122070311365,-14.25,260.5,210.0,-302.5,0.0,-0.0,-8.17498779296875,-11.5
2020-05-31,2020-06-06,1.2000045776367043,-3.2,4.2,268.0,154.0,-16.0,-7.3599609375,1.1199951171875,2.2
2020-06-07,2020-06-13,-1.820001220703125,-29.75,-35.25,-72.5,147.5,181.25,240.15569686889648,-11.524993896484375,-11.75
2020-06-14,2020-06-20,1.64000244140625,24.0,78.0,-520.0,388.0,110.4,-569.66373046875,-0.72000732421875,-22.6
2020-06-21,2020-06-27,-3.040006256103516,-40.8,-26.0,-138.0,-362.0,-109.4,385.0881335449213,-5.55999755859375,9.2
2020-06-28,2020-07-04,0.460001373291027,-4.600009155273346,25.99993896484375,-352.0,-143.999755859375,-70.39993286132812,288.6397381591669,11.500001144409179,3.400002288818359
2020-07-05,2020-07-11,-9.95999755859376,-29.999990844726653,-122.39993896484376,-94.0,-574.000244140625,-21.800067138671874,34.44407530965878,-13.440003585815429,-3.2000022888183595
2020-07-12,2020-07-18,10.120001220703122,42.2,282.6,298.0,696.0,3.2,3.7759960937500185,1.32000732421875,45.0
2020-07-19,2020-07-25,-0.7750015258789062,28.2,-46.2,6.0,112.0,-2.6,-5.096001586914048,8.639990234375,16.8
