first_day_in_week,last_day_in_week,ENLT_main_symb_weekly_mean_diff,IES.TA_weekly_mean_diff_0.35,PCBT.TA_weekly_mean_diff_0.37,ALRPR.TA_weekly_mean_diff_0.4,OPAL.TA_weekly_mean_diff_0.4
2019-03-10,2019-03-16,0.620001220703125,-36.0,1.379998779296875,64.0,1.3200012207031364
2019-03-17,2019-03-23,0.4600006103515568,-2.0,7.8,0.0,2.1199951171875
2019-03-24,2019-03-30,-0.060000610351556814,16.0,-0.6599975585937727,46.0,-0.25999755859375
2019-03-31,2019-04-06,0.8,-134.0,1.4799926757812727,12.0,7.779998779296875
2019-04-07,2019-04-13,0.7399993896484375,104.0,3.1800048828125,-14.0,2.660003662109375
2019-04-14,2019-04-20,1.6,-2.0,1.7,90.0,-0.34000244140625
2019-04-21,2019-04-27,-1.3799987792968806,-44.0,0.3199951171875,14.0,1.7
2019-04-28,2019-05-04,0.41999816894531816,-70.0,3.42000732421875,-70.0,-3.579998779296875
2019-05-05,2019-05-11,0.5,84.0,-0.85999755859375,36.0,-0.620001220703125
2019-05-12,2019-05-18,0.120001220703125,78.0,0.4199951171875,18.0,-0.020001220703125
2019-05-19,2019-05-25,0.5199981689453181,-90.0,0.9199951171875,64.0,0.9
2019-05-26,2019-06-01,2.9400024414062385,-8.0,0.72000732421875,-164.0,-0.5
2019-06-02,2019-06-08,1.4799987792968807,66.0,-0.85999755859375,-30.0,1.8
2019-06-09,2019-06-15,3.04000244140625,84.0,-0.52000732421875,148.0,-1.0
2019-06-16,2019-06-22,0.95999755859375,106.0,-0.0199951171875,90.0,-2.039996337890625
2019-06-23,2019-06-29,1.35999755859375,252.0,-7.52000732421875,-20.0,1.8
2019-06-30,2019-07-06,4.64000244140625,192.0,2.060009765625,162.0,4.35999755859375
2019-07-07,2019-07-13,-2.0,-22.0,0.7,66.0,2.420001220703125
2019-07-14,2019-07-20,0.0,-80.0,-3.8400024414062726,-238.0,-0.379998779296875
2019-07-21,2019-07-27,4.320001220703125,-12.0,-0.6800048828124545,-34.0,1.239996337890625
2019-07-28,2019-08-03,2.120001220703125,458.0,-4.419995117187545,76.0,1.24000244140625
2019-08-04,2019-08-10,-2.820001220703125,72.0,-4.540002441406227,156.0,-0.820001220703125
2019-08-11,2019-08-17,12.279998779296875,54.0,-2.25999755859375,-114.0,-0.1
2019-08-18,2019-08-24,-3.420001220703125,-16.0,2.0199951171875115,80.0,-6.5
2019-08-25,2019-08-31,-2.279998779296875,-44.0,-4.879998779296886,34.0,-3.0
2019-09-01,2019-09-07,0.4,-92.0,-5.0,0.0,3.0
2019-09-08,2019-09-14,2.0749969482422017,-162.0,-5.079998779296875,36.0,1.279998779296875
2019-09-15,2019-09-21,2.6200012207031143,425.0,2.6750030517578125,95.0,0.40000152587890625
2019-09-22,2019-09-28,-0.1999969482421875,40.0,3.579998779296875,-10.0,-1.8
2019-09-29,2019-10-05,8.666666666666666,300.0,8.699996948242188,-20.0,-1.3000030517578125
2019-10-06,2019-10-12,6.0,66.66666666666667,5.466664632161458,250.0,0.7000020345052084
2019-10-13,2019-10-19,-1.6666666666666667,250.0,0.100006103515625,-6.666666666666667,0.8333333333333334
2019-10-20,2019-10-26,0.5,96.66666666666667,1.1999918619791856,-90.0,2.6666666666666665
2019-10-27,2019-11-02,-5.340002441406238,-164.0,-3.2399963378906365,20.0,1.579998779296875
2019-11-03,2019-11-09,0.36000366210936363,-24.0,0.920001220703125,-102.0,0.720001220703125
2019-11-10,2019-11-16,3.05999755859375,-380.0,-2.820001220703125,-54.0,0.920001220703125
2019-11-17,2019-11-23,6.220001220703125,278.0,-8.679998779296875,52.0,2.579998779296875
2019-11-24,2019-11-30,-4.320001220703125,-164.0,-2.620001220703125,132.0,0.520001220703125
2019-12-01,2019-12-07,-2.95999755859375,-298.0,-0.720001220703125,10.0,1.1399963378906364
2019-12-08,2019-12-14,3.279998779296875,356.0,1.3,20.0,-2.0199951171875115
2019-12-15,2019-12-21,1.879998779296875,-32.0,-2.4400024414062385,68.0,3.339996337890625
2019-12-22,2019-12-28,3.84000244140625,-92.0,12.5,-42.0,1.520001220703125
2019-12-29,2020-01-04,5.879998779296875,76.0,-3.379998779296886,60.0,4.9
2020-01-05,2020-01-11,6.459997558593762,-234.0,-0.32000122070311365,44.0,9.0
2020-01-12,2020-01-18,-2.8399963378906365,86.0,4.7,418.0,-0.9400024414062387
2020-01-19,2020-01-25,6.979998779296875,-26.0,2.5400024414062385,-84.0,-0.23999633789063637
2020-01-26,2020-02-01,-5.0,-486.0,-0.979998779296875,-220.0,-3.420001220703125
2020-02-02,2020-02-08,-2.140002441406238,-96.0,-1.920001220703125,-62.0,-2.1400024414062386
2020-02-09,2020-02-15,1.1400024414062386,214.0,2.84000244140625,-30.0,2.4400024414062385
2020-02-16,2020-02-22,-1.6,112.0,1.079998779296875,166.0,5.379998779296875
2020-02-23,2020-02-29,-5.5,-616.0,-6.279998779296875,-438.0,-2.8
2020-03-01,2020-03-07,-36.07499694824219,-497.5,-13.200004577636719,-890.0,-21.25
2020-03-08,2020-03-14,0.879998779296875,-1000.0,-19.875,-1003.0,-30.499999999999993
2020-03-15,2020-03-21,4.979998779296875,-340.0,-10.879998779296875,-32.6,-13.87999877929688
2020-03-22,2020-03-28,4.779998779296875,434.0,5.6,376.8,10.960000610351562
2020-03-29,2020-04-04,10.700002034505207,546.0,21.3,184.2,6.119998168945324
2020-04-05,2020-04-11,-2.866668701171875,476.6666666666667,2.3333333333333335,-122.66666666666667,2.266672770182273
2020-04-12,2020-04-18,0.560003662109375,-206.66666666666666,-0.3333333333333333,-285.0,-0.2666727701822727
2020-04-19,2020-04-25,8.599995930989584,122.0,2.5599975585937615,36.2,1.6600036621093637
2020-04-26,2020-05-02,6.120001220703125,260.0,1.1000061035156061,324.0,6.066660563151042
2020-05-03,2020-05-09,4.579998779296875,40.0,3.1399963378906364,-190.2,5.379998779296875
2020-05-10,2020-05-16,15.5,58.0,1.6800048828124887,-251.2,-7.7199951171875
2020-05-17,2020-05-23,0.0,160.0,4.539996337890625,81.4,-0.2
2020-05-24,2020-05-30,-2.4199951171875,-270.0,4.625,0.0,-2.25
2020-05-31,2020-06-06,-3.125,-102.0,-0.32000122070311365,-16.0,0.45999755859375
2020-06-07,2020-06-13,8.5199951171875,-85.0,1.2000045776367045,181.25,1.3249969482421875
2020-06-14,2020-06-20,-4.0,-144.0,-1.820001220703125,110.4,-5.15999755859375
2020-06-21,2020-06-27,-0.5800048828125,-220.0,1.64000244140625,-109.4,-3.5200012207031195
2020-06-28,2020-07-04,-12.6199951171875,35.99993896484375,-3.0400062561035157,-70.39993286132812,-4.100000190734863
2020-07-05,2020-07-11,4.6,-349.99993896484375,0.46000137329102697,-21.800067138671874,-1.5799985885620174
2020-07-12,2020-07-18,5.9,60.0,-9.959997558593761,3.2,1.1799987792968807
2020-07-19,2020-07-25,8.574996948242188,-16.0,10.120001220703125,-2.6,1.9600006103515568
