first_day_in_week,last_day_in_week,MSLA_main_symb_weekly_mean_diff,ELAL.TA_weekly_mean_diff_0.36,CANF.TA_weekly_mean_diff_-0.41
2019-03-10,2019-03-16,-4.23333740234375,-1.2600006103515597,-1.7
2019-03-31,2019-04-06,17.75,0.8600006103515596,-7.619999694824219
2019-04-07,2019-04-13,12.550003051757812,0.4399993896484403,-1.2
2019-07-07,2019-07-13,14.7,-1.2399993896484376,0.0399993896484375
2019-07-14,2019-07-20,12.279998779296875,0.31999969482421875,0.1600006103515625
2019-07-21,2019-07-27,4.959997558593762,-0.01999969482421875,-0.5800003051757813
2019-07-28,2019-08-03,0.24000244140623864,-0.48000030517578124,0.18000030517578125
2019-08-04,2019-08-10,5.140002441406227,-0.1399993896484375,-1.0600002288818353
2019-08-11,2019-08-17,-1.1,-0.34000091552734374,-0.12000007629394602
2019-08-18,2019-08-24,-1.800003051757784,0.6600006103515625,-0.44000015258788994
2019-08-25,2019-08-31,-2.54998779296875,0.9399993896484375,0.6
2019-09-22,2019-09-28,-12.899993896484375,0.7800003051757812,-0.42000007629394387
2019-11-24,2019-11-30,-19.2,-8.220001220703125,0.13999977111816478
2019-12-01,2019-12-07,-3.14000244140625,-0.5600006103515597,3.720000076293945
2019-12-08,2019-12-14,13.979998779296874,-0.4799987792968807,-1.8400001525878906
2019-12-15,2019-12-21,12.620001220703125,-0.5200012207031193,-0.7199996948242188
2019-12-22,2019-12-28,5.5800048828125,0.6800003051757784,1.5
2019-12-29,2020-01-04,10.4,1.2199996948242215,-0.9599998474121094
2020-01-05,2020-01-11,-1.6,-0.6799987792968807,-1.1
2020-01-12,2020-01-18,16.0199951171875,-0.12000122070311932,0.1
2020-01-19,2020-01-25,-2.5800048828125,0.18000030517577842,-0.22000045776367116
2020-01-26,2020-02-01,-3.0,-0.8199996948242188,-0.939999771118164
2020-02-02,2020-02-08,0.0,0.16000061035155966,-0.4799999237060561
2020-03-01,2020-03-07,-14.850006103515625,0.35000038146972656,2.0250000953674325
2020-03-08,2020-03-14,5.4,-2.1999998092651367,-1.7000002861022958
2020-03-15,2020-03-21,-5.2,0.3400001525878878,0.16000022888183593
2020-03-22,2020-03-28,-11.8,-0.19999999999999857,0.02000007629394531
2020-03-29,2020-04-04,15.2199951171875,0.6199996948242201,-0.08000030517578124
2020-05-03,2020-05-09,-5.5199951171875,-1.2600006103515624,-0.25999984741210935
2020-05-10,2020-05-16,3.8400024414062273,-1.8,-0.06000022888183594
2020-05-17,2020-05-23,-5.0,0.24000015258789062,0.9600002288818367
2020-05-24,2020-05-30,-2.5400024414062274,0.3249998092651367,-0.20000028610229492
2020-05-31,2020-06-06,9.70001220703125,0.2600006103515625,-0.01999969482422017
2020-06-14,2020-06-20,-4.020007324218739,-0.1600006103515625,0.0
2020-06-21,2020-06-27,-0.17499542236329546,-1.2199996948242202,0.1
2020-06-28,2020-07-04,-2.866668701171875,-1.2400004863739,0.4599999308586128
2020-07-12,2020-07-18,5.4,0.5799995422363295,0.23999977111816406
2020-07-19,2020-07-25,0.0,-0.3,1.1400001525878907
