first_day_in_week,last_day_in_week,DUNI_main_symb_weekly_mean_diff,FIBIH.TA_weekly_mean_diff_0.43_INT_SHOM.TA_weekly_mean_diff_0.44_corr_0.7,HARL.TA_weekly_mean_diff_0.43,ILX.TA_weekly_mean_diff_0.43,PRSK.TA_weekly_mean_diff_0.41_INT_ATRY.TA_weekly_mean_diff_0.35_corr_0.71,ATRY.TA_weekly_mean_diff_0.35_INT_FIBIH.TA_weekly_mean_diff_0.43_corr_0.7,ROTS.TA_weekly_mean_diff_0.44,SHOM.TA_weekly_mean_diff_0.44,CMDR.TA_weekly_mean_diff_0.45,PIU.TA_weekly_mean_diff_0.45,MTRX.TA_weekly_mean_diff_0.46,SHGR.TA_weekly_mean_diff_0.46,ALRPR.TA_weekly_mean_diff_0.51,ALRPR.TA_weekly_mean_diff_0.51_INT_AZRM.TA_weekly_mean_diff_0.42_corr_0.74,AZRM.TA_weekly_mean_diff_0.42_INT_ATRY.TA_weekly_mean_diff_0.35_corr_0.76,FIBIH.TA_weekly_mean_diff_0.43_INT_AZRM.TA_weekly_mean_diff_0.42_corr_0.77,MRIN.TA_weekly_mean_diff_0.38_INT_AZRM.TA_weekly_mean_diff_0.42_corr_0.8,ASHG.TA_weekly_mean_diff_0.37_INT_ALRPR.TA_weekly_mean_diff_0.51_corr_0.72,ELCO.TA_weekly_mean_diff_0.35_INT_RLCO.TA_weekly_mean_diff_0.38_corr_0.71,ALRPR.TA_weekly_mean_diff_0.51_INT_FIBIH.TA_weekly_mean_diff_0.43_corr_0.73,ALRPR.TA_weekly_mean_diff_0.51_INT_MRIN.TA_weekly_mean_diff_0.38_corr_0.72,AZRM.TA_weekly_mean_diff_0.42_INT_MLTM.TA_weekly_mean_diff_0.39_corr_0.72,HARL.TA_weekly_mean_diff_0.43_INT_PHOE.TA_weekly_mean_diff_0.42_corr_0.83,MRIN.TA_weekly_mean_diff_0.38_INT_SHOM.TA_weekly_mean_diff_0.44_corr_0.77,SHOM.TA_weekly_mean_diff_0.44_INT_AZRM.TA_weekly_mean_diff_0.42_corr_0.74,SHOM.TA_weekly_mean_diff_0.44_INT_OPAL.TA_weekly_mean_diff_0.39_corr_0.8
2019-03-10,2019-03-16,-4.199981689453125,-19.2,-8.8,1.5999603271484375,5.120000000000001,409.6,-5.6,-0.6,-78.0,5.1199951171875,3.8,4.6,64.0,290.559765625,58.11195312500001,145.2798828125,15.799154003933177,960.0,14.2,2048.0,222.71953125000147,1216.7190185546876,-28.81119140625,-2.087995605468764,-2.723997802734375,-0.7920007324218818
2019-03-17,2019-03-23,25.0,34.56005859375,-5.0,83.60000610351562,225.72000000000003,273.6,-22.8,1.44000244140625,78.0,3.4,-16.4,27.8,0.0,0.0,60.876027832031255,128.16005859375002,-3.20400146484375,0.0,-187.52,0.0,-0.0,1687.440771484375,-22.14990234375,-0.86400146484375,7.689616552740336,3.052798144519329
2019-03-24,2019-03-30,160.40008544921875,-178.2,-30.0,60.0,264.48,-1231.2,-12.6,3.3,-62.0,0.75999755859375,10.8,-8.6,46.0,-90.16016845703074,-44.6880834960935,105.84019775390564,14.896027832031185,2355.2000000000003,-13.2,-2484.0,-349.60000000000053,31.36005859374982,1537.01953125,-25.080000000000034,-6.4680120849608995,-0.857991943359375
2019-03-31,2019-04-06,58.99993896484375,121.43994140625,30.6,-34.59999084472656,210.8,408.0,16.8,5.05999755859375,134.0,15.64000244140625,43.2,15.2,12.0,-35.51997070312514,-50.319958496093946,-71.03994140625028,-20.601575781256006,-232.79999999999998,-861.12,288.0,83.51997070312487,-503.19958496093943,813.3481494140625,35.217570654302776,-14.977580419927893,39.36677482910454
2019-04-07,2019-04-13,41.80007934570313,748.1202880859375,41.4,4.0000152587890625,1974.0,3540.0,39.4,6.34000244140625,-22.0,-13.0,60.0,1.0,-14.0,-57.119982910156246,122.39996337890625,481.4398559570312,-4.079998779296875,-414.40000000000003,3030.08,-1652.0,14.0,2366.3992919921875,606.0127148437499,-6.34000244140625,25.867202221676706,16.864429711923005
2019-04-14,2019-04-20,44.799951171875,-94.23995361328126,-6.8,18.199920654296875,367.35999999999996,-623.1999999999999,5.0,2.479998779296875,46.0,7.7,-24.0,-1.0,90.0,39.6002197265625,7.2160400390624995,-16.7200927734375,1.6016099609434704,1602.0,86.84,-3420.0,327.60021972656455,127.6007080078125,40.595966796875,9.027201611325202,1.091205517575145,-0.8432056396454574
2019-04-21,2019-04-27,-168.6,43.55997314453125,4.6,-3.999945068359375,19.840000000000003,-70.4,2.4,1.979998779296875,-24.0,2.680004882812477,-1.0,4.4,14.0,14.8399658203125,-3.3919921875,23.3199462890625,2.9892008788883446,249.20000000000002,552.24,308.0,39.48010253906218,-16.9599609375,32.77960449218729,5.583611059561327,2.098793872073293,3.365997924804687
2019-04-28,2019-05-04,41.6,440.0,-19.4,-43.6,133.28,2094.4,10.2,-5.0,-10.0,-10.2,-46.0,-14.4,-70.0,256.1998291015625,87.10794189453125,322.07978515625,0.36599975585937505,2282.0,149.16,6160.0,7.0,2261.8784912109377,142.00790527343662,0.5,18.29998779296875,17.899993896484375
2019-05-05,2019-05-11,-93.59996948242187,27.720007324218752,-9.6,2.4,-203.83999999999997,67.19999999999999,-3.6,4.620001220703125,-14.0,1.7599975585937728,14.6,3.4,36.0,-48.96013183593709,-15.232041015624871,-8.160021972656182,4.352011718749964,1447.2,-412.15999999999997,216.0,-115.2,-157.76042480468618,-14.803125,-14.784003906250001,-6.283218579105981,-2.8644063964858653
2019-05-12,2019-05-18,56.99996948242188,-61.560046386718746,36.2,-5.000021362304506,-128.16,273.6,2.4,-1.620001220703125,86.0,-6.84000244140625,24.4,-3.2,18.0,9.360021972656044,3.744008789062418,19.76004638671832,-0.6344052978604775,1090.8,16.0,684.0,-21.96013183593709,72.80017089843591,1164.409765625,1.9764133545010913,-0.8424026123061591,0.032402001954615116
2019-05-19,2019-05-25,-1.199951171875,-122.36003417968752,-11.0,52.39997863769513,-204.16,-492.80000000000007,15.6,8.74000244140625,214.0,-8.2800048828125,48.0,-17.8,64.0,1.280078125,0.70404296875,-0.28001708984375,0.051203076168894315,-1036.8,0.0,-896.0,163.83984374999855,21.32130126953125,-72.027978515625,22.374384912103217,0.17481071777641774,7.866002197265626
2019-05-26,2019-06-01,-0.40008544921875,366.24013671874997,7.4,-19.799957275390625,1024.32,-1478.3999999999999,3.6,-6.54000244140625,48.0,-2.35999755859375,38.6,6.8,-164.0,236.16040039062315,-38.0160644531247,80.64013671874936,18.921626806631537,-11086.4,491.96000000000004,9184.0,2154.959399414063,334.0805664062474,-32.782216796875005,85.93560812987387,9.41761948242776,3.270001220703125
2019-06-02,2019-06-08,4.600067138671875,76.8,-5.4,16.999969482422056,-470.40000000000003,-384.0,-6.4,4.8,-108.0,-12.7199951171875,-24.6,3.6,-30.0,7.799926757812842,6.239941406250273,-4.159960937500182,-0.9983912597597082,1296.0,746.7600000000001,-480.0,-115.2000732421875,41.0796142578143,87.361083984375,18.432011718749997,-1.2479882812500547,8.64
2019-06-09,2019-06-15,14.199981689453125,-53.48001708984375,-2.2,33.200073242187315,-36.0,280.0,2.2,-3.820001220703125,2.0,2.5,-7.0,8.0,148.0,124.320361328125,16.800048828125,11.7600341796875,-3.04080986328423,0.0,-34.0,2072.0,-535.7601806640624,-441.84128417968753,-1.69404296875,13.82840908203274,-3.2088103515654804,3.820001220703125
2019-06-16,2019-06-22,26.199951171875,15.359912109375001,4.2,7.39990234375,21.84,-436.79999999999995,-5.8,-0.639996337890625,40.0,0.7,-27.8,3.4,90.0,-18.0,-3.64,4.800000000000001,-0.76,-684.0,13.600000000000001,-2160.0,342.0,-76.0,84.940693359375,-2.431986083984375,0.12799926757812502,1.3055901855602863
2019-06-23,2019-06-29,176.20010375976562,208.3198486328125,-13.4,-16.999969482421875,549.4,508.4,-33.8,3.35999755859375,186.0,0.27999267578125,15.8,-2.2,-20.0,-133.5999755859375,54.77598999023437,414.15992431640626,-20.841604345701636,4.0,237.72000000000003,-1240.0,62.4000244140625,187.03996582031252,301.982216796875,-10.48319648437202,22.444779589846732,6.04799560546875
