first_day_in_week,last_day_in_week,DLEA_main_symb_weekly_mean_diff,LEVI.TA_weekly_mean_diff_0.36,PCBT.TA_weekly_mean_diff_0.41,BIOV.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,2.8,0.0,1.379998779296875,1.839996337890625
2019-03-17,2019-03-23,-19.2,26.0,7.8,0.820001220703125
2019-03-24,2019-03-30,-6.8,38.0,-0.6599975585937727,1.64000244140625
2019-03-31,2019-04-06,14.6,262.0,1.4799926757812727,0.6
2019-04-07,2019-04-13,14.4,-14.0,3.1800048828125,0.879998779296875
2019-04-14,2019-04-20,10.2,56.0,1.7,-0.479998779296875
2019-04-21,2019-04-27,13.8,-14.0,0.3199951171875,-0.320001220703125
2019-04-28,2019-05-04,-6.6,-96.0,3.42000732421875,1.4
2019-05-05,2019-05-11,-5.0,-24.0,-0.85999755859375,-0.25999755859375
2019-05-12,2019-05-18,-4.6,-138.0,0.4199951171875,-1.160003662109375
2019-05-19,2019-05-25,0.0,40.0,0.9199951171875,0.779998779296875
2019-05-26,2019-06-01,-2.6,86.0,0.72000732421875,-0.879998779296875
2019-06-02,2019-06-08,10.8,86.0,-0.85999755859375,0.379998779296875
2019-06-09,2019-06-15,1.4,44.0,-0.52000732421875,-2.1
2019-06-16,2019-06-22,7.8,42.0,-0.0199951171875,-1.7
2019-06-23,2019-06-29,16.2,48.0,-7.52000732421875,2.920001220703125
2019-06-30,2019-07-06,25.2,-44.0,2.060009765625,-3.420001220703125
2019-07-07,2019-07-13,-44.0,-68.0,0.7,-2.3
2019-07-14,2019-07-20,-10.4,30.0,-3.8400024414062726,-4.139996337890636
2019-07-21,2019-07-27,-12.6,76.0,-0.6800048828124545,1.4599975585937728
2019-07-28,2019-08-03,-18.2,158.0,-4.419995117187545,2.9400024414062385
2019-08-04,2019-08-10,-11.0,486.0,-4.540002441406227,-3.560003662109375
2019-08-11,2019-08-17,42.4,-40.0,-2.25999755859375,-0.05999755859375
2019-08-18,2019-08-24,-3.4,278.0,2.0199951171875115,-0.9
2019-08-25,2019-08-31,-8.4,-212.0,-4.879998779296886,1.9200012207031136
2019-09-01,2019-09-07,-14.8,-210.0,-5.0,-0.32000122070311365
2019-09-08,2019-09-14,-10.5,-14.0,-5.079998779296875,0.4799987792968864
2019-09-15,2019-09-21,-0.6,102.5,2.6750030517578125,0.125
2019-09-22,2019-09-28,-16.5,282.0,3.579998779296875,-1.5200012207031364
2019-09-29,2019-10-05,-6.0,480.0,8.699996948242188,-3.149993896484375
2019-10-06,2019-10-12,11.333333333333336,110.0,5.466664632161458,3.6666666666666665
2019-10-13,2019-10-19,-11.666666666666664,46.666666666666664,0.100006103515625,3.466664632161477
2019-10-20,2019-10-26,5.0,-13.333333333333334,1.1999918619791856,-2.466664632161477
2019-10-27,2019-11-02,-21.8,-8.0,-3.2399963378906365,-1.25999755859375
2019-11-03,2019-11-09,0.0,-220.0,0.920001220703125,-1.74000244140625
2019-11-10,2019-11-16,22.2,48.0,-2.820001220703125,-1.2399993896484376
2019-11-17,2019-11-23,48.6,-58.0,-8.679998779296875,2.0800018310546875
2019-11-24,2019-11-30,-1.8,132.0,-2.620001220703125,6.439996337890625
2019-12-01,2019-12-07,87.4,56.0,-0.720001220703125,-1.279998779296875
2019-12-08,2019-12-14,-13.8,166.0,1.3,1.04000244140625
2019-12-15,2019-12-21,23.0,124.0,-2.4400024414062385,1.239996337890625
2019-12-22,2019-12-28,48.8,-68.0,12.5,1.660003662109375
2019-12-29,2020-01-04,-18.0,106.0,-3.379998779296886,-1.8800048828125
2020-01-05,2020-01-11,-15.4,104.0,-0.32000122070311365,0.64000244140625
2020-01-12,2020-01-18,-2.0,-26.0,4.7,1.3
2020-01-19,2020-01-25,-18.2,-38.0,2.5400024414062385,-1.3
2020-01-26,2020-02-01,3.6,-100.0,-0.979998779296875,-1.75999755859375
2020-02-02,2020-02-08,-9.2,174.0,-1.920001220703125,-1.820001220703125
2020-02-09,2020-02-15,-11.0,-94.0,2.84000244140625,-0.34000244140623864
2020-02-16,2020-02-22,-20.4,218.0,1.079998779296875,0.4999999999999886
2020-02-23,2020-02-29,-10.25,-426.0,-6.279998779296875,0.560003662109375
2020-03-01,2020-03-07,-95.5,-472.5,-13.200004577636719,-8.925003051757812
2020-03-08,2020-03-14,-37.2,-1332.5,-19.875,-16.549999237060547
2020-03-15,2020-03-21,26.0,-124.0,-10.879998779296875,-4.380001831054687
2020-03-22,2020-03-28,7.8,618.0,5.6,5.0800018310546875
2020-03-29,2020-04-04,108.66666666666669,342.0,21.3,11.539999389648438
2020-04-05,2020-04-11,-37.66666666666666,-240.0,2.3333333333333335,-4.799997965494801
2020-04-12,2020-04-18,29.4,43.333333333333336,-0.3333333333333333,4.266662597656269
2020-04-19,2020-04-25,14.666666666666664,-224.0,2.5599975585937615,-1.9199981689453183
2020-04-26,2020-05-02,-1.6,316.6666666666667,1.1000061035156061,3.899998982747396
2020-05-03,2020-05-09,-43.6,-394.0,3.1399963378906364,-2.2
2020-05-10,2020-05-16,25.4,186.0,1.6800048828124887,-0.6799987792968807
2020-05-17,2020-05-23,18.75,-28.0,4.539996337890625,0.019998168945318185
2020-05-24,2020-05-30,18.4,210.0,4.625,-2.424999237060547
2020-05-31,2020-06-06,-16.25,268.0,-0.32000122070311365,0.4399993896484375
2020-06-07,2020-06-13,18.2,-72.5,1.2000045776367045,1.4500007629394531
2020-06-14,2020-06-20,-83.8,-520.0,-1.820001220703125,-1.1399993896484375
2020-06-21,2020-06-27,16.2,-138.0,1.64000244140625,2.079998779296875
2020-06-28,2020-07-04,-29.6,-352.0,-3.0400062561035157,-0.2200000762939453
2020-07-05,2020-07-11,21.6,-94.0,0.46000137329102697,0.02000007629394531
2020-07-12,2020-07-18,-10.2,298.0,-9.959997558593761,7.060000610351563
2020-07-19,2020-07-25,20.25,6.0,10.120001220703125,2.120001220703114
