first_day_in_week,last_day_in_week,TOPS_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.47,ONE.TA_weekly_mean_diff_0.47,SHOM.TA_weekly_mean_diff_0.52
2019-03-10,2019-03-16,3.6,64.0,62.0,-0.6
2019-03-17,2019-03-23,4.2,0.0,234.0,1.44000244140625
2019-03-24,2019-03-30,2.179998779296875,46.0,-106.0,3.3
2019-03-31,2019-04-06,0.2799987792968864,12.0,-30.0,5.05999755859375
2019-04-07,2019-04-13,-2.6599975585937607,-14.0,224.0,6.34000244140625
2019-04-14,2019-04-20,-5.35999755859375,90.0,92.0,2.479998779296875
2019-04-21,2019-04-27,7.739996337890625,14.0,90.0,1.979998779296875
2019-04-28,2019-05-04,3.84000244140625,-70.0,-136.0,-5.0
2019-05-05,2019-05-11,-1.44000244140625,36.0,-50.0,4.620001220703125
2019-05-12,2019-05-18,-2.379998779296875,18.0,88.0,-1.620001220703125
2019-05-19,2019-05-25,3.120001220703125,64.0,394.0,8.74000244140625
2019-05-26,2019-06-01,-0.94000244140625,-164.0,312.0,-6.54000244140625
2019-06-02,2019-06-08,-0.75999755859375,-30.0,-156.0,4.8
2019-06-09,2019-06-15,0.779998779296875,148.0,-14.0,-3.820001220703125
2019-06-16,2019-06-22,0.120001220703125,90.0,58.0,-0.639996337890625
2019-06-23,2019-06-29,3.3,-20.0,32.0,3.35999755859375
2019-06-30,2019-07-06,0.120001220703125,162.0,220.0,1.0599975585937613
2019-07-07,2019-07-13,0.7199951171875114,66.0,-58.0,-0.5
2019-07-14,2019-07-20,1.5400024414062383,-238.0,148.0,-0.6399963378906364
2019-07-21,2019-07-27,-1.579998779296875,-34.0,106.0,5.95999755859375
2019-07-28,2019-08-03,3.5,76.0,-54.0,1.94000244140625
2019-08-04,2019-08-10,-2.1,156.0,-88.0,-4.520001220703125
2019-08-11,2019-08-17,3.179998779296875,-114.0,116.0,1.14000244140625
2019-08-18,2019-08-24,-3.15999755859375,80.0,378.0,6.119995117187523
2019-08-25,2019-08-31,-5.8,34.0,16.0,2.5800048828124544
2019-09-01,2019-09-07,-1.84000244140625,0.0,-110.0,6.159997558593773
2019-09-08,2019-09-14,0.125,36.0,48.0,4.15999755859375
2019-09-15,2019-09-21,-0.779998779296875,95.0,202.5,-0.649993896484375
2019-09-22,2019-09-28,-0.6999969482421875,-10.0,86.0,-1.94000244140625
2019-09-29,2019-10-05,-1.9666748046875,-20.0,-705.0,4.79998779296875
2019-10-06,2019-10-12,2.833333333333333,250.0,226.66666666666666,6.900004069010417
2019-10-13,2019-10-19,-4.433329264322917,-6.666666666666667,-6.666666666666667,2.20001220703125
2019-10-20,2019-10-26,-0.220001220703125,-90.0,200.0,4.133321126302083
2019-10-27,2019-11-02,7.260003662109375,20.0,120.0,8.05999755859375
2019-11-03,2019-11-09,-1.7,-102.0,-72.0,6.6800048828125
2019-11-10,2019-11-16,-1.44000244140625,-54.0,-128.0,5.4199951171875
2019-11-17,2019-11-23,1.979998779296875,52.0,304.0,4.7800048828125
2019-11-24,2019-11-30,-5.879998779296875,132.0,-120.0,-6.0
2019-12-01,2019-12-07,-0.54000244140625,10.0,72.0,-5.7800048828125
2019-12-08,2019-12-14,1.3,20.0,194.0,-5.1
2019-12-15,2019-12-21,1.94000244140625,68.0,66.0,13.24000244140625
2019-12-22,2019-12-28,6.2,-42.0,-48.0,3.6800048828125
2019-12-29,2020-01-04,-1.620001220703125,60.0,84.0,12.07999267578125
2020-01-05,2020-01-11,-1.079998779296875,44.0,10.0,23.00000000000002
2020-01-12,2020-01-18,2.0,418.0,182.0,-10.739990234375023
2020-01-19,2020-01-25,-1.420001220703125,-84.0,-2.0,-0.84000244140625
2020-01-26,2020-02-01,-5.879998779296875,-220.0,-118.0,-3.3800048828125
2020-02-02,2020-02-08,7.6,-62.0,-190.0,15.34000244140625
2020-02-09,2020-02-15,-1.7400024414062387,-30.0,-6.0,-6.5199951171875
2020-02-16,2020-02-22,-1.8799987792968864,166.0,-102.0,19.27999267578125
2020-02-23,2020-02-29,-0.125,-438.0,-482.0,-20.4
2020-03-01,2020-03-07,-23.775001525878906,-890.0,-575.0,-40.44999694824219
2020-03-08,2020-03-14,-4.119998168945313,-1003.0,-562.5,-62.275001525878906
2020-03-15,2020-03-21,2.4800018310546763,-32.6,120.0,-2.179998779296875
2020-03-22,2020-03-28,14.759997558593762,376.8,634.0,37.6
2020-03-29,2020-04-04,-9.899993896484377,184.2,96.0,-6.44000244140625
2020-04-05,2020-04-11,4.366658528645833,-122.66666666666667,566.6666666666666,11.599995930989584
2020-04-12,2020-04-18,-1.679998779296875,-285.0,-133.33333333333334,12.5
2020-04-19,2020-04-25,-0.06666056315104167,36.2,-72.0,10.52000732421875
2020-04-26,2020-05-02,3.6,324.0,750.0,27.133321126302082
2020-05-03,2020-05-09,-11.974998474121096,-190.2,-120.0,-9.2199951171875
2020-06-07,2020-06-13,-0.020001220703125,181.25,147.5,-11.524993896484375
2020-06-14,2020-06-20,1.579998779296875,110.4,388.0,-0.72000732421875
2020-06-21,2020-06-27,-7.62939453125e-07,-109.4,-362.0,-5.55999755859375
2020-06-28,2020-07-04,7.62939453125e-07,-70.39993286132812,-143.999755859375,11.500001144409179
2020-07-05,2020-07-11,-2.7599975585937613,-21.800067138671874,-574.000244140625,-13.440003585815429
2020-07-12,2020-07-18,4.959997558593762,3.2,696.0,1.32000732421875
2020-07-19,2020-07-25,-1.0,-2.6,112.0,8.639990234375
