first_day_in_week,last_day_in_week,INFR_main_symb_weekly_mean_diff,PRGO.TA_weekly_mean_diff_-0.72_INT_PMCN.TA_weekly_mean_diff_-0.64_corr_0.85,ENRG.TA_weekly_mean_diff_-0.73_INT_ICCM.TA_weekly_mean_diff_-0.69_corr_0.87,SRAC.TA_weekly_mean_diff_-0.6_INT_JBNK.TA_weekly_mean_diff_-0.75_corr_0.86,BCNV.TA_weekly_mean_diff_-0.68_INT_JBNK.TA_weekly_mean_diff_-0.75_corr_0.89,CAMT.TA_weekly_mean_diff_-0.74_INT_BCNV.TA_weekly_mean_diff_-0.68_corr_0.89,ENRG.TA_weekly_mean_diff_-0.73_INT_PZOL.TA_weekly_mean_diff_-0.68_corr_0.89,ICCM.TA_weekly_mean_diff_-0.69_INT_JBNK.TA_weekly_mean_diff_-0.75_corr_0.9,JBNK.TA_weekly_mean_diff_-0.75_INT_PZOL.TA_weekly_mean_diff_-0.68_corr_0.91,ENRG.TA_weekly_mean_diff_-0.73_INT_PLCR.TA_weekly_mean_diff_-0.71_corr_0.92,ENRG.TA_weekly_mean_diff_-0.73_INT_PRGO.TA_weekly_mean_diff_-0.72_corr_0.94
2019-03-10,2019-03-16,-29.95999755859375,-144.0,2.929507782543078,63.6119091796875,294.119580078125,877.1999999999999,3501.2395629882812,1.024427767135203,1224.3582519531249,-13.042604939453303,586.7999267578125
2019-03-17,2019-03-23,-18.92000732421875,912.0,-3.1048193381354214,1.2480078125,368.1623046875,4484.0,-2535.5220703124996,-0.8099572797864677,-661.444140625,-13.330622212886809,478.400390625
2019-03-24,2019-03-30,41.4800048828125,-338.91990966796874,2.4554036256857215,18.704013671875,-300.6002197265625,-2070.0,245.9207763671875,3.534925954248756,354.0402587890625,1.8935870327055455,171.6805419921875
2019-03-31,2019-04-06,3.6,19.9200439453125,-2.074396504983306,-28.371979980468748,512.0796386718749,11396.0,-738.923681640625,-7.323848042674362,-2608.8381591796874,-9.113064448237418,11.76005859375
2019-04-07,2019-04-13,24.8,320.3195556640625,1.1969329142570497,19.503955078125,211.99951171875,4920.0,594.9586914062501,0.5715084493160248,284.079345703125,-1.5983991943299771,404.039111328125
2019-04-14,2019-04-20,40.4,507.4,0.0023954111337661744,212.07214355468753,-4003.4027099609375,-4070.0,-1.5596191406250002,-1.2962347641587257,843.9605712890625,0.006398461908102036,2.359423828125
2019-04-21,2019-04-27,99.8,273.59999999999997,0.24590737324208017,18.7239697265625,-126.839794921875,-823.2,1256.6395019531249,0.12055833779275416,616.07900390625,-4.1887908203154804,443.51982421875
2019-04-28,2019-05-04,16.4,819.0,1.3666817416995765,39.191865234375,414.63857421875,10979.2,507.402099609375,1.6446384487301113,610.597900390625,0.637205517590046,106.200439453125
2019-05-05,2019-05-11,-26.0,-0.0,4.227103971093893,14.2598876953125,2.47998046875,-17.6,-302.400390625,0.693328157812357,-49.599609375,-1.512001953125,-83.160107421875
2019-05-12,2019-05-18,7.2,-756.0,-12.390438291113815,2.2200073242187504,60.6802001953125,-5428.400000000001,421.04018554687497,-1.6550452247075726,56.240185546875004,-2.659194409176707,299.1601318359375
2019-05-19,2019-05-25,14.8,-83.20001220703125,0.022366723045707148,213.2715087890625,101.759765625,-2668.8,21.280371093750002,-0.16934470273554625,-161.11962890625,-0.4816087402403355,2.800048828125
2019-05-26,2019-06-01,-36.4,2279.6803344726563,0.21087019541300833,236.0,1300.0,-208.0,14.3997802734375,4.393196105957031,300.0,0.5183915039151907,131.5179931640625
2019-06-02,2019-06-08,-20.6,-416.0,4.612857513427734,-127.4,4860.8,-297.59999999999997,-932.4000000000001,-10.763334197998047,2175.6000000000004,4.955994873046875,-436.8
2019-06-09,2019-06-15,40.0,47.6,0.5211923912353822,-0.10003662109375,-7.882885742187501,6146.4,-12.760107421874999,-0.017978581665083797,0.4401611328125,2.099618383795023,8.120068359374999
2019-06-16,2019-06-22,-57.8,-524.4,-1.6869613989256247,8.539990234375,-2647.39697265625,-13268.0,1721.281591796875,-2.7285266192629813,2784.03681640625,-8.65918867185712,601.920556640625
2019-06-23,2019-06-29,-47.2,-332.63979492187497,6.96677208378911,61.812197265624995,1364.76435546875,-7760.4,-776.159033203125,5.438371725976467,-605.88193359375,-7.526395410150333,329.27958984375
2019-06-30,2019-07-06,11.8,-952.3203125,2.6227428111806512,41.759912109375,250.55947265625002,280.8,-31.8400390625,1.528829912208021,-18.5599609375,-4.298400415033057,1018.88125
2019-07-07,2019-07-13,26.0,67.68006591796875,-0.0,-26.431972656249997,-42.4799560546875,-550.8000000000001,0.0,2.49772590122186,-306.7996826171875,-0.0,-0.0
2019-07-14,2019-07-20,0.4,67.2,-2.857548828125,31.97996826171875,-580.559423828125,-2360.0,1696.0,1.3263326680660248,-787.19921875,-0.3179870605469352,74.2
2019-07-21,2019-07-27,3.2,697.6015625,-1.0316105041746033,-610.6438354492188,2446.1993408203125,-24786.0,262.07949218749997,7.417783142114046,-1884.4794921875,13.179579077139488,403.19921875
2019-07-28,2019-08-03,-7.2,211.20000000000002,0.4959714838862419,170.55961914062502,1416.9568359375,8380.8,190.44011230468752,-0.3929424819350243,-150.8796630859375,19.209621435552837,397.44023437500005
2019-08-04,2019-08-10,-15.4,2865.1210327148438,0.0,-0.9923632812500001,2.0407470703125,-7772.400000000001,2368.08076171875,0.0,3.121142578125,-20.34119727782905,-8561.52275390625
