first_day_in_week,last_day_in_week,GLPL_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,-0.4,3.8
2019-03-17,2019-03-23,-8.02000732421875,-16.4
2019-03-24,2019-03-30,8.460009765625,10.8
2019-03-31,2019-04-06,-2.14000244140625,43.2
2019-04-07,2019-04-13,2.15999755859375,60.0
2019-04-14,2019-04-20,0.7,-24.0
2019-04-21,2019-04-27,-0.9,-1.0
2019-04-28,2019-05-04,-0.3800048828125,-46.0
2019-05-05,2019-05-11,0.9800048828125,14.6
2019-05-12,2019-05-18,1.8800048828125,24.4
2019-05-19,2019-05-25,2.07999267578125,48.0
2019-05-26,2019-06-01,-4.57999267578125,38.6
2019-06-02,2019-06-08,-0.42000732421875,-24.6
2019-06-09,2019-06-15,2.04000244140625,-7.0
2019-06-16,2019-06-22,-3.0,-27.8
2019-06-23,2019-06-29,0.0,15.8
2019-06-30,2019-07-06,-7.2199951171875,92.6
2019-07-07,2019-07-13,5.4199951171875,-2.6
2019-07-14,2019-07-20,-2.9800048828125,-30.4
2019-07-21,2019-07-27,-1.6199951171875,7.4
2019-07-28,2019-08-03,-1.8199951171875,15.0
2019-08-04,2019-08-10,-7.24000244140625,-14.0
2019-08-11,2019-08-17,2.45999755859375,-12.0
2019-08-18,2019-08-24,-0.0199951171875,57.2
2019-08-25,2019-08-31,-6.4,-25.0
2019-09-01,2019-09-07,0.0199951171875,-8.8
2019-09-08,2019-09-14,5.774993896484375,-31.6
2019-09-15,2019-09-21,-8.3,66.5
2019-09-22,2019-09-28,4.0,56.4
2019-09-29,2019-10-05,4.366678873697917,23.0
2019-10-06,2019-10-12,-0.20001220703125,34.666666666666664
2019-10-13,2019-10-19,1.0666707356770833,32.666666666666664
2019-10-20,2019-10-26,-0.07999267578125,58.0
2019-10-27,2019-11-02,1.75999755859375,26.2
2019-11-03,2019-11-09,-4.3800048828125,-77.8
2019-11-10,2019-11-16,4.32000732421875,117.6
2019-11-17,2019-11-23,9.2199951171875,45.2
2019-11-24,2019-11-30,-12.9,-104.2
2019-12-01,2019-12-07,16.94000244140625,43.8
2019-12-08,2019-12-14,-0.54000244140625,49.4
2019-12-15,2019-12-21,-2.1,-26.0
2019-12-22,2019-12-28,0.35999755859375,29.0
2019-12-29,2020-01-04,3.0800048828125,77.2
2020-01-05,2020-01-11,1.6199951171875,-11.0
2020-01-12,2020-01-18,-0.67999267578125,106.6
2020-01-19,2020-01-25,-5.82000732421875,3.4
2020-01-26,2020-02-01,10.32000732421875,-101.2
2020-02-02,2020-02-08,-5.860009765625,-70.4
2020-02-09,2020-02-15,0.04000244140625,-1.0
2020-02-16,2020-02-22,-9.25999755859375,18.4
2020-02-23,2020-02-29,-11.350006103515625,-108.0
2020-03-01,2020-03-07,-43.274993896484375,-163.25
2020-03-08,2020-03-14,-6.979998779296875,-328.0
2020-03-15,2020-03-21,16.279998779296875,127.0
2020-03-22,2020-03-28,12.540002441406227,95.6
2020-03-29,2020-04-04,21.900004069010453,77.4
2020-04-05,2020-04-11,6.29998779296875,93.0
2020-04-12,2020-04-18,9.14000244140625,2.6666666666666665
2020-04-19,2020-04-25,-4.400004069010417,86.8
2020-04-26,2020-05-02,-6.25999755859375,33.0
2020-05-03,2020-05-09,-4.0,-77.0
2020-05-10,2020-05-16,6.5800048828125,-20.2
2020-05-17,2020-05-23,-13.100006103515625,128.2
2020-05-24,2020-05-30,0.3800048828125,208.5
2020-05-31,2020-06-06,-1.975006103515625,-36.8
2020-06-07,2020-06-13,0.5199951171875,59.5
2020-06-14,2020-06-20,4.660009765625,50.0
2020-06-21,2020-06-27,-6.660006713867165,-103.0
2020-06-28,2020-07-04,-1.4799957275390851,-2.6
2020-07-05,2020-07-11,0.27999267578125,20.0
2020-07-12,2020-07-18,-0.25999755859375,42.0
2020-07-19,2020-07-25,4.5500030517578125,58.0
