first_day_in_week,last_day_in_week,HRON_main_symb_weekly_mean_diff,AZRM.TA_weekly_mean_diff_0.51_INT_ALRPR.TA_weekly_mean_diff_0.41_corr_0.71,NSTR.TA_weekly_mean_diff_0.55_INT_ALRPR.TA_weekly_mean_diff_0.41_corr_0.71,OPAL.TA_weekly_mean_diff_0.41_INT_ALRPR.TA_weekly_mean_diff_0.41_corr_0.74,PHOE.TA_weekly_mean_diff_0.47_INT_HARL.TA_weekly_mean_diff_0.47_corr_0.81,RVL.TA_weekly_mean_diff_0.36_INT_ASGR.TA_weekly_mean_diff_0.58_corr_0.72,SANO1.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,200.0,290.559765625,-6028.8,84.48007812500073,-28.81119140625,1.4823873534798622,18.0
2019-03-17,2019-03-23,1280.0,0.0,0.0,0.0,-22.14990234375,38.994377587884664,-6.0
2019-03-24,2019-03-30,860.0,-90.16016845703074,588.8000000000001,-11.959887695312501,1537.01953125,4.547225048840046,-2.0
2019-03-31,2019-04-06,1100.0,-35.51997070312514,28.799999999999997,93.3599853515625,813.3481494140625,-0.09520600587129592,-102.0
2019-04-07,2019-04-13,-25.0,-57.119982910156246,-1013.6000000000001,-37.24005126953125,606.0127148437499,2.5800048828125,-16.0
2019-04-21,2019-04-27,-1580.0,14.8399658203125,154.0,23.8,32.77960449218729,-5.964005126953125,106.0
2019-04-28,2019-05-04,0.0,256.1998291015625,4340.0,250.59991455078125,142.00790527343662,-7.167563818395138,16.0
2019-05-05,2019-05-11,-1400.0,-48.96013183593709,-907.1999999999999,-22.320043945312502,-14.803125,2.430425683557987,-8.0
2019-05-12,2019-05-18,120.0,9.360021972656044,-93.60000000000001,-0.36002197265624997,1164.409765625,-1.1616155761480331,-52.0
2019-05-19,2019-05-25,780.0,1.280078125,1651.2,57.6,-72.027978515625,-33.52966855466366,72.0
2019-05-26,2019-06-01,400.0,236.16040039062315,-3870.4,82.0,-32.782216796875005,1.4664129883050918,106.0
2019-06-02,2019-06-08,-1133.3333333333333,7.799926757812842,846.0,-54.0,87.361083984375,7.4256583008170125,26.0
2019-06-16,2019-06-22,800.0,-18.0,2520.0,-183.59967041015628,84.940693359375,2.6520166015625,92.0
2019-06-23,2019-06-29,360.0,-133.5999755859375,360.0,-36.0,301.982216796875,2.4396080078184608,-24.0
2019-06-30,2019-07-06,-1240.0,2669.759802246094,-2235.6,706.3196044921875,38.831953125,1.4256089843809603,30.0
2019-07-07,2019-07-13,-980.0,369.59999999999997,462.0,159.72008056640627,-3.7743945312499996,6.820801074206829,18.0
2019-07-14,2019-07-20,500.0,-228.47941894531792,3474.7999999999997,90.43970947265625,36.413671875,13.2192645996809,36.0
2019-07-21,2019-07-27,900.0,49.639916992188276,-3692.3999999999996,-42.159875488281244,19.431650390625,17.57884599611163,18.0
2019-07-28,2019-08-03,560.0,604.959814453125,3252.7999999999997,94.240185546875,25.8890625,-1.6256077636778354,-12.0
2019-08-04,2019-08-10,-360.0,-327.6,14040.0,-127.9201904296875,174.73681640625,2.732416406273842,28.0
2019-08-11,2019-08-17,1080.0,-22.8,-228.0,11.4,48.53522460937501,-26.029193066358566,68.0
2019-08-18,2019-08-24,1100.0,816.0,10336.0,-520.0,228.24635253906249,30.643243359327315,4.0
2019-08-25,2019-08-31,-1000.0,-285.6,-3134.8,-102.0,2.7744140625,-4.8999999999999995,-22.0
2019-09-01,2019-09-07,-475.0,0.0,0.0,0.0,96.138046875,11.913594335913658,6.0
2019-09-08,2019-09-14,200.0,419.75991210937497,-1627.2,46.0799560546875,54.312998046875,6.322014160156249,-42.0
2019-09-29,2019-10-05,1800.0,157.9998779296875,1100.0,26.00006103515625,369.0,-36.57015045173466,185.0
2019-10-06,2019-10-12,166.66666666666666,1516.6676839192708,4083.333333333333,175.0005086263021,-3.0,-27.007897406816483,196.66666666666666
2019-10-13,2019-10-19,366.66666666666674,-62.66669379340278,-222.22222222222226,-5.555555555555556,245.66666666666666,23.130060628056526,110.0
2019-10-20,2019-10-26,560.0,306.0003662109375,3000.0,-240.0,22.666666666666668,2.219967176516851,63.333333333333336
2019-10-27,2019-11-02,1020.0,-6.0,600.0,31.5999755859375,464.28,2.244790332019329,-20.0
2019-11-03,2019-11-09,-400.0,683.4,-1448.3999999999999,-73.44012451171875,-6.16,3.4100000000000006,-98.0
2019-11-10,2019-11-16,200.0,190.079736328125,-928.8,-49.68006591796875,7.68,-2.88799072265625,80.0
2019-11-17,2019-11-23,1460.0,173.67949218750002,5751.2,134.1599365234375,28.08,-6.771638525426388,30.0
2019-11-24,2019-11-30,-140.0,1153.6803222656251,-897.6,68.64016113281251,285.2,92.89104814454907,170.0
2019-12-01,2019-12-07,-2040.0,-67.5999755859375,-52.0,11.399963378906364,37.519999999999996,42.87924531251183,112.0
2019-12-08,2019-12-14,-960.0,122.0,1436.0,-40.39990234375023,121.43999999999998,23.113576513677835,-100.0
2019-12-15,2019-12-21,900.0,231.2,-1224.0,227.1197509765625,88.44,-6.1919580078125,-174.0
