first_day_in_week,last_day_in_week,INCR_main_symb_weekly_mean_diff,FNTS.TA_weekly_mean_diff_-0.37,JBNK.TA_weekly_mean_diff_-0.37,JBNK.TA_weekly_mean_diff_-0.37_INT_FNTS.TA_weekly_mean_diff_-0.37_corr_0.79,BCNV.TA_weekly_mean_diff_-0.36_INT_JBNK.TA_weekly_mean_diff_-0.37_corr_0.89
2019-03-10,2019-03-16,-8.0,0.920001220703125,3.4199951171875,3.146399682611227,294.119580078125
2019-03-17,2019-03-23,7.0,2.239996337890625,1.560009765625,3.494416162073612,368.1623046875
2019-03-24,2019-03-30,-10.6,-1.179998779296875,-3.34000244140625,3.941198803707957,-300.6002197265625
2019-03-31,2019-04-06,-3.8,8.8,3.45999755859375,30.447978515625003,512.0796386718749
2019-04-07,2019-04-13,-12.8,6.260003662109375,1.05999755859375,6.635588598623872,211.99951171875
2019-04-14,2019-04-20,9.8,-5.320001220703125,10.82000732421875,-57.562452172860496,-4003.4027099609375
2019-04-21,2019-04-27,-8.8,-1.5600036621093636,3.0199951171875,-4.711203442364896,-126.839794921875
2019-04-28,2019-05-04,-0.4,-7.319995117187512,-1.4199951171875,10.394357324242609,414.63857421875
2019-05-05,2019-05-11,-47.8,7.139996337890625,0.6199951171875,4.4267628662288185,2.47998046875
2019-05-12,2019-05-18,3.44000244140625,-11.5,0.74000244140625,-8.510028076171876,60.6802001953125
2019-05-19,2019-05-25,-14.84000244140625,-4.279998779296875,2.1199951171875,-9.073576513677835,101.759765625
2019-05-26,2019-06-01,-3.0,0.679998779296875,-10.0,-6.79998779296875,1300.0
2019-06-02,2019-06-08,4.75999755859375,-0.6599975585937614,-9.8,6.467976074218862,4860.8
2019-06-09,2019-06-15,19.84000244140625,-1.8600036621093636,0.02000732421875,-0.037213696315884365,-7.882885742187501
2019-06-16,2019-06-22,-19.3199951171875,-3.7199981689453123,8.539990234375,-31.768748034685853,-2647.39697265625
2019-06-23,2019-06-29,-5.4,3.3199981689453124,3.060009765625,10.159226818829774,1364.76435546875
2019-06-30,2019-07-06,12.5199951171875,0.9600036621093636,2.3199951171875,2.2272038085758425,250.55947265625002
2019-07-07,2019-07-13,-12.0,-3.2600036621093635,-2.35999755859375,7.693600683584782,-42.4799560546875
2019-07-14,2019-07-20,-9.2800048828125,1.7600036621093635,2.45999755859375,4.329604711905094,-580.559423828125
2019-07-21,2019-07-27,-5.95999755859375,-5.380001831054676,-9.05999755859375,48.742803454585264,2446.1993408203125
2019-07-28,2019-08-03,-16.04000244140625,5.960000610351562,3.27999267578125,19.548758349604903,1416.9568359375
2019-08-04,2019-08-10,-20.87999267578125,-1.44000244140625,0.02000732421875,-0.028810595721006395,2.0407470703125
2019-08-11,2019-08-17,22.55999755859375,-5.0799987792968695,4.25999755859375,-21.640782397463894,-2479.3185791015626
