first_day_in_week,last_day_in_week,ALD_main_symb_weekly_mean_diff,CEL.TA_weekly_mean_diff_0.38,SPEN.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,-2.74000244140625,6.2,7.2
2019-03-17,2019-03-23,-4.920001220703113,-51.6,-3.2
2019-03-24,2019-03-30,-2.200000000000005,-8.6,0.2
2019-03-31,2019-04-06,4.120001220703118,6.2,3.4
2019-04-07,2019-04-13,6.65999755859375,9.8,15.0
2019-04-14,2019-04-20,6.920001220703125,33.0,-5.0
2019-04-21,2019-04-27,1.0,17.2,5.0
2019-04-28,2019-05-04,1.7,-35.2,-8.0
2019-05-05,2019-05-11,-0.039996337890625,18.0,2.8
2019-05-12,2019-05-18,-1.3,15.4,2.8
2019-05-19,2019-05-25,-6.6800048828125,-14.2,-4.2
2019-05-26,2019-06-01,2.820001220703125,-39.0,4.2
2019-06-02,2019-06-08,3.34000244140625,-41.4,3.0
2019-06-09,2019-06-15,-3.820001220703125,-2.6,4.4
2019-06-16,2019-06-22,-0.279998779296875,-15.8,-3.4
2019-06-23,2019-06-29,-6.8,-9.8,-5.8
2019-06-30,2019-07-06,-2.279998779296875,-6.0,2.4
2019-07-07,2019-07-13,-2.5200012207031364,13.6,1.6
2019-07-14,2019-07-20,3.0000000000000115,16.6,-6.4
2019-07-21,2019-07-27,3.85999755859375,-20.4,4.6
2019-07-28,2019-08-03,-2.15999755859375,-8.4,2.0
2019-08-04,2019-08-10,0.05999755859375,-19.4,51.4
2019-08-11,2019-08-17,-1.5,-15.14000244140625,-1.0
2019-08-18,2019-08-24,-5.039996337890625,2.32000732421875,-17.4
2019-08-25,2019-08-31,-4.620001220703131,-3.6,3.6
2019-09-01,2019-09-07,-2.9,-7.3800048828125,15.4
2019-09-08,2019-09-14,-0.375,-7.25999755859375,-14.0
2019-09-15,2019-09-21,0.8799987792968806,0.8000030517578125,37.0
2019-09-22,2019-09-28,-1.1500015258789062,45.5199951171875,14.2
2019-09-29,2019-10-05,2.100001017252604,-20.75,16.5
2019-10-06,2019-10-12,-1.8333333333333333,-4.333333333333333,23.0
2019-10-13,2019-10-19,0.6000010172526041,6.066670735677083,17.333333333333332
2019-10-20,2019-10-26,-0.6399993896484432,-16.633341471354168,-10.0
2019-10-27,2019-11-02,0.15999755859376136,1.74000244140625,-22.8
2019-11-03,2019-11-09,-4.5,-18.04000244140625,-1.8
2019-11-10,2019-11-16,0.8600006103515568,10.9,9.8
2019-11-17,2019-11-23,0.2600006103515625,26.9,27.2
2019-11-24,2019-11-30,-1.8600006103515625,-2.05999755859375,43.6
2019-12-01,2019-12-07,-0.9199981689453182,-6.819995117187522,-2.4
2019-12-08,2019-12-14,1.2199981689453179,19.319995117187524,3.8
2019-12-15,2019-12-21,-1.1600006103515568,-19.8,-10.8
2019-12-22,2019-12-28,-2.1399993896484437,17.2,-10.8
2019-12-29,2020-01-04,-0.6199981689453125,2.4,28.4
2020-01-05,2020-01-11,-1.34000244140625,-10.64000244140625,16.2
2020-01-12,2020-01-18,-1.15999755859375,20.64000244140625,0.4
2020-01-19,2020-01-25,3.919998168945313,13.0,65.4
2020-01-26,2020-02-01,-0.3199981689453182,18.0,-26.4
2020-02-02,2020-02-08,14.599999999999996,23.4,51.0
2020-02-09,2020-02-15,-6.160000610351551,9.6,-18.2
2020-02-16,2020-02-22,-4.2800018310546815,-1.4,-6.2
2020-02-23,2020-02-29,0.07500076293944602,-28.0,-29.6
2020-03-01,2020-03-07,-11.299999237060547,-46.75,-21.75
2020-03-08,2020-03-14,-5.339999389648444,-73.75,-121.75
2020-03-15,2020-03-21,1.6199981689453182,22.0,3.8
2020-03-22,2020-03-28,1.34000244140625,6.24000244140625,47.4
2020-03-29,2020-04-04,1.4333292643229167,26.15999755859375,38.6
2020-04-05,2020-04-11,2.533335367838541,82.33333333333333,58.666666666666664
2020-04-12,2020-04-18,-3.8,-46.333333333333336,-72.0
2020-04-19,2020-04-25,-0.8333333333333334,5.4,-6.0
2020-04-26,2020-05-02,0.3600006103515625,30.0,64.66666666666667
2020-05-03,2020-05-09,0.7399993896484375,-14.2,-11.8
2020-05-10,2020-05-16,-0.7,-5.4,-4.6
2020-05-17,2020-05-23,-0.575000762939446,-10.6,-17.8
2020-05-24,2020-05-30,1.5800018310546815,-9.75,-4.5
2020-05-31,2020-06-06,-0.7250022888183594,5.2,-12.2
2020-06-07,2020-06-13,6.980001831054688,32.0,28.75
2020-06-14,2020-06-20,-4.080001831054688,13.6,-0.4
2020-06-21,2020-06-27,2.560001277923578,8.0,-20.4
2020-06-28,2020-07-04,1.0200005531311092,6.400001525878906,-16.60001373291025
2020-07-05,2020-07-11,0.8599975585937557,-15.000001525878906,7.600013732910247
2020-07-12,2020-07-18,0.4800018310546818,19.6,12.4
2020-07-19,2020-07-25,1.200000762939446,-18.8,60.4
