first_day_in_week,last_day_in_week,ELWS_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.37,DNA.TA_weekly_mean_diff_0.38,CLBV.TA_weekly_mean_diff_0.39,EMCO.TA_weekly_mean_diff_0.4,ITMR.TA_weekly_mean_diff_0.4,NVLG.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,25.8,3.479992675781273,-1.320001220703125,-1.2,6.0,1.3200012207031135,-1.4399993896484404
2019-03-17,2019-03-23,46.6,-0.6,-1.079998779296875,-30.2,2.4,2.439999389648443,-1.0200012207031193
2019-03-24,2019-03-30,32.6,-7.600000000000011,0.1199981689453125,-10.2,2.4,-2.6399993896484433,-0.859999084472659
2019-03-31,2019-04-06,139.8,6.959997558593739,2.2800018310546877,-8.6,13.6,-1.440000915527338,5.040000915527344
2019-04-07,2019-04-13,437.4,-1.0,-0.24000244140625,7.2,8.0,-0.1399993896484375,0.7399993896484375
2019-04-14,2019-04-20,101.6,3.640002441406273,-1.8,24.4,-14.6,-0.9,-0.620001220703125
2019-04-21,2019-04-27,-217.2,2.8200073242187274,-1.3199981689453124,22.6,2.8,-0.2199996948242216,-0.8600006103515625
2019-04-28,2019-05-04,131.2,-0.1,0.0,7.8,3.8,0.33999938964844034,0.720001220703125
2019-05-05,2019-05-11,270.4,-3.2,-1.2,-14.2,1.0,-0.9399993896484403,-0.16000061035155683
2019-05-12,2019-05-18,-47.8,-1.2200073242187273,-0.9600006103515625,-42.6,8.2,-1.4,1.0200012207031193
2019-05-19,2019-05-25,-48.0,2.5599975585937274,2.0399993896484374,-22.8,-1.8,-2.3,-0.5800018310546875
2019-05-26,2019-06-01,-50.2,-13.139996337890626,-3.5999999999999943,-47.6,16.4,0.6,-0.4399993896484318
2019-06-02,2019-06-08,65.2,3.84000244140625,0.9600006103515568,-3.4,-7.2,5.0399993896484405,-1.7399993896484431
2019-06-09,2019-06-15,47.4,-3.620001220703125,0.2399993896484432,24.0,5.6,-1.7,1.379998779296875
2019-06-16,2019-06-22,-76.0,3.8,-0.36000061035156816,6.8,5.2,0.6,0.44000244140625
2019-06-23,2019-06-29,-62.6,-3.120001220703125,-0.23999938964843182,7.6,-2.4,-0.5800003051757813,0.6
2019-06-30,2019-07-06,-126.8,5.779998779296898,2.5200012207031195,17.2,2.6,-0.7199996948242188,1.0
2019-07-07,2019-07-13,42.6,1.9,-3.0000000000000058,-20.2,-16.2,-1.4600006103515597,0.65999755859375
2019-07-14,2019-07-20,29.6,0.32000732421872724,0.7199981689453182,-2.6,1.8,0.1400009155273409,-0.879998779296875
2019-07-21,2019-07-27,-11.4,2.4599975585937273,-0.7199981689453182,17.8,8.8,-0.8199996948242216,0.4600006103515625
2019-07-28,2019-08-03,-78.0,-3.759997558593727,-0.12000122070311363,0.0,15.0,0.8399993896484403,-1.1600006103515625
2019-08-04,2019-08-10,-79.2,-3.560003662109375,-1.6799987792968836,-14.4,-1.2,1.1199996948242188,0.479998779296875
2019-08-11,2019-08-17,-95.2,-0.479998779296875,-0.9600006103515597,-15.6,-5.2,-1.5800003051757785,-1.279998779296875
2019-08-18,2019-08-24,-98.0,-0.28000488281248864,0.0,26.8,-34.6,0.26000061035155964,0.3600006103515625
2019-08-25,2019-08-31,-167.6,-5.479998779296887,-0.8399993896484403,-0.6,-24.6,-0.9800003051757813,3.0199981689453126
2019-09-01,2019-09-07,265.6,4.7,-0.7200012207031193,-2.2,8.6,-0.21999969482421874,3.14000244140625
2019-09-08,2019-09-14,-12.0,4.400006103515625,0.2400009155273409,-21.0,8.6,1.1399993896484404,-2.3600006103515625
2019-09-15,2019-09-21,306.0,-2.925003051757841,0.600000381469723,27.5,7.25,-0.75,-1.5499992370605469
2019-09-22,2019-09-28,34.5,-1.080004882812466,-1.9200012207031194,11.0,1.6,-0.07999877929688068,0.95999755859375
2019-09-29,2019-10-05,76.33333333333333,-8.75,-1.799999237060554,-20.0,15.0,-1.450000762939446,-4.4499969482421875
2019-10-06,2019-10-12,123.33333333333331,9.533345540364564,-2.200065612792964,-12.333333333333334,-2.3333333333333335,-0.1333338419596354,0.7333323160807291
2019-10-13,2019-10-19,40.66666666666666,9.199991861979166,0.0,16.0,0.3333333333333333,-0.16666666666666666,0.3000030517578125
2019-10-20,2019-10-26,-120.2,0.7666625976562879,-1.0,-32.333333333333336,-11.666666666666666,-0.5333328247070312,3.0999959309895835
2019-10-27,2019-11-02,-40.8,6.220007324218727,-1.4400009155273465,-10.8,-9.4,-0.28000030517578123,0.2600006103515625
2019-11-03,2019-11-09,-38.4,7.15999755859375,-0.9599990844726562,-18.0,-10.4,1.9,1.720001220703125
2019-11-10,2019-11-16,89.8,-3.44000244140625,-2.919960021972659,16.6,-1.0,1.1600006103515597,-0.5800018310546875
2019-11-17,2019-11-23,-45.2,2.8199951171875,-0.520000457763669,-1.4,15.6,0.2199996948242216,-1.4
2019-11-24,2019-11-30,-214.4,-4.3,-0.7199996948242188,-24.4,-3.6,0.4800003051757784,-0.35999755859375
2019-12-01,2019-12-07,49.6,2.24000244140625,0.25999984741210935,-15.8,10.0,1.2199996948242215,-2.54000244140625
2019-12-08,2019-12-14,-75.0,2.12000732421875,0.28000030517577984,12.2,6.2,1.4400009155273437,2.0800018310546875
2019-12-15,2019-12-21,-23.0,0.6,1.1399993896484417,-8.2,-5.2,-0.36000061035156816,-0.5600006103515625
2019-12-22,2019-12-28,7.2,1.67999267578125,-0.7599990844726591,1.8,1.4,2.8600006103515683,0.2
2019-12-29,2020-01-04,-4.6,6.74000244140625,0.4399993896484375,12.2,2.6,0.6,3.579998779296875
2020-01-05,2020-01-11,29.6,34.74000244140625,-0.0600006103515625,-12.0,3.8,-0.24000244140625,0.820001220703125
2020-01-12,2020-01-18,253.4,16.040002441406227,1.3600006103515625,15.4,21.8,5.8,6.320001220703119
2020-01-19,2020-01-25,-67.2,1.3799926757812728,-0.11999969482421875,-19.4,-8.8,-0.5199981689453125,0.6199981689453182
2020-01-26,2020-02-01,98.4,-18.15999755859375,2.4,18.2,0.6,-1.2800018310546875,-2.9
2020-02-02,2020-02-08,26.6,16.8,-0.5800003051757813,4.6,-15.4,2.920001220703125,2.0
2020-02-09,2020-02-15,794.2,22.2,0.9800003051757813,-38.4,3.8,2.9799987792968805,0.9
2020-02-16,2020-02-22,-158.0,17.6,-0.5199996948242187,-16.0,7.6,-1.8199981689453182,0.220001220703125
2020-02-23,2020-02-29,322.5,-38.9,-1.6600006103515625,-35.0,-17.4,-3.0800018310546875,-2.4600006103515626
2020-03-01,2020-03-07,-712.5,-28.125,-2.825000762939453,-23.5,-31.25,-2.1999969482421875,-2.5
2020-03-08,2020-03-14,-330.0,-75.875,-4.324998855590822,-183.5,-64.875,-8.67500114440918,-4.75
2020-03-15,2020-03-21,0.0,-13.35999755859375,1.5799995422363295,18.4,-38.0199951171875,-4.119999694824221,1.4600006103515626
2020-03-22,2020-03-28,-40.0,14.4,-0.6199996948242188,16.4,36.37999267578125,4.5399993896484405,3.8600006103515567
2020-03-29,2020-04-04,66.66666666666667,22.65999755859375,1.179999542236328,-24.0,5.859997558593773,3.579998779296875,-2.0
2020-04-05,2020-04-11,370.0,38.333333333333336,1.0,67.33333333333333,29.46667480468746,9.0,6.299997965494801
2020-04-12,2020-04-18,150.0,-5.0,0.30000050862630206,45.0,18.333333333333332,-6.166666666666667,0.0
2020-04-19,2020-04-25,713.3333333333335,17.0,0.7,76.8,3.8,2.94000244140625,7.179998779296881
2020-04-26,2020-05-02,280.0,25.400004069010418,2.3333333333333335,56.0,42.0,1.0333302815755208,3.7000020345051987
2020-05-03,2020-05-09,-26.0,-4.04000244140625,0.6600006103515625,-9.4,8.2,0.8399993896484375,-3.2200012207031192
2020-05-10,2020-05-16,226.0,-15.5800048828125,0.5399993896484375,-45.0,-8.6,-2.5,-3.539999389648443
2020-05-17,2020-05-23,522.5,18.42000732421875,-0.31999969482421875,8.6,-1.0,2.3,10.219998168945313
2020-05-24,2020-05-30,-246.0,-0.475006103515625,-2.8250007629394496,-21.25,-9.0,2.200000762939453,-4.6999969482421875
2020-05-31,2020-06-06,-147.5,9.4,-0.43999938964844176,-7.8,1.4,-1.8399993896484375,1.2
2020-06-07,2020-06-13,52.0,20.925003051757812,0.47500038146972834,-4.75,-2.25,5.075000762939453,1.625
2020-06-14,2020-06-20,454.0,11.2,0.479998779296875,37.6,28.0,11.179998779296875,-0.42000122070311363
2020-06-21,2020-06-27,-132.0001220703125,-8.4,-2.399999237060547,-14.2,-15.0,-4.6399993896484375,0.02000122070311363
2020-06-28,2020-07-04,64.0001220703125,-3.6,-0.8400004386901841,-36.199972534179686,-1.7999992370605469,2.4999994277954043,2.0999998092651366
2020-07-05,2020-07-11,420.0,-3.75999755859375,0.5000002861022935,19.599972534179688,-1.0000007629394532,5.3000005722045955,2.200000190734863
2020-07-12,2020-07-18,338.0,-6.24000244140625,0.31999969482421875,30.2,10.2,-0.3,0.4
2020-07-19,2020-07-25,142.4999237060547,14.6,2.1000000000000028,-16.0,-1.0,0.6799987792968863,3.74000244140625
