first_day_in_week,last_day_in_week,MISH_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,-6.8,64.0
2019-03-17,2019-03-23,-34.0,0.0
2019-03-24,2019-03-30,-21.8,46.0
2019-03-31,2019-04-06,-19.8,12.0
2019-04-07,2019-04-13,-40.6,-14.0
2019-04-14,2019-04-20,20.8,90.0
2019-04-21,2019-04-27,-33.0,14.0
2019-04-28,2019-05-04,-34.8,-70.0
2019-05-05,2019-05-11,-53.6,36.0
2019-05-12,2019-05-18,34.6,18.0
2019-05-19,2019-05-25,-5.0,64.0
2019-05-26,2019-06-01,-31.2,-164.0
2019-06-02,2019-06-08,-4.4,-30.0
2019-06-09,2019-06-15,6.0,148.0
2019-06-16,2019-06-22,8.6,90.0
2019-06-23,2019-06-29,198.4,-20.0
2019-06-30,2019-07-06,16.4,162.0
2019-07-07,2019-07-13,-39.0,66.0
2019-07-14,2019-07-20,30.2,-238.0
2019-07-21,2019-07-27,6.6,-34.0
2019-07-28,2019-08-03,-22.4,76.0
2019-08-04,2019-08-10,-52.6,156.0
2019-08-11,2019-08-17,74.0,-114.0
2019-08-18,2019-08-24,-19.8,80.0
2019-08-25,2019-08-31,-11.2,34.0
2019-09-01,2019-09-07,21.8,0.0
2019-09-08,2019-09-14,-27.75,36.0
2019-09-15,2019-09-21,-8.6,95.0
2019-09-22,2019-09-28,-64.0,-10.0
2019-09-29,2019-10-05,19.33333333333333,-20.0
2019-10-06,2019-10-12,25.0,250.0
2019-10-13,2019-10-19,-8.666666666666666,-6.666666666666667
2019-10-20,2019-10-26,25.2,-90.0
2019-10-27,2019-11-02,-80.0,20.0
2019-11-03,2019-11-09,-20.0,-102.0
2019-11-10,2019-11-16,43.6,-54.0
2019-11-17,2019-11-23,19.4,52.0
2019-11-24,2019-11-30,-60.2,132.0
2019-12-01,2019-12-07,-12.8,10.0
2019-12-08,2019-12-14,51.4,20.0
2019-12-15,2019-12-21,-10.4,68.0
2019-12-22,2019-12-28,4.2,-42.0
2019-12-29,2020-01-04,-63.8,60.0
2020-01-05,2020-01-11,-9.8,44.0
2020-01-12,2020-01-18,140.8,418.0
2020-01-19,2020-01-25,-15.8,-84.0
2020-01-26,2020-02-01,-16.4,-220.0
2020-02-02,2020-02-08,214.4,-62.0
2020-02-09,2020-02-15,-1.8,-30.0
2020-02-16,2020-02-22,-128.8,166.0
2020-02-23,2020-02-29,-121.5,-438.0
2020-03-01,2020-03-07,-319.75,-890.0
2020-03-08,2020-03-14,10.2,-1003.0
2020-03-15,2020-03-21,42.4,-32.6
2020-03-22,2020-03-28,109.6,376.8
2020-03-29,2020-04-04,-29.0,184.2
2020-04-05,2020-04-11,-130.33333333333334,-122.66666666666667
2020-04-12,2020-04-18,-42.6,-285.0
2020-04-19,2020-04-25,191.66666666666663,36.2
2020-04-26,2020-05-02,8.8,324.0
2020-05-03,2020-05-09,-28.8,-190.2
2020-05-10,2020-05-16,-28.0,-251.2
2020-05-17,2020-05-23,24.25,81.4
2020-05-24,2020-05-30,-47.4,0.0
2020-05-31,2020-06-06,6.75,-16.0
2020-06-07,2020-06-13,1.8,181.25
2020-06-14,2020-06-20,-71.2,110.4
2020-06-21,2020-06-27,71.2000274658205,-109.4
2020-06-28,2020-07-04,-38.2000274658205,-70.39993286132812
2020-07-05,2020-07-11,21.8,-21.800067138671874
2020-07-12,2020-07-18,83.0,3.2
2020-07-19,2020-07-25,18.0,-2.6
