first_day_in_week,last_day_in_week,ININ_main_symb_weekly_mean_diff,RPAC.TA_weekly_mean_diff_0.45,EMCO.TA_weekly_mean_diff_0.47,SHOM.TA_weekly_mean_diff_0.47,HARL.TA_weekly_mean_diff_0.48
2020-05-10,2020-05-16,-0.94000244140625,0.6,-8.6,-23.2800048828125,-29.6
2020-05-17,2020-05-23,-10.650001525878906,17.4,-1.0,13.8,32.6
2020-05-24,2020-05-30,-1.05999755859375,28.75,-9.0,-8.17498779296875,3.75
2020-05-31,2020-06-06,-0.7750015258789062,-24.4,1.4,1.1199951171875,-22.8
2020-06-07,2020-06-13,-0.6,11.75,-2.25,-11.524993896484375,1.0
2020-06-14,2020-06-20,23.44000244140625,76.8,28.0,-0.72000732421875,16.8
2020-06-21,2020-06-27,-4.320001220703125,-49.4,-15.0,-5.55999755859375,-31.0
2020-06-28,2020-07-04,0.4,-2.3999923706054687,-1.7999992370605469,11.500001144409179,17.800013732910248
2020-07-05,2020-07-11,-3.3,2.599992370605469,-1.0000007629394532,-13.440003585815429,-10.200013732910246
2020-07-12,2020-07-18,-0.16000366210936362,6.0,10.2,1.32000732421875,-4.0
2020-07-19,2020-07-25,13.675003051757797,4.6,-1.0,8.639990234375,21.4
