first_day_in_week,last_day_in_week,ALHE_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.36,PTX.TA_weekly_mean_diff_0.36,PCBT.TA_weekly_mean_diff_0.37,LDER.TA_weekly_mean_diff_0.39,SHGR.TA_weekly_mean_diff_0.39,RLCO.TA_weekly_mean_diff_0.43,SHOM.TA_weekly_mean_diff_0.45,ALRPR.TA_weekly_mean_diff_0.47,ALRPR.TA_weekly_mean_diff_0.47_INT_MRIN.TA_weekly_mean_diff_0.36_corr_0.72,OPAL.TA_weekly_mean_diff_0.52,OPAL.TA_weekly_mean_diff_0.52_INT_SHOM.TA_weekly_mean_diff_0.45_corr_0.77
2019-06-23,2019-06-29,-20.2,-3.120001220703125,0.16000022888183524,-7.52000732421875,-0.6200004577636719,-2.2,4.2,3.35999755859375,-20.0,62.4000244140625,1.8,6.04799560546875
2019-06-30,2019-07-06,14.6,5.779998779296898,0.3199996948242202,2.060009765625,0.6800003051757812,-6.0,7.0,1.0599975585937613,162.0,936.3598022460975,4.35999755859375,4.621586767584135
2019-07-07,2019-07-13,15.4,1.9,-0.41999969482422017,0.7,-0.14000015258789061,-5.2,-32.2,-0.5,66.0,125.39999999999999,2.420001220703125,-1.2100006103515626
2019-07-14,2019-07-20,15.2,0.32000732421872724,0.03999977111816477,-3.8400024414062726,1.3400001525878906,4.0,-2.4,-0.6399963378906364,-238.0,-76.16174316405709,-0.379998779296875,0.24319782715291216
2019-07-21,2019-07-27,15.8,2.4599975585937273,-0.5399997711181648,-0.6800048828124545,-0.38000030517578126,-14.8,29.8,5.95999755859375,-34.0,-83.63991699218673,1.239996337890625,7.390375146493316
2019-07-28,2019-08-03,44.2,-3.759997558593727,0.01999969482422017,-4.419995117187545,0.4200004577636719,-10.6,-3.0,1.94000244140625,76.0,-285.7598144531233,1.24000244140625,2.4056077636778355
2019-08-04,2019-08-10,-38.2,-3.560003662109375,-1.0199996948242194,-4.540002441406227,-1.1400001525878907,-0.2,-8.0,-4.520001220703125,156.0,-555.3605712890625,-0.820001220703125,3.7064065185561774
2019-08-11,2019-08-17,49.6,-0.479998779296875,-0.2,-2.25999755859375,-0.5599998474121094,-3.4,10.2,1.14000244140625,-114.0,54.719860839843754,-0.1,-0.114000244140625
2019-08-18,2019-08-24,-5.8,-0.28000488281248864,0.3599998474121094,2.0199951171875115,1.1400001525878891,17.4,2.8,6.119995117187523,80.0,-22.40039062499909,-6.5,-39.7799682617189
2019-08-25,2019-08-31,-34.0,-5.479998779296887,-0.1799999237060547,-4.879998779296886,0.41999969482422017,11.2,11.8,2.5800048828124544,34.0,-186.31995849609416,-3.0,-7.740014648437363
2019-09-01,2019-09-07,-35.6,4.7,0.059999847412109376,-5.0,0.25999984741210935,-12.6,-23.2,6.159997558593773,0.0,0.0,3.0,18.479992675781318
2019-09-08,2019-09-14,37.25,4.400006103515625,-0.039999771118164065,-5.079998779296875,-0.04000015258789062,8.4,-2.0,4.15999755859375,36.0,158.40021972656248,1.279998779296875,5.32479179687798
2019-09-15,2019-09-21,41.0,-2.925003051757841,-0.5750002861022949,2.6750030517578125,-0.6749992370605487,-4.5,21.5,-0.649993896484375,95.0,-277.8752899169949,0.40000152587890625,-0.25999855040572584
2019-09-22,2019-09-28,-53.5,-1.080004882812466,-0.07999992370605469,3.579998779296875,0.7,5.2,-1.0,-1.94000244140625,-10.0,10.800048828124659,-1.8,3.49200439453125
2019-09-29,2019-10-05,23.66666666666667,-8.75,-0.19999980926513672,8.699996948242188,0.0,-6.0,-33.5,4.79998779296875,-20.0,175.0,-1.3000030517578125,-6.239998779259622
2019-10-06,2019-10-12,17.0,9.533345540364564,0.2999998728434245,5.466664632161458,1.266666412353518,8.333333333333334,24.666666666666668,6.900004069010417,250.0,2383.336385091141,0.7000020345052084,4.830016886401508
2019-10-13,2019-10-19,16.0,9.199991861979166,0.09999974568684895,0.100006103515625,1.0999997456868489,17.333333333333332,0.3333333333333333,2.20001220703125,-6.666666666666667,-61.33327907986111,0.8333333333333334,1.833343505859375
2019-10-20,2019-10-26,-12.6,0.7666625976562879,-0.2666664123535156,1.1999918619791856,0.09999974568684895,-7.666666666666667,-32.333333333333336,4.133321126302083,-90.0,-68.99963378906591,2.6666666666666665,11.022189670138888
2019-10-27,2019-11-02,-21.0,6.220007324218727,0.07999992370605469,-3.2399963378906365,0.28000030517578123,-5.6,5.0,8.05999755859375,20.0,124.40014648437455,1.579998779296875,12.734786303713918
2019-11-03,2019-11-09,-24.6,7.15999755859375,1.0,0.920001220703125,-1.2,-1.8,18.0,6.6800048828125,-102.0,-730.3197509765624,0.720001220703125,4.809611669927835
2019-11-10,2019-11-16,18.4,-3.44000244140625,-0.3,-2.820001220703125,0.6599998474121094,-6.2,-2.6,5.4199951171875,-54.0,185.7601318359375,0.920001220703125,4.986402124017476
2019-11-17,2019-11-23,49.4,2.8199951171875,-0.03999977111816477,-8.679998779296875,0.6800003051757798,2.2,19.2,4.7800048828125,52.0,146.63974609375,2.579998779296875,12.332406762689352
2019-11-24,2019-11-30,-19.2,-4.3,-0.14000015258788992,-2.620001220703125,0.3,-21.6,17.0,-6.0,132.0,-567.6,0.520001220703125,-3.1200073242187503
2019-12-01,2019-12-07,51.4,2.24000244140625,-0.3,-0.720001220703125,-0.28000030517577984,-1.0,14.2,-5.7800048828125,10.0,22.4000244140625,1.1399963378906364,-6.589184399396247
2019-12-08,2019-12-14,-24.0,2.12000732421875,-0.3,1.3,0.5199996948242187,-0.4,5.8,-5.1,20.0,42.400146484375,-2.0199951171875115,10.301975097656308
2019-12-15,2019-12-21,32.4,0.6,0.12000007629394531,-2.4400024414062385,-0.01999969482421875,13.0,-0.2,13.24000244140625,68.0,40.8,3.339996337890625,44.22155966795981
2019-12-22,2019-12-28,18.2,1.67999267578125,-0.04000015258789062,12.5,-0.14000015258789061,-1.4,-45.0,3.6800048828125,-42.0,-70.5596923828125,1.520001220703125,5.59361191406846
2019-12-29,2020-01-04,31.0,6.74000244140625,0.04000015258789062,-3.379998779296886,0.8799995422363281,5.0,-5.4,12.07999267578125,60.0,404.400146484375,4.9,59.19196411132813
2020-01-05,2020-01-11,55.6,34.74000244140625,-0.12000007629394531,-0.32000122070311365,0.3400009155273409,7.8,28.6,23.00000000000002,44.0,1528.5601074218748,9.0,207.0000000000002
2020-01-12,2020-01-18,-22.6,16.040002441406227,0.2799999237060547,4.7,-0.5199996948242159,-4.2,2.2,-10.739990234375023,418.0,6704.721020507803,-0.9400024414062387,10.095617040991684
2020-01-19,2020-01-25,-17.8,1.3799926757812728,0.12000007629394531,2.5400024414062385,0.4399993896484375,2.4,-29.2,-0.84000244140625,-84.0,-115.91938476562692,-0.23999633789063637,0.20159750975669385
2020-01-26,2020-02-01,0.0,-18.15999755859375,0.1799999237060547,-0.979998779296875,0.019999694824221592,-9.8,-8.2,-3.3800048828125,-220.0,3995.1994628906255,-3.420001220703125,11.559620825201273
2020-02-02,2020-02-08,25.8,16.8,0.0,-1.920001220703125,-0.3199996948242216,-17.2,30.0,15.34000244140625,-62.0,-1041.6000000000001,-2.1400024414062386,-32.82764267578704
2020-02-09,2020-02-15,-8.8,22.2,0.2799999237060554,2.84000244140625,0.5199996948242216,14.8,9.6,-6.5199951171875,-30.0,-666.0,2.4400024414062385,-15.908804003894256
2020-02-16,2020-02-22,-11.2,17.6,0.0,1.079998779296875,0.919999694824216,-8.8,-3.6,19.27999267578125,166.0,2921.6000000000004,5.379998779296875,103.72633706055582
2020-02-23,2020-02-29,-66.25,-38.9,-0.3599998474121101,-6.279998779296875,-0.11999969482421875,-20.0,-64.0,-20.4,-438.0,17038.2,-2.8,57.11999999999999
2020-03-01,2020-03-07,-283.75,-28.125,-0.4250001907348633,-13.200004577636719,-2.5249996185302734,-31.074996948242188,-59.0,-40.44999694824219,-890.0,25031.25,-21.25,859.5624351501465
2020-03-08,2020-03-14,-70.0,-75.875,-1.5999999046325684,-19.875,-3.8000001907348633,-38.67500305175781,-85.25,-62.275001525878906,-1003.0,76102.625,-30.499999999999993,1899.3875465393062
2020-03-15,2020-03-21,-42.0,-13.35999755859375,-0.4,-10.879998779296875,-0.4400001525878906,17.15999755859375,-35.2,-2.179998779296875,-32.6,435.5359204101563,-13.87999877929688,30.258380395509313
2020-03-22,2020-03-28,37.6,14.4,-0.13999996185302735,5.6,-0.31999969482421875,35.84000244140625,93.8,37.6,376.8,5425.92,10.960000610351562,412.09602294921876
2020-03-29,2020-04-04,5.666666666666668,22.65999755859375,0.33999996185302733,21.3,0.41999969482421873,3.4,-7.2,-6.44000244140625,184.2,4173.9715502929685,6.119998168945324,-39.41280314940967
2020-04-05,2020-04-11,-37.333333333333336,38.333333333333336,0.16666666666666666,2.3333333333333335,1.5333340962727864,-7.666666666666667,20.0,11.599995930989584,-122.66666666666667,-4702.222222222223,2.266672770182273,26.293394910999254
2020-04-12,2020-04-18,-40.6,-5.0,-0.4333330790201823,-0.3333333333333333,0.1999994913736979,8.0,-43.666666666666664,12.5,-285.0,1425.0,-0.2666727701822727,-3.333409627278409
2020-04-19,2020-04-25,179.33333333333337,17.0,18.779999923706054,2.5599975585937615,0.7200004577636705,19.8,36.2,10.52000732421875,36.2,615.4000000000001,1.6600036621093637,17.46325068362045
2020-04-26,2020-05-02,-24.6,25.400004069010418,1.6666666666666667,1.1000061035156061,2.366666158040367,12.333333333333334,-33.666666666666664,27.133321126302082,324.0,8229.601318359375,6.066660563151042,164.60864922424986
2020-05-03,2020-05-09,-35.0,-4.04000244140625,1.0800003051757812,3.1399963378906364,-0.7599998474121094,-10.2,-16.8,-9.2199951171875,-190.2,768.4084643554686,5.379998779296875,-49.60356247559189
2020-05-10,2020-05-16,-8.2,-15.5800048828125,1.1399993896484375,1.6800048828124887,-0.7400001525878906,-15.8,-21.8,-23.2800048828125,-251.2,3913.6972265624995,-7.7199951171875,179.72152402341365
2020-05-17,2020-05-23,27.5,18.42000732421875,-5.289959716796875,4.539996337890625,0.3,14.0,18.0,13.8,81.4,1499.3885961914066,-0.2,-2.7600000000000002
2020-05-24,2020-05-30,-34.2,-0.475006103515625,-2.597475051879883,4.625,-1.5249996185302752,-11.5,39.0,-8.17498779296875,0.0,-0.0,-2.25,18.393722534179688
2020-05-31,2020-06-06,47.75,9.4,-4.152059936523438,-0.32000122070311365,0.37999954223632953,2.2,-22.8,1.1199951171875,-16.0,-150.4,0.45999755859375,0.5151950195431709
2020-06-07,2020-06-13,-6.8,20.925003051757812,0.350000381469723,1.2000045776367045,-0.125,-11.75,18.25,-11.524993896484375,181.25,3792.6568031311035,1.3249969482421875,-15.270581741351634
2020-06-14,2020-06-20,-117.8,11.2,-0.9400001525878878,-1.820001220703125,0.059999847412109376,-22.6,-12.2,-0.72000732421875,110.4,1236.48,-5.15999755859375,3.7152360351383686
2020-06-21,2020-06-27,96.40000610351562,-8.4,0.15999984741210938,1.64000244140625,-0.2,9.2,-9.4,-5.55999755859375,-109.4,918.96,-3.5200012207031195,19.571198193356363
2020-06-28,2020-07-04,-85.60000610351562,-3.6,0.04000015258789062,-3.0400062561035157,0.18000001907348775,3.400002288818359,3.4000152587890624,11.500001144409179,-70.39993286132812,253.43975830078125,-4.100000190734863,-47.150006885528775
2020-07-05,2020-07-11,26.6,-3.75999755859375,0.3,0.46000137329102697,-0.18000001907348775,-3.2000022888183595,1.7999847412109375,-13.440003585815429,-21.800067138671874,81.9681992185861,-1.5799985885620174,21.23518669585683
2020-07-12,2020-07-18,-37.6,-6.24000244140625,-0.8599998474121108,-9.959997558593761,0.3400001525878906,45.0,6.6,1.32000732421875,3.2,-19.9680078125,1.1799987792968807,1.5576070312410668
2020-07-19,2020-07-25,63.25,14.6,-0.22000045776367044,10.120001220703125,2.3200004577636704,16.8,1.0,8.639990234375,-2.6,-37.96,1.9600006103515568,16.93438613280649
