first_day_in_week,last_day_in_week,ALHE_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.36,PTX.TA_weekly_mean_diff_0.36,PCBT.TA_weekly_mean_diff_0.37,LDER.TA_weekly_mean_diff_0.39,SHGR.TA_weekly_mean_diff_0.39,RLCO.TA_weekly_mean_diff_0.43,SHOM.TA_weekly_mean_diff_0.45,ALRPR.TA_weekly_mean_diff_0.47,ALRPR.TA_weekly_mean_diff_0.47_INT_MRIN.TA_weekly_mean_diff_0.36_corr_0.72,OPAL.TA_weekly_mean_diff_0.52,OPAL.TA_weekly_mean_diff_0.52_INT_SHOM.TA_weekly_mean_diff_0.45_corr_0.77
2019-03-10,2019-03-16,1.4,3.479992675781273,-0.5799995422363281,1.379998779296875,0.03999977111816477,4.6,-1.0,-0.6,64.0,222.71953125000147,1.3200012207031364,-0.7920007324218818
2019-03-17,2019-03-23,14.8,-0.6,0.0,7.8,0.04000015258789134,27.8,-3.2,1.44000244140625,0.0,-0.0,2.1199951171875,3.052798144519329
2019-03-24,2019-03-30,23.2,-7.600000000000011,-0.6599998474121094,-0.6599975585937727,0.2999996185302713,-8.6,1.2,3.3,46.0,-349.60000000000053,-0.25999755859375,-0.857991943359375
2019-03-31,2019-04-06,33.6,6.959997558593739,-1.0200004577636705,1.4799926757812727,0.24000015258789348,15.2,27.6,5.05999755859375,12.0,83.51997070312487,7.779998779296875,39.36677482910454
2019-04-07,2019-04-13,-0.8,-1.0,0.22000045776367044,3.1800048828125,0.1,1.0,27.2,6.34000244140625,-14.0,14.0,2.660003662109375,16.864429711923005
2019-04-14,2019-04-20,-4.8,3.640002441406273,-0.04000015258789062,1.7,0.1400001525878892,-1.0,-33.4,2.479998779296875,90.0,327.60021972656455,-0.34000244140625,-0.8432056396454574
2019-04-21,2019-04-27,-13.4,2.8200073242187274,-0.24000015258789062,0.3199951171875,-0.01999969482421875,4.4,-23.4,1.979998779296875,14.0,39.48010253906218,1.7,3.365997924804687
2019-04-28,2019-05-04,4.2,-0.1,-0.21999969482421874,3.42000732421875,-0.020000457763671875,-14.4,22.6,-5.0,-70.0,7.0,-3.579998779296875,17.899993896484375
2019-05-05,2019-05-11,19.2,-3.2,0.11999969482421875,-0.85999755859375,-0.059999847412109376,3.4,-9.2,4.620001220703125,36.0,-115.2,-0.620001220703125,-2.8644063964858653
2019-05-12,2019-05-18,1.6,-1.2200073242187273,-0.08000030517578267,0.4199951171875,-0.1400001525878892,-3.2,10.0,-1.620001220703125,18.0,-21.96013183593709,-0.020001220703125,0.032402001954615116
2019-05-19,2019-05-25,44.4,2.5599975585937274,0.04000015258789347,0.9199951171875,0.5800003051757798,-17.8,0.0,8.74000244140625,64.0,163.83984374999855,0.9,7.866002197265626
2019-05-26,2019-06-01,-34.0,-13.139996337890626,0.1400001525878892,0.72000732421875,0.0,6.8,9.8,-6.54000244140625,-164.0,2154.959399414063,-0.5,3.270001220703125
2019-06-02,2019-06-08,28.0,3.84000244140625,-0.7599998474121101,-0.85999755859375,0.31999969482421875,3.6,-9.8,4.8,-30.0,-115.2000732421875,1.8,8.64
2019-06-09,2019-06-15,10.8,-3.620001220703125,0.0799999237060561,-0.52000732421875,0.24000015258789062,8.0,-2.0,-3.820001220703125,148.0,-535.7601806640624,-1.0,3.820001220703125
2019-06-16,2019-06-22,-3.6,3.8,-0.24000015258789134,-0.0199951171875,0.6400001525878907,3.4,-0.8,-0.639996337890625,90.0,342.0,-2.039996337890625,1.3055901855602863
