first_day_in_week,last_day_in_week,KTOV_main_symb_weekly_mean_diff,LUZN.TA_weekly_mean_diff_0.37,BRAN.TA_weekly_mean_diff_0.38,RPAC.TA_weekly_mean_diff_0.39,BEZQ.TA_weekly_mean_diff_0.46
2019-03-10,2019-03-16,-14.220007324218738,-0.28000030517578123,-4.18399658203125,-2.6,-2.95999755859375
2019-03-17,2019-03-23,-6.219995117187512,0.1,-5.279406738281272,5.8,-6.8
2019-03-24,2019-03-30,-0.74000244140625,0.24000015258789062,-5.568603515625,-3.8,-2.1
2019-03-31,2019-04-06,-1.379998779296875,-0.4400001525878906,8.170202636718773,4.4,-4.72000122070312
2019-04-07,2019-04-13,-1.3,-0.14000015258789061,-9.5699951171875,0.6,3.680001831054682
2019-04-14,2019-04-20,-2.179998779296875,-0.21999969482421874,-8.04840087890625,-2.6,0.1399993896484375
2019-04-21,2019-04-27,-2.84000244140625,0.019999694824217328,-0.471600341796875,1.0,0.2799987792968864
2019-04-28,2019-05-04,-0.420001220703125,0.38000030517578265,5.081597900390625,-2.0,-2.5000000000000058
2019-05-05,2019-05-11,-1.079998779296875,-0.15999984741210938,-3.5906005859375,9.2,2.8000000000000056
2019-05-12,2019-05-18,-2.379998779296875,-0.2200004577636733,1.673602294921875,3.0,2.620001220703114
2019-05-19,2019-05-25,-8.360003662109374,0.3200004577636733,-1.21719970703125,1.4,-5.1
2019-05-26,2019-06-01,-0.339996337890625,0.01999969482421875,-10.452398681640625,-3.6,-4.339999389648438
2019-06-02,2019-06-08,-0.14000244140625,-0.07999954223632813,-4.610003662109375,-9.4,3.579998779296875
2019-06-09,2019-06-15,0.9,-0.14000015258789061,-3.408001708984375,3.6,1.2600006103515624
2019-06-16,2019-06-22,6.1,-0.18000030517577983,2.464801025390625,-3.0,3.2
2019-06-23,2019-06-29,-2.239996337890625,0.09999999999999858,1.886602783203125,2.6,1.0
2019-06-30,2019-07-06,6.279998779296875,-0.15999984741210938,4.2447998046875,60.8,-1.8
2019-07-07,2019-07-13,-1.54000244140625,-0.1400001525878892,5.355596923828125,-7.8,-2.0200012207031195
2019-07-14,2019-07-20,-9.739996337890622,-0.1599998474121108,-2.0539978027343637,10.4,-0.9799987792968807
2019-07-21,2019-07-27,-2.420001220703125,0.1599998474121108,-13.038800048828136,0.8,-0.4600006103515625
2019-07-28,2019-08-03,-4.060003662109375,-0.4000000000000007,7.896197509765637,9.0,-0.3399993896484375
2019-08-04,2019-08-10,-3.1199951171875,-0.7799999237060554,0.3652038574218636,-10.4,0.8799987792968806
2019-08-11,2019-08-17,3.739996337890637,-0.1,-4.853399658203125,1.6,-2.1
2019-08-18,2019-08-24,4.479998779296863,0.6,4.001397705078125,-3.8,0.6200012207031194
2019-08-25,2019-08-31,3.9,0.5000003814697266,-5.03599853515625,4.8,-3.4
2019-09-01,2019-09-07,-3.139996337890625,-0.48000030517578124,-0.7760009765625,4.8,-2.6799987792968807
2019-09-08,2019-09-14,-4.0,-0.4200000762939453,-2.692999267578114,7.2,1.8599975585937614
2019-09-15,2019-09-21,-3.340002441406239,0.0,4.051002502441392,33.25,-0.674999237060554
2019-09-22,2019-09-28,-1.550003051757841,-0.2,1.09539794921875,4.6,3.0
2019-09-29,2019-10-05,0.9333394368489394,0.5500001907348633,0.3804931640625,-12.0,-0.650001525878892
2019-10-06,2019-10-12,-1.0,0.0,4.361338297526061,2.3333333333333335,2.3666687011718657
2019-10-13,2019-10-19,-1.0666707356770455,-0.09999974568685015,0.12699381510414773,-0.3333333333333333,-1.0666656494140625
2019-10-20,2019-10-26,0.4799987792968636,-0.6666666666666666,-2.7893269856770835,13.666666666666666,-0.20000203450520834
2019-10-27,2019-11-02,0.2200012207031364,-0.14000015258788992,1.901800537109375,12.4,0.08000183105468181
2019-11-03,2019-11-09,-2.8000000000000056,-0.17999992370605397,-8.1093994140625,-1.0,7.4799987792968805
2019-11-10,2019-11-16,-1.3599975585937614,0.020000076293943892,0.59339599609375,4.0,2.5
2019-11-17,2019-11-23,0.059997558593761366,0.11999969482422017,1.202001953125,-1.6,1.85999755859375
2019-11-24,2019-11-30,0.2,-0.01999969482422017,0.790997314453125,1.2,-0.4199951171875
2019-12-01,2019-12-07,1.3600006103515567,-0.24000015258788993,-0.6845947265625,-6.4,-1.14000244140625
2019-12-08,2019-12-14,1.4199981689453125,-0.17999992370605397,-3.271002197265625,-7.6,0.2
2019-12-15,2019-12-21,-2.0999969482421874,-0.12000007629394602,1.429998779296875,-9.4,-2.379998779296886
2019-12-22,2019-12-28,2.819998168945324,0.9799999237060547,6.207598876953125,-5.0,0.17999877929688637
2019-12-29,2020-01-04,3.879998779296864,0.34000015258789135,8.839599609375,9.2,-0.24000244140625
2020-01-05,2020-01-11,-3.0,0.4,-9.036199951171863,-1.8,-3.0399963378906363
2020-01-12,2020-01-18,-0.4,0.039999771118164065,-14.639996337890636,0.4,-0.07999877929686364
2020-01-19,2020-01-25,-0.6199951171875,-0.1599998474121101,-0.079998779296875,11.6,2.35999755859375
2020-01-26,2020-02-01,0.8399963378906363,0.9400001525878906,-0.7800048828125,52.4,-0.24000244140625
2020-02-02,2020-02-08,-3.5599975585937673,0.1,-3.85999755859375,6.0,-2.75999755859375
2020-02-09,2020-02-15,-2.7800018310546815,0.07999954223632813,1.979998779296875,7.0,1.7799987792968863
2020-02-16,2020-02-22,-3.3600006103515567,0.020000457763671875,0.360003662109375,35.8,1.6200012207031136
2020-02-23,2020-02-29,-1.6499977111816475,0.04000015258789062,-1.260003662109375,-50.4,-2.95999755859375
2020-03-01,2020-03-07,-26.07500076293945,-0.4500007629394549,-4.799995422363281,-48.0,-6.500003814697266
2020-03-08,2020-03-14,1.1800003051757812,-0.27499961853027166,-8.175003051757812,-123.0,-7.649997711181648
2020-03-15,2020-03-21,0.05999908447265909,-0.04000015258788921,-10.760000610351563,-6.6,3.0799987792968806
2020-03-22,2020-03-28,4.039999389648433,-0.07999954223632955,-1.8600006103515567,21.6,5.4799987792968805
2020-03-29,2020-04-04,-2.2666651407877603,0.5199996948242187,10.6,36.6,1.2200012207031192
2020-04-05,2020-04-11,5.699999491373697,0.16666666666666666,3.7000020345051987,34.0,1.4666646321614678
2020-04-12,2020-04-18,-3.679998779296878,0.8333333333333334,1.5,3.0,-2.8333333333333335
2020-04-19,2020-04-25,2.4666646321614727,-0.14000015258789061,-1.2200012207031192,7.6,0.34000244140623864
2020-04-26,2020-05-02,2.160000610351557,0.1333338419596354,15.200002034505198,18.666666666666668,1.0
2020-05-03,2020-05-09,1.9600006103515624,0.15999984741210938,-3.05999755859375,16.4,0.17999877929688068
2020-05-10,2020-05-16,9.0,0.38000030517578126,2.15999755859375,0.6,4.820001220703114
2020-05-17,2020-05-23,-0.15000152587890625,-0.4200004577636719,-0.2,17.4,4.179998779296886
2020-05-24,2020-05-30,-4.239999389648437,-0.19999980926513672,1.25,28.75,1.0
2020-05-31,2020-06-06,-2.5999984741210938,0.5199996948242187,-4.44000244140625,-24.4,6.94000244140625
2020-06-07,2020-06-13,-0.320001220703125,0.6000003814697266,13.675003051757812,11.75,-5.275001525878906
2020-06-14,2020-06-20,41.0,0.9400001525878906,18.24000244140625,76.8,9.979998779296874
2020-06-21,2020-06-27,-2.4800004959106445,0.6400001525878892,2.35999755859375,-49.4,-4.420001220703125
2020-06-28,2020-07-04,-11.44000072479248,0.13999915122986123,0.9399993896484375,-2.3999923706054687,1.920001220703125
2020-07-05,2020-07-11,-6.139996337890625,-0.6999997615814223,1.1199981689453238,2.599992370605469,-1.8
2020-07-12,2020-07-18,-0.06000366210936362,0.12000045776367188,1.2800048828124886,6.0,3.0
2020-07-19,2020-07-25,1.025001525878892,-0.0599998474121108,1.2199951171875114,4.6,-1.8
