first_day_in_week,last_day_in_week,MCRNT_main_symb_weekly_mean_diff,LUZN.TA_weekly_mean_diff_0.4,BEZQ.TA_weekly_mean_diff_0.41,EMCO.TA_weekly_mean_diff_0.41,ITMR.TA_weekly_mean_diff_0.41,ZMH.TA_weekly_mean_diff_0.44,RPAC.TA_weekly_mean_diff_0.46,PLRM.TA_weekly_mean_diff_0.5
2019-03-10,2019-03-16,1.0,-0.28000030517578123,-2.95999755859375,6.0,1.3200012207031135,-3.1800048828125,-2.6,1.6
2019-03-17,2019-03-23,-8.599998474121081,0.1,-6.8,2.4,2.439999389648443,15.94000244140625,5.8,3.6
2019-03-24,2019-03-30,4.200004577636719,0.24000015258789062,-2.1,2.4,-2.6399993896484433,10.0,-3.8,-4.8
2019-03-31,2019-04-06,-2.0,-0.4400001525878906,-4.72000122070312,13.6,-1.440000915527338,10.6,4.4,-17.2
2019-04-07,2019-04-13,5.399993896484364,-0.14000015258789061,3.680001831054682,8.0,-0.1399993896484375,3.6,0.6,-1.0
2019-04-14,2019-04-20,2.8000030517578245,-0.21999969482421874,0.1399993896484375,-14.6,-0.9,9.6,-2.6,15.0
2019-04-21,2019-04-27,-3.4000015258789062,0.019999694824217328,0.2799987792968864,2.8,-0.2199996948242216,20.4,1.0,-8.4
2019-04-28,2019-05-04,-6.0,0.38000030517578265,-2.5000000000000058,3.8,0.33999938964844034,-1.0,-2.0,3.0
2019-05-05,2019-05-11,1.0,-0.15999984741210938,2.8000000000000056,1.0,-0.9399993896484403,1.8,9.2,-3.6
2019-05-12,2019-05-18,-3.1999969482421875,-0.2200004577636733,2.620001220703114,8.2,-1.4,-10.6,3.0,1.4
2019-05-19,2019-05-25,1.0,0.3200004577636733,-5.1,-1.8,-2.3,4.6,1.4,-3.6
2019-05-26,2019-06-01,4.199996948242188,0.01999969482421875,-4.339999389648438,16.4,0.6,9.0,-3.6,1.0
2019-06-02,2019-06-08,-2.1999969482421875,-0.07999954223632813,3.579998779296875,-7.2,5.0399993896484405,-1.4,-9.4,-34.6
2019-06-09,2019-06-15,0.0,-0.14000015258789061,1.2600006103515624,5.6,-1.7,-21.0,3.6,13.0
2019-06-16,2019-06-22,-3.800003051757813,-0.18000030517577983,3.2,5.2,0.6,14.4,-3.0,-6.4
2019-06-23,2019-06-29,6.8000030517578125,0.09999999999999858,1.0,-2.4,-0.5800003051757813,13.6,2.6,0.6
2019-06-30,2019-07-06,-3.2000045776367303,-0.15999984741210938,-1.8,2.6,-0.7199996948242188,9.6,60.8,-4.4
2019-07-07,2019-07-13,-1.79999542236327,-0.1400001525878892,-2.0200012207031195,-16.2,-1.4600006103515597,5.8,-7.8,-15.0
2019-07-14,2019-07-20,-4.8000030517578125,-0.1599998474121108,-0.9799987792968807,1.8,0.1400009155273409,2.2,10.4,-11.4
2019-07-21,2019-07-27,-3.1999969482421875,0.1599998474121108,-0.4600006103515625,8.8,-0.8199996948242216,8.6,0.8,-9.8
2019-07-28,2019-08-03,1.0,-0.4000000000000007,-0.3399993896484375,15.0,0.8399993896484403,4.6,9.0,-11.2
2019-08-04,2019-08-10,-16.00000000000001,-0.7799999237060554,0.8799987792968806,-1.2,1.1199996948242188,-2.2,-10.4,-0.6
2019-08-11,2019-08-17,6.399997711181652,-0.1,-2.1,-5.2,-1.5800003051757785,-5.8,1.6,-9.8
2019-08-18,2019-08-24,-0.399997711181652,0.6,0.6200012207031194,-34.6,0.26000061035155964,37.8,-3.8,8.4
2019-08-25,2019-08-31,4.1999969482422115,0.5000003814697266,-3.4,-24.6,-0.9800003051757813,-1.0,4.8,-4.2
2019-09-01,2019-09-07,-11.19999694824221,-0.48000030517578124,-2.6799987792968807,8.6,-0.21999969482421874,-3.8,4.8,32.2
2019-09-08,2019-09-14,-1.0000038146972372,-0.4200000762939453,1.8599975585937614,8.6,1.1399993896484404,-5.0,7.2,-3.6
2019-09-15,2019-09-21,1.6000022888183594,0.0,-0.674999237060554,7.25,-0.75,18.25,33.25,-3.0
2019-09-22,2019-09-28,0.0,-0.2,3.0,1.6,-0.07999877929688068,2.0,4.6,-1.8
2019-09-29,2019-10-05,-5.0,0.5500001907348633,-0.650001525878892,15.0,-1.450000762939446,-16.0,-12.0,8.5
2019-10-06,2019-10-12,2.3333295186360683,0.0,2.3666687011718657,-2.3333333333333335,-0.1333338419596354,20.666666666666668,2.3333333333333335,26.333333333333332
2019-10-13,2019-10-19,-6.666666666666668,-0.09999974568685015,-1.0666656494140625,0.3333333333333333,-0.16666666666666666,3.0,-0.3333333333333333,1.0
2019-10-20,2019-10-26,-4.399997711181647,-0.6666666666666666,-0.20000203450520834,-11.666666666666666,-0.5333328247070312,12.333333333333334,13.666666666666666,-8.0
2019-10-27,2019-11-02,-1.4000015258789122,-0.14000015258788992,0.08000183105468181,-9.4,-0.28000030517578123,17.6,12.4,2.2
2019-11-03,2019-11-09,-1.7999992370605469,-0.17999992370605397,7.4799987792968805,-10.4,1.9,9.0,-1.0,2.0
2019-11-10,2019-11-16,-2.799999237060547,0.020000076293943892,2.5,-1.0,1.1600006103515597,-33.0,4.0,-4.8
2019-11-17,2019-11-23,-0.20000076293945312,0.11999969482422017,1.85999755859375,15.6,0.2199996948242216,12.6,-1.6,-3.4
2019-11-24,2019-11-30,-1.2000007629394531,-0.01999969482422017,-0.4199951171875,-3.6,0.4800003051757784,17.4,1.2,5.2
2019-12-01,2019-12-07,4.6000022888183585,-0.24000015258788993,-1.14000244140625,10.0,1.2199996948242215,-2.6,-6.4,21.6
