first_day_in_week,last_day_in_week,BIG_main_symb_weekly_mean_diff,GZT.TA_weekly_mean_diff_0.36_INT_NSTR.TA_weekly_mean_diff_0.38_corr_0.95,HLMS.TA_weekly_mean_diff_0.43_INT_ATRY.TA_weekly_mean_diff_0.46_corr_0.72,ILDC.TA_weekly_mean_diff_0.43_INT_OPAL.TA_weekly_mean_diff_0.53_corr_0.72,MNRV.TA_weekly_mean_diff_0.43_INT_DRSL.TA_weekly_mean_diff_0.37_corr_0.73,NSTR.TA_weekly_mean_diff_0.38_INT_NAWI.TA_weekly_mean_diff_0.35_corr_0.73,OPAL.TA_weekly_mean_diff_0.53_INT_MMAN.TA_weekly_mean_diff_0.38_corr_0.74,SHOM.TA_weekly_mean_diff_0.5_INT_MRIN.TA_weekly_mean_diff_0.49_corr_0.72,SHOM.TA_weekly_mean_diff_0.5_INT_OPAL.TA_weekly_mean_diff_0.53_corr_0.77
2019-03-10,2019-03-16,142.0,2995.56,23.551953125,12.936011962890738,-325.60180664061426,-602.88,-7.392006835937563,-2.087995605468764,-0.7920007324218818
2019-03-17,2019-03-23,36.0,2752.0,-4.788013916015496,-15.6879638671875,-1582.4011230468682,860.0,6.3599853515625,-0.86400146484375,3.052798144519329
2019-03-24,2019-03-30,40.0,25.6,160.51205566406225,3.37996826171875,-4490.7974853515625,-552.96,2.23597900390625,-25.080000000000034,-0.857991943359375
2019-03-31,2019-04-06,38.0,-7.199999999999999,121.71995849609394,-37.343994140625,-499.19873046875,2.4,-26.763214794918895,35.217570654302776,39.36677482910454
2019-04-07,2019-04-13,124.0,535.7600000000001,-20.39996337890659,156.94021606445312,1798.0,709.5200000000001,3.138817309588194,-6.34000244140625,16.864429711923005
2019-04-14,2019-04-20,48.0,-2.16,44.608020019531246,-3.46802490234375,-74.4007568359375,7.920000000000001,0.4488057129085064,9.027201611325202,-0.8432056396454574
2019-04-21,2019-04-27,-340.0,28.6,6.015996093750001,-4.42,51.2001953125,149.6,2.00600830078125,5.583611059561327,3.365997924804687
2019-04-28,2019-05-04,4.0,186.0,154.22397094726563,-26.491990966796877,-395.999755859375,1264.8,6.300789111331105,0.5,17.899993896484375
2019-05-05,2019-05-11,118.0,347.76,-12.096054687499873,-5.95201171875,-10.7999267578125,-312.48,0.5828026611357927,-14.784003906250001,-2.8644063964858653
2019-05-12,2019-05-18,156.0,-24.96,-17.71198242187508,0.124007568359375,-209.60009765624883,5.2,0.12360764160752295,1.9764133545010913,0.032402001954615116
2019-05-19,2019-05-25,46.0,340.56,-11.968085937499602,-9.9,1730.0018310546802,603.72,3.1140087890625003,22.374384912103217,7.866002197265626
2019-05-26,2019-06-01,-392.0,-28.32,10.0321289062497,10.8,-313.600341796875,-330.40000000000003,-0.00999755859375,85.93560812987387,3.270001220703125
2019-06-02,2019-06-08,32.0,163.56,21.12011718749973,-56.88,0.0,564.0,-3.2759912109375,18.432011718749997,8.64
2019-06-09,2019-06-15,290.0,42.0,52.80004882812477,-43.8,-335.9997558593779,134.0,2.54000244140625,13.82840908203274,3.820001220703125
2019-06-16,2019-06-22,72.0,784.0,-3.2759777832031247,-0.40799926757812505,81.599853515625,280.0,-1.3056026367098092,-2.431986083984375,1.3055901855602863
2019-06-23,2019-06-29,80.0,468.0,65.10796997070321,-12.24,-83.9996337890625,3.6,11.0159912109375,-10.48319648437202,6.04799560546875
2019-06-30,2019-07-06,218.0,96.60000000000001,-186.11999999999998,132.54392578124998,2116.4027099609375,-358.8,13.690402978509665,6.126784594729632,4.621586767584135
2019-07-07,2019-07-13,-100.0,50.4,5.2,41.624020996093755,1702.8041992187375,110.60000000000001,-5.1304203125089405,-0.95,-1.2100006103515626
2019-07-14,2019-07-20,122.0,140.16,41.33990478515669,19.7599365234375,-3508.79833984376,14.6,-1.2235988525301218,-0.20480351559816698,0.24319782715291216
2019-07-21,2019-07-27,2.0,6125.04,97.3279248046875,59.271824951171865,-361.60009765625,760.1999999999999,-0.3223960205167532,14.6615794433652,7.390375146493316
2019-07-28,2019-08-03,240.0,162.64,26.620013427734378,43.64808593750001,-1787.999267578128,-1181.28,-1.6368123047053815,-7.29440444335337,2.4056077636778355
2019-08-04,2019-08-10,-240.0,2214.0,-3.5520361328125,-19.680029296875,-452.39904785157387,2772.0,-0.2788024169951677,16.091220898441968,3.7064065185561774
2019-08-11,2019-08-17,642.0,11.2,34.78,6.68,-540.0,-53.2,0.29400024414062503,-0.5471997802704572,-0.114000244140625
2019-08-18,2019-08-24,-174.0,8630.56,27.19574462890625,-81.89999999999999,-979.1982421875,4522.0,13.389984130859375,-1.713628515601095,-39.7799682617189
2019-08-25,2019-08-31,-90.0,3614.2400000000002,60.72005615234375,38.400000000000006,-1836.0003662109375,258.15999999999997,1.5599853515625002,-14.138423608392257,-7.740014648437363
2019-09-01,2019-09-07,96.0,-0.32000000000000006,95.61603515625,-17.4,-1483.1982421875,-3.3200000000000003,-0.24001464843749998,28.951988525390732,18.479992675781318
2019-09-08,2019-09-14,215.0,641.84,-47.32003173828125,28.415972900390624,-915.2021484374873,9.040000000000001,2.4064039550721645,18.304014648422598,5.32479179687798
2019-09-15,2019-09-21,224.0,124.375,8.925155639648438,-5.700021743774414,-1300.0049591064749,273.625,-0.24000335694290698,1.901234130840767,-0.25999855040572584
2019-09-22,2019-09-28,-555.0,305.44,-61.50396972656251,0.36000000000000004,968.00537109375,36.8,8.64,2.0952121093868548,3.49200439453125
2019-09-29,2019-10-05,390.0,385.0,-17.999725341796875,23.400054931640625,172.5006103515625,2007.5,-0.0,-41.99989318847656,-6.239998779259622
