first_day_in_week,last_day_in_week,TEVA_main_symb_weekly_mean_diff,MRIN.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,17.2,3.479992675781273
2019-03-17,2019-03-23,-88.0,-0.6
2019-03-24,2019-03-30,-38.2,-7.600000000000011
2019-03-31,2019-04-06,-39.2,6.959997558593739
2019-04-07,2019-04-13,-32.2,-1.0
2019-04-14,2019-04-20,76.2,3.640002441406273
2019-04-21,2019-04-27,-6.8,2.8200073242187274
2019-04-28,2019-05-04,-44.8,-0.1
2019-05-05,2019-05-11,-217.0,-3.2
2019-05-12,2019-05-18,-12.8,-1.2200073242187273
2019-05-19,2019-05-25,-124.0,2.5599975585937274
2019-05-26,2019-06-01,0.2,-13.139996337890626
2019-06-02,2019-06-08,-57.2,3.84000244140625
2019-06-09,2019-06-15,-35.0,-3.620001220703125
2019-06-16,2019-06-22,54.8,3.8
2019-06-23,2019-06-29,35.2,-3.120001220703125
2019-06-30,2019-07-06,-43.6,5.779998779296898
2019-07-07,2019-07-13,-85.6,1.9
2019-07-14,2019-07-20,-3.6,0.32000732421872724
2019-07-21,2019-07-27,11.6,2.4599975585937273
2019-07-28,2019-08-03,-73.8,-3.759997558593727
2019-08-04,2019-08-10,-58.2,-3.560003662109375
2019-08-11,2019-08-17,80.0,-0.479998779296875
2019-08-18,2019-08-24,-12.0,-0.28000488281248864
2019-08-25,2019-08-31,-25.6,-5.479998779296887
2019-09-01,2019-09-07,100.2,4.7
2019-09-08,2019-09-14,-34.25,4.400006103515625
2019-09-15,2019-09-21,-72.8,-2.925003051757841
2019-09-22,2019-09-28,-27.5,-1.080004882812466
2019-09-29,2019-10-05,14.333333333333336,-8.75
2019-10-06,2019-10-12,45.0,9.533345540364564
2019-10-13,2019-10-19,90.0,9.199991861979166
2019-10-20,2019-10-26,18.8,0.7666625976562879
2019-10-27,2019-11-02,50.6,6.220007324218727
2019-11-03,2019-11-09,43.6,7.15999755859375
2019-11-10,2019-11-16,50.4,-3.44000244140625
2019-11-17,2019-11-23,0.4,2.8199951171875
2019-11-24,2019-11-30,-32.0,-4.3
2019-12-01,2019-12-07,-8.8,2.24000244140625
2019-12-08,2019-12-14,10.2,2.12000732421875
2019-12-15,2019-12-21,13.8,0.6
2019-12-22,2019-12-28,-35.0,1.67999267578125
2019-12-29,2020-01-04,-52.2,6.74000244140625
2020-01-05,2020-01-11,123.4,34.74000244140625
2020-01-12,2020-01-18,-24.4,16.040002441406227
2020-01-19,2020-01-25,-11.2,1.3799926757812728
2020-01-26,2020-02-01,128.4,-18.15999755859375
2020-02-02,2020-02-08,53.6,16.8
2020-02-09,2020-02-15,25.4,22.2
2020-02-16,2020-02-22,-71.0,17.6
2020-02-23,2020-02-29,-106.25,-38.9
2020-03-01,2020-03-07,-202.75,-28.125
2020-03-08,2020-03-14,-87.2,-75.875
2020-03-15,2020-03-21,86.2,-13.35999755859375
2020-03-22,2020-03-28,15.6,14.4
2020-03-29,2020-04-04,136.0,22.65999755859375
2020-04-05,2020-04-11,76.66666666666667,38.333333333333336
2020-04-12,2020-04-18,-27.8,-5.0
2020-04-19,2020-04-25,99.33333333333331,17.0
2020-04-26,2020-05-02,61.8,25.400004069010418
2020-05-03,2020-05-09,-74.6,-4.04000244140625
2020-05-10,2020-05-16,91.0,-15.5800048828125
2020-05-17,2020-05-23,30.25,18.42000732421875
2020-05-24,2020-05-30,15.2,-0.475006103515625
2020-05-31,2020-06-06,-106.75,9.4
2020-06-07,2020-06-13,27.0,20.925003051757812
2020-06-14,2020-06-20,38.2,11.2
2020-06-21,2020-06-27,-65.2,-8.4
2020-06-28,2020-07-04,-12.0,-3.6
2020-07-05,2020-07-11,57.0,-3.75999755859375
2020-07-12,2020-07-18,-31.8,-6.24000244140625
2020-07-19,2020-07-25,-52.25,14.6
