first_day_in_week,last_day_in_week,AYAL_main_symb_weekly_mean_diff,OVRS.TA_weekly_mean_diff_0.47,SHGR.TA_weekly_mean_diff_0.5
2019-03-10,2019-03-16,-18.4,-0.6599975585937614,4.6
2019-03-17,2019-03-23,-6.0,3.3599975585937614,27.8
2019-03-24,2019-03-30,-2.4,2.0200012207031137,-8.6
2019-03-31,2019-04-06,2.0,3.020001220703125,15.2
2019-04-07,2019-04-13,1.0,0.1,1.0
2019-04-14,2019-04-20,1.8,-3.6400024414062386,-1.0
2019-04-21,2019-04-27,-24.2,-3.6199951171875115,4.4
2019-04-28,2019-05-04,10.8,-5.9,-14.4
2019-05-05,2019-05-11,26.0,-1.120001220703125,3.4
2019-05-12,2019-05-18,-3.4,-1.579998779296875,-3.2
2019-05-19,2019-05-25,-10.4,-4.24000244140625,-17.8
2019-05-26,2019-06-01,-45.8,-5.740002441406238,6.8
2019-06-02,2019-06-08,22.4,5.740002441406238,3.6
2019-06-09,2019-06-15,-15.0,-3.1400024414062386,8.0
2019-06-16,2019-06-22,0.0,2.9400024414062385,3.4
2019-06-23,2019-06-29,1.4,-7.95999755859375,-2.2
2019-06-30,2019-07-06,-9.6,4.039996337890625,-6.0
2019-07-07,2019-07-13,-9.4,-2.0,-5.2
2019-07-14,2019-07-20,2.4,-2.079998779296875,4.0
2019-07-21,2019-07-27,4.8,-1.979998779296875,-14.8
2019-07-28,2019-08-03,-17.2,-4.420001220703125,-10.6
2019-08-04,2019-08-10,7.4,2.25999755859375,-0.2
2019-08-11,2019-08-17,10.4,-1.7199951171875,-3.4
2019-08-18,2019-08-24,27.8,3.05999755859375,17.4
2019-08-25,2019-08-31,13.4,-1.379998779296875,11.2
2019-09-01,2019-09-07,-7.8,4.379998779296875,-12.6
2019-09-08,2019-09-14,-16.0,0.059997558593761366,8.4
2019-09-15,2019-09-21,15.6,-3.099998474121108,-4.5
2019-09-22,2019-09-28,-11.0,0.760003662109375,5.2
2019-09-29,2019-10-05,0.6666666666666666,6.649993896484375,-6.0
2019-10-06,2019-10-12,19.666666666666668,0.0,8.333333333333334
2019-10-13,2019-10-19,8.0,3.6666666666666665,17.333333333333332
2019-10-20,2019-10-26,-30.8,-4.733337402343731,-7.666666666666667
2019-10-27,2019-11-02,-15.4,-3.5199951171875115,-5.6
2019-11-03,2019-11-09,-4.2,-2.44000244140625,-1.8
2019-11-10,2019-11-16,-3.4,-0.55999755859375,-6.2
2019-11-17,2019-11-23,6.8,-1.920001220703125,2.2
2019-11-24,2019-11-30,-13.0,-2.820001220703125,-21.6
2019-12-01,2019-12-07,-11.0,-1.120001220703125,-1.0
2019-12-08,2019-12-14,-15.0,2.960003662109375,-0.4
2019-12-15,2019-12-21,-4.8,-4.34000244140625,13.0
2019-12-22,2019-12-28,19.8,1.4,-1.4
2019-12-29,2020-01-04,-1.0,8.04000244140625,5.0
2020-01-05,2020-01-11,-8.4,7.919995117187511,7.8
2020-01-12,2020-01-18,-9.4,-3.2599975585937613,-4.2
2020-01-19,2020-01-25,-14.6,0.8599975585937614,2.4
2020-01-26,2020-02-01,-8.2,-0.3199951171875114,-9.8
2020-02-02,2020-02-08,8.2,-6.84000244140625,-17.2
2020-02-09,2020-02-15,28.6,-0.4,14.8
2020-02-16,2020-02-22,-53.8,-0.7,-8.8
2020-02-23,2020-02-29,-33.75,-7.079998779296875,-20.0
2020-03-01,2020-03-07,-84.75,-7.150001525878906,-31.074996948242188
2020-03-08,2020-03-14,-46.85999755859375,-13.325000762939453,-38.67500305175781
2020-03-15,2020-03-21,-5.0800048828125,-8.779998779296875,17.15999755859375
2020-03-22,2020-03-28,65.74000244140625,16.0,35.84000244140625
2020-03-29,2020-04-04,15.666666666666664,-3.4600006103515626,3.4
2020-04-05,2020-04-11,-17.666666666666668,4.0666656494140625,-7.666666666666667
2020-04-12,2020-04-18,22.6,1.3333333333333333,8.0
2020-04-19,2020-04-25,28.0,1.220001220703125,19.8
2020-04-26,2020-05-02,-5.4,3.8333282470703125,12.333333333333334
2020-05-03,2020-05-09,-21.0,-6.27999877929687,-10.2
2020-05-10,2020-05-16,4.6,2.5800018310546817,-15.8
2020-05-17,2020-05-23,-0.25,5.039999389648438,14.0
2020-05-24,2020-05-30,-13.6,-5.974998474121101,-11.5
2020-05-31,2020-06-06,-2.0,1.0799987792968806,2.2
2020-06-07,2020-06-13,-4.0,-0.22499847412110086,-11.75
2020-06-14,2020-06-20,11.8,1.5799987792968806,-22.6
2020-06-21,2020-06-27,-4.0,-1.8600006103515625,9.2
2020-06-28,2020-07-04,-21.8,-4.279999160766602,3.400002288818359
2020-07-05,2020-07-11,70.6,1.5000003814697265,-3.2000022888183595
2020-07-12,2020-07-18,33.8,-0.08000183105468181,45.0
2020-07-19,2020-07-25,0.25,-1.2599975585937613,16.8
