first_day_in_week,last_day_in_week,PTX_main_symb_weekly_mean_diff,PLX.TA_weekly_mean_diff_0.48,SANO1.TA_weekly_mean_diff_0.42
2019-03-10,2019-03-16,0.0,5.0,18.0
2019-03-17,2019-03-23,-0.6599998474121094,27.4,-6.0
2019-03-24,2019-03-30,-1.0200004577636703,-46.0,-2.0
2019-03-31,2019-04-06,0.22000045776367044,-1.8,-102.0
2019-04-07,2019-04-13,-0.040000152587890615,10.0,-16.0
2019-04-14,2019-04-20,-0.24000015258789065,-24.0,-32.0
2019-04-21,2019-04-27,-0.21999969482421874,-1.2,106.0
2019-04-28,2019-05-04,0.11999969482421875,0.8,16.0
2019-05-05,2019-05-11,-0.08000030517578267,-8.8,-8.0
2019-05-12,2019-05-18,0.04000015258789347,-8.6,-52.0
2019-05-19,2019-05-25,0.1400001525878892,3.2,72.0
2019-05-26,2019-06-01,-0.7599998474121101,-3.2,106.0
2019-06-02,2019-06-08,0.0799999237060561,23.8,26.0
2019-06-09,2019-06-15,-0.2400001525878913,-1.8,40.0
2019-06-16,2019-06-22,0.16000022888183524,7.4,92.0
2019-06-23,2019-06-29,0.3199996948242202,8.2,-24.0
2019-06-30,2019-07-06,-0.41999969482422017,1.6,30.0
2019-07-07,2019-07-13,0.039999771118164766,-14.8,18.0
2019-07-14,2019-07-20,-0.5399997711181648,-26.6,36.0
2019-07-21,2019-07-27,0.01999969482422017,-19.2,18.0
2019-07-28,2019-08-03,-1.0199996948242194,-6.8,-12.0
2019-08-04,2019-08-10,-0.2,-60.4,28.0
2019-08-11,2019-08-17,0.3599998474121094,-22.0,68.0
2019-08-18,2019-08-24,-0.1799999237060547,-0.4,4.0
2019-08-25,2019-08-31,0.059999847412109376,-25.8,-22.0
2019-09-01,2019-09-07,-0.03999977111816407,4.6,6.0
2019-09-08,2019-09-14,-0.5750002861022949,8.0,-42.0
2019-09-15,2019-09-21,-0.07999992370605469,-10.5,-22.5
2019-09-22,2019-09-28,-0.19999980926513672,2.0,20.0
2019-09-29,2019-10-05,0.2999998728434245,-12.5,185.0
2019-10-06,2019-10-12,0.09999974568684897,-10.0,196.66666666666666
2019-10-13,2019-10-19,-0.2666664123535156,-19.0,110.0
2019-10-20,2019-10-26,0.07999992370605469,59.666666666666664,63.333333333333336
2019-10-27,2019-11-02,1.0,3.8,-20.0
2019-11-03,2019-11-09,-0.3,-14.0,-98.0
2019-11-10,2019-11-16,-0.039999771118164766,-17.2,80.0
2019-11-17,2019-11-23,-0.14000015258788992,20.0,30.0
2019-11-24,2019-11-30,-0.3,44.4,170.0
2019-12-01,2019-12-07,-0.3,8.2,112.0
2019-12-08,2019-12-14,0.12000007629394532,0.6,-100.0
2019-12-15,2019-12-21,-0.040000152587890615,-30.2,-174.0
2019-12-22,2019-12-28,0.040000152587890615,-17.6199951171875,-86.0
2019-12-29,2020-01-04,-0.12000007629394532,83.0199951171875,80.0
2020-01-05,2020-01-11,0.2799999237060547,59.4,130.0
2020-01-12,2020-01-18,0.12000007629394532,-48.4,-12.0
2020-01-19,2020-01-25,0.1799999237060547,10.2,56.0
2020-01-26,2020-02-01,0.0,-24.0,-144.0
2020-02-02,2020-02-08,0.2799999237060554,10.4,-78.0
2020-02-09,2020-02-15,0.0,-16.4,-30.0
2020-02-16,2020-02-22,-0.3599998474121101,41.8,180.0
2020-02-23,2020-02-29,-0.4250001907348633,-46.0,-360.0
2020-03-01,2020-03-07,-1.5999999046325684,-9.5,102.5
2020-03-08,2020-03-14,-0.4,-43.0,-690.0
2020-03-15,2020-03-21,-0.13999996185302735,-28.55999755859375,40.0
2020-03-22,2020-03-28,0.3399999618530273,13.75999755859375,214.0
2020-03-29,2020-04-04,0.16666666666666666,-19.6,236.0
2020-04-05,2020-04-11,-0.4333330790201823,31.900004069010418,176.66666666666666
2020-04-12,2020-04-18,18.77999992370605,129.0999959309896,643.3333333333334
2020-04-19,2020-04-25,1.6666666666666667,0.8,446.0
2020-04-26,2020-05-02,1.0800003051757812,38.0,-26.666666666666668
2020-05-03,2020-05-09,1.1399993896484375,-55.6,-294.0
2020-05-10,2020-05-16,-5.289959716796875,-19.4,-78.0
2020-05-17,2020-05-23,-2.5974750518798833,2.2,270.0
2020-05-24,2020-05-30,-4.152059936523438,32.5,-5.0
2020-05-31,2020-06-06,0.350000381469723,18.0,-12.0
2020-06-07,2020-06-13,-0.9400001525878878,-4.0,5.0
2020-06-14,2020-06-20,0.15999984741210938,18.6,-8.0
2020-06-21,2020-06-27,0.040000152587890615,-1.0,-270.0
2020-06-28,2020-07-04,0.3,-6.800005340576126,-63.999877929688225
2020-07-05,2020-07-11,-0.8599998474121108,-11.399994659423873,97.99987792968822
2020-07-12,2020-07-18,-0.22000045776367044,-4.0,-56.0
2020-07-19,2020-07-25,0.4000005722045881,11.4,22.0
