first_day_in_week,last_day_in_week,PTNR_main_symb_weekly_mean_diff,DNA.TA_weekly_mean_diff_0.38
2019-03-10,2019-03-16,-32.8,-1.320001220703125
2019-03-17,2019-03-23,0.0,-1.079998779296875
2019-03-24,2019-03-30,18.8,0.1199981689453125
2019-03-31,2019-04-06,20.6,2.2800018310546877
2019-04-07,2019-04-13,0.4,-0.24000244140625
2019-04-14,2019-04-20,17.0,-1.8
2019-04-21,2019-04-27,-11.6,-1.3199981689453124
2019-04-28,2019-05-04,19.2,0.0
2019-05-05,2019-05-11,19.6,-1.2
2019-05-12,2019-05-18,-10.0,-0.9600006103515625
2019-05-19,2019-05-25,-20.2,2.0399993896484374
2019-05-26,2019-06-01,-23.2,-3.5999999999999943
2019-06-02,2019-06-08,17.8,0.9600006103515568
2019-06-09,2019-06-15,-16.2,0.2399993896484432
2019-06-16,2019-06-22,-4.4,-0.36000061035156816
2019-06-23,2019-06-29,1.0,-0.23999938964843182
2019-06-30,2019-07-06,14.2,2.5200012207031195
2019-07-07,2019-07-13,9.4,-3.0000000000000058
2019-07-14,2019-07-20,-29.6,0.7199981689453182
2019-07-21,2019-07-27,-12.4,-0.7199981689453182
2019-07-28,2019-08-03,-9.8,-0.12000122070311363
2019-08-04,2019-08-10,6.8,-1.6799987792968836
2019-08-11,2019-08-17,11.4,-0.9600006103515597
2019-08-18,2019-08-24,8.2,0.0
2019-08-25,2019-08-31,0.8,-0.8399993896484403
2019-09-01,2019-09-07,-2.2,-0.7200012207031193
2019-09-08,2019-09-14,-1.0,0.2400009155273409
2019-09-15,2019-09-21,37.0,0.600000381469723
2019-09-22,2019-09-28,-43.0,-1.9200012207031194
2019-09-29,2019-10-05,2.6666666666666665,-1.799999237060554
2019-10-06,2019-10-12,-5.666666666666668,-2.200065612792964
2019-10-13,2019-10-19,-8.0,0.0
2019-10-20,2019-10-26,2.4,-1.0
2019-10-27,2019-11-02,-21.8,-1.4400009155273465
2019-11-03,2019-11-09,12.6,-0.9599990844726562
2019-11-10,2019-11-16,9.0,-2.919960021972659
2019-11-17,2019-11-23,6.6,-0.520000457763669
2019-11-24,2019-11-30,-24.0,-0.7199996948242188
2019-12-01,2019-12-07,5.2,0.25999984741210935
2019-12-08,2019-12-14,-7.6,0.28000030517577984
2019-12-15,2019-12-21,-2.2,1.1399993896484417
2019-12-22,2019-12-28,-1.4,-0.7599990844726591
2019-12-29,2020-01-04,-13.0,0.4399993896484375
2020-01-05,2020-01-11,12.4,-0.0600006103515625
2020-01-12,2020-01-18,2.8,1.3600006103515625
2020-01-19,2020-01-25,11.8,-0.11999969482421875
2020-01-26,2020-02-01,31.6,2.4
2020-02-02,2020-02-08,-23.6,-0.5800003051757813
2020-02-09,2020-02-15,29.2,0.9800003051757813
2020-02-16,2020-02-22,-5.4,-0.5199996948242187
2020-02-23,2020-02-29,-38.25,-1.6600006103515625
2020-03-01,2020-03-07,-69.75,-2.825000762939453
2020-03-08,2020-03-14,0.6,-4.324998855590822
2020-03-15,2020-03-21,21.6,1.5799995422363295
2020-03-22,2020-03-28,-23.8,-0.6199996948242188
2020-03-29,2020-04-04,56.66666666666666,1.179999542236328
2020-04-05,2020-04-11,0.3333333333333333,1.0
2020-04-12,2020-04-18,-5.6,0.30000050862630206
2020-04-19,2020-04-25,41.0,0.7
2020-04-26,2020-05-02,-1.6,2.3333333333333335
2020-05-03,2020-05-09,-3.4,0.6600006103515625
2020-05-10,2020-05-16,-4.6,0.5399993896484375
2020-05-17,2020-05-23,-6.0,-0.31999969482421875
2020-05-24,2020-05-30,-24.4,-2.8250007629394496
2020-05-31,2020-06-06,34.75,-0.43999938964844176
2020-06-07,2020-06-13,16.0,0.47500038146972834
2020-06-14,2020-06-20,-14.6,0.479998779296875
2020-06-21,2020-06-27,6.999997711181639,-2.399999237060547
2020-06-28,2020-07-04,-35.59999771118164,-0.8400004386901841
2020-07-05,2020-07-11,18.2,0.5000002861022935
2020-07-12,2020-07-18,-21.4,0.31999969482421875
2020-07-19,2020-07-25,18.5,2.1000000000000028
