first_day_in_week,last_day_in_week,PSTI_main_symb_weekly_mean_diff,PLSN.TA_weekly_mean_diff_0.36,ARYT.TA_weekly_mean_diff_0.38,AMAN.TA_weekly_mean_diff_0.4,CEL.TA_weekly_mean_diff_0.4,CAST.TA_weekly_mean_diff_0.42,ITMR.TA_weekly_mean_diff_0.43,ASHO.TA_weekly_mean_diff_0.46,DLEA.TA_weekly_mean_diff_0.48,MDTR.TA_weekly_mean_diff_0.52
2019-10-27,2019-11-02,-2.0,76.0,-0.7,-14.0,1.74000244140625,7.8,-0.28000030517578123,-0.15999755859375,5.0,8.619995117187523
2019-11-03,2019-11-09,-10.4,-112.0,1.4199981689453125,4.4,-18.04000244140625,11.2,1.9,5.64000244140625,-21.8,4.6
2019-11-10,2019-11-16,-2.8,-118.0,-0.0600006103515625,-23.0,10.9,-44.4,1.1600006103515597,-5.2199951171875,0.0,1.6
2019-11-17,2019-11-23,9.2,-58.0,0.3,17.0,26.9,-10.2,0.2199996948242216,-3.8800048828125,22.2,13.2
2019-11-24,2019-11-30,28.6,130.0,0.7,12.8,-2.05999755859375,-87.2,0.4800003051757784,6.0800048828125,48.6,1.4
2019-12-01,2019-12-07,-21.0,274.0,-1.5,-38.0,-6.819995117187522,-132.8,1.2199996948242215,-6.0800048828125,-1.8,-9.8
2019-12-08,2019-12-14,31.8,-120.0,0.6800018310546875,41.8,19.319995117187524,-32.0,1.4400009155273437,-1.54000244140625,87.4,-0.6
2019-12-15,2019-12-21,2.6,-132.0,-0.2600006103515625,-30.2,-19.8,-14.4,-0.36000061035156816,1.0800048828125,-13.8,-0.2
2019-12-22,2019-12-28,-3.0,32.0,-0.979998779296875,-16.2,17.2,-49.8,2.8600006103515683,2.8,23.0,0.2
2019-12-29,2020-01-04,-0.4,-80.0,0.779998779296875,26.8,2.4,61.0,0.6,-0.82000732421875,48.8,-3.4
2020-01-05,2020-01-11,7.4,-18.0,0.320001220703125,18.4,-10.64000244140625,-10.6,-0.24000244140625,1.74000244140625,-18.0,12.0
2020-01-12,2020-01-18,-16.8,-28.0,0.5399993896484375,10.6,20.64000244140625,1.8,5.8,-1.17999267578125,-15.4,-1.6
2020-01-19,2020-01-25,-5.6,-18.0,-0.6600006103515625,9.2,13.0,-10.0,-0.5199981689453125,1.6199951171875,-2.0,-5.0
2020-01-26,2020-02-01,-4.6,190.0,-0.279998779296875,-20.6,18.0,-22.2,-1.2800018310546875,-3.6800048828125,-18.2,-0.4
2020-02-02,2020-02-08,13.0,94.0,-1.24000244140625,-21.8,23.4,-34.2,2.920001220703125,-1.5199951171875,3.6,4.6
2020-02-09,2020-02-15,42.2,-76.0,-0.1,5.8,9.6,0.4,2.9799987792968805,-0.15999755859375,-9.2,20.6
2020-02-16,2020-02-22,-47.6,-44.0,0.920001220703125,15.8,-1.4,-34.8,-1.8199981689453182,-2.85999755859375,-11.0,-10.4
2020-02-23,2020-02-29,-18.5,-190.0,-1.0399993896484374,-51.2,-28.0,-22.8,-3.0800018310546875,-12.52000732421875,-20.4,-22.4
2020-03-01,2020-03-07,-13.5,-297.5,-2.750000000000007,-14.5,-46.75,-76.75,-2.1999969482421875,-8.324996948242188,-10.25,-14.975006103515597
2020-03-08,2020-03-14,6.2,-522.5,-6.800001144409173,-88.0,-73.75,-179.0,-8.67500114440918,-36.42500305175781,-95.5,-42.5249938964844
2020-03-15,2020-03-21,0.4,-503.0,-0.25999908447265907,-39.6,22.0,-12.4,-4.119999694824221,-20.45999755859375,-37.2,-11.44000244140625
2020-03-22,2020-03-28,6.4,461.0,0.6799987792968807,49.8,6.24000244140625,127.8,4.5399993896484405,7.540002441406227,26.0,-12.55999755859375
2020-03-29,2020-04-04,66.66666666666667,58.0,1.3,6.0,26.15999755859375,28.4,3.579998779296875,25.759997558593774,7.8,-4.7800048828125
2020-04-05,2020-04-11,661.6666666666666,520.0,5.533335367838528,56.666666666666664,82.33333333333333,144.33333333333334,9.0,53.633341471354164,108.66666666666667,52.9666748046875
2020-04-12,2020-04-18,-12.0,-93.33333333333333,-0.8000030517578031,7.0,-46.333333333333336,42.333333333333336,-6.166666666666667,60.366658528645836,-37.666666666666664,-4.9666748046875
2020-04-19,2020-04-25,-9.333333333333334,80.0,-1.6599990844726562,3.0,5.4,-47.0,2.94000244140625,36.9,29.4,-0.639990234375
2020-04-26,2020-05-02,-58.0,-150.0,2.6999994913737075,-26.666666666666668,30.0,20.0,1.0333302815755208,-22.333333333333332,14.666666666666666,12.699991861979166
2020-05-03,2020-05-09,115.6,-204.0,0.060000610351556814,-1.6,-14.2,-45.4,0.8399993896484375,0.2,-1.6,-4.15999755859375
2020-05-10,2020-05-16,-110.0,-148.0,-0.16000061035155683,-17.0,-5.4,-96.4,-2.5,-7.6,-43.6,-21.04000244140625
2020-05-17,2020-05-23,-54.0,66.0,-0.37999877929688636,15.0,-10.6,14.2,2.3,15.6,25.4,10.04000244140625
2020-05-24,2020-05-30,-7.6,10.0,-0.6000022888183523,-2.25,-9.75,-21.75,2.200000762939453,-5.5,18.75,-9.5
2020-05-31,2020-06-06,-76.0,282.0,0.2800018310546818,-20.2,5.2,-9.2,-1.8399993896484375,-6.0,18.4,-2.64000244140625
2020-06-07,2020-06-13,-4.8,157.5,-0.15000152587889204,-1.75,32.0,-9.75,5.075000762939453,-4.0,-16.25,-8.25
2020-06-14,2020-06-20,119.2,-114.0,-1.439999389648443,-3.8,13.6,3.6,11.179998779296875,16.6,18.2,10.75999755859375
2020-06-21,2020-06-27,-2.0,-140.0,1.779998779296875,-6.8,8.0,-9.8,-4.6399993896484375,-13.6,-83.8,4.0800048828125
2020-06-28,2020-07-04,-10.6,-18.000061035155888,0.660001277923584,-5.000001525878906,6.400001525878906,-22.999989318847746,2.4999994277954043,0.20000457763671875,16.2,5.9599967956542965
2020-07-05,2020-07-11,13.2,-123.99993896484412,-0.5799994468689021,-4.799998474121094,-15.000001525878906,-27.400010681152253,5.3000005722045955,18.599995422363282,-29.6,-20.740001678466797
2020-07-12,2020-07-18,16.2,160.0,-0.4800018310546818,11.0,19.6,-16.2,-0.3,-5.4,21.6,-3.04000244140625
2020-07-19,2020-07-25,-82.5,104.0,-0.49999847412109377,-2.2,-18.8,-19.6,0.6799987792968863,-6.6,-10.2,-0.85999755859375
