first_day_in_week,last_day_in_week,ITMR_main_symb_weekly_mean_diff,BIOV.TA_weekly_mean_diff_0.47
2019-03-10,2019-03-16,2.4399993896484435,1.839996337890625
2019-03-17,2019-03-23,-2.6399993896484437,0.820001220703125
2019-03-24,2019-03-30,-1.440000915527338,1.64000244140625
2019-03-31,2019-04-06,-0.1399993896484375,0.6
2019-04-07,2019-04-13,-0.9,0.879998779296875
2019-04-14,2019-04-20,-0.2199996948242216,-0.479998779296875
2019-04-21,2019-04-27,0.33999938964844034,-0.320001220703125
2019-04-28,2019-05-04,-0.9399993896484404,1.4
2019-05-05,2019-05-11,-1.4,-0.25999755859375
2019-05-12,2019-05-18,-2.3,-1.160003662109375
2019-05-19,2019-05-25,0.6,0.779998779296875
2019-05-26,2019-06-01,5.0399993896484405,-0.879998779296875
2019-06-02,2019-06-08,-1.7,0.379998779296875
2019-06-09,2019-06-15,0.6,-2.1
2019-06-16,2019-06-22,-0.5800003051757813,-1.7
2019-06-23,2019-06-29,-0.7199996948242188,2.920001220703125
2019-06-30,2019-07-06,-1.4600006103515597,-3.420001220703125
2019-07-07,2019-07-13,0.1400009155273409,-2.3
2019-07-14,2019-07-20,-0.8199996948242216,-4.139996337890636
2019-07-21,2019-07-27,0.8399993896484403,1.4599975585937728
2019-07-28,2019-08-03,1.1199996948242188,2.9400024414062385
2019-08-04,2019-08-10,-1.5800003051757785,-3.560003662109375
2019-08-11,2019-08-17,0.26000061035155964,-0.05999755859375
2019-08-18,2019-08-24,-0.9800003051757812,-0.9
2019-08-25,2019-08-31,-0.21999969482421874,1.9200012207031136
2019-09-01,2019-09-07,1.1399993896484404,-0.32000122070311365
2019-09-08,2019-09-14,-0.75,0.4799987792968864
2019-09-15,2019-09-21,-0.07999877929688068,0.125
2019-09-22,2019-09-28,-1.450000762939446,-1.5200012207031364
2019-09-29,2019-10-05,-0.1333338419596354,-3.149993896484375
2019-10-06,2019-10-12,-0.16666666666666666,3.6666666666666665
2019-10-13,2019-10-19,-0.5333328247070312,3.466664632161477
2019-10-20,2019-10-26,-0.28000030517578123,-2.466664632161477
2019-10-27,2019-11-02,1.9,-1.25999755859375
2019-11-03,2019-11-09,1.1600006103515597,-1.74000244140625
2019-11-10,2019-11-16,0.2199996948242216,-1.2399993896484376
2019-11-17,2019-11-23,0.4800003051757784,2.0800018310546875
2019-11-24,2019-11-30,1.2199996948242215,6.439996337890625
2019-12-01,2019-12-07,1.4400009155273437,-1.279998779296875
2019-12-08,2019-12-14,-0.36000061035156816,1.04000244140625
2019-12-15,2019-12-21,2.8600006103515683,1.239996337890625
2019-12-22,2019-12-28,0.6,1.660003662109375
2019-12-29,2020-01-04,-0.24000244140625,-1.8800048828125
2020-01-05,2020-01-11,5.8,0.64000244140625
2020-01-12,2020-01-18,-0.5199981689453125,1.3
2020-01-19,2020-01-25,-1.2800018310546877,-1.3
2020-01-26,2020-02-01,2.920001220703125,-1.75999755859375
2020-02-02,2020-02-08,2.9799987792968805,-1.820001220703125
2020-02-09,2020-02-15,-1.8199981689453184,-0.34000244140623864
2020-02-16,2020-02-22,-3.0800018310546875,0.4999999999999886
2020-02-23,2020-02-29,-2.1999969482421875,0.560003662109375
2020-03-01,2020-03-07,-8.67500114440918,-8.925003051757812
2020-03-08,2020-03-14,-4.119999694824221,-16.549999237060547
2020-03-15,2020-03-21,4.5399993896484405,-4.380001831054687
2020-03-22,2020-03-28,3.579998779296875,5.0800018310546875
2020-03-29,2020-04-04,9.0,11.539999389648438
2020-04-05,2020-04-11,-6.166666666666668,-4.799997965494801
2020-04-12,2020-04-18,2.94000244140625,4.266662597656269
2020-04-19,2020-04-25,1.0333302815755208,-1.9199981689453183
2020-04-26,2020-05-02,0.8399993896484375,3.899998982747396
2020-05-03,2020-05-09,-2.5,-2.2
2020-05-10,2020-05-16,2.3,-0.6799987792968807
2020-05-17,2020-05-23,2.200000762939453,0.019998168945318185
2020-05-24,2020-05-30,-1.8399993896484372,-2.424999237060547
2020-05-31,2020-06-06,5.075000762939453,0.4399993896484375
2020-06-07,2020-06-13,11.179998779296877,1.4500007629394531
2020-06-14,2020-06-20,-4.6399993896484375,-1.1399993896484375
2020-06-21,2020-06-27,2.4999994277954043,2.079998779296875
2020-06-28,2020-07-04,5.300000572204596,-0.2200000762939453
2020-07-05,2020-07-11,-0.3,0.02000007629394531
2020-07-12,2020-07-18,0.6799987792968863,7.060000610351563
2020-07-19,2020-07-25,4.59999847412108,2.120001220703114
