first_day_in_week,last_day_in_week,UNCR_main_symb_weekly_mean_diff,DRSL.TA_weekly_mean_diff_0.6,IES.TA_weekly_mean_diff_0.61,ASGR.TA_weekly_mean_diff_0.45_INT_SHOM.TA_weekly_mean_diff_0.4_corr_0.72,MLD.TA_weekly_mean_diff_0.52_INT_IGLD.TA_weekly_mean_diff_0.48_corr_0.77,ALRPR.TA_weekly_mean_diff_0.43_INT_CLIS.TA_weekly_mean_diff_0.4_corr_0.82,ALRPR.TA_weekly_mean_diff_0.43_INT_ROTS.TA_weekly_mean_diff_0.56_corr_0.78,SANO1.TA_weekly_mean_diff_0.42
2019-03-31,2019-04-06,-159.5,-10.4,-134.0,12.042818896472454,3483.0,405.59999999999997,201.60000000000002,-102.0
2019-12-22,2019-12-28,-100.0,0.2,-92.0,12.806390039026736,-10.020000000000001,-33.6,621.6,-86.0
2019-12-29,2020-01-04,-0.4,6.8,76.0,65.47364877924323,15.36,900.0,1752.0,80.0
2020-01-05,2020-01-11,-0.2,-7.8,-234.0,-4.140112304687504,8.287992095947265,-3678.3999999999996,1496.0,130.0
2020-02-23,2020-02-29,-77.5,-17.2,-616.0,306.81580078125,15.848001079559326,48968.4,27331.2,-360.0
2020-03-01,2020-03-07,-164.0,-27.0,-497.5,974.8451733398251,-2.2624978423118693,145737.5,104130.0,102.5
2020-03-08,2020-03-14,-66.2,-60.8999938964844,-1000.0,1946.0937976837158,98.23125453293319,275072.75,134652.75,-690.0
2020-03-15,2020-03-21,-42.4,-17.560009765624955,-340.0,27.947587011717257,13.224000663757327,-1388.7600000000002,912.8000000000001,40.0
2020-03-22,2020-03-28,45.8,26.480004882812477,434.0,369.2320458984375,-5.804398344611991,13564.800000000001,23361.600000000002,214.0
2020-03-29,2020-04-04,77.33333333333333,11.6,546.0,-122.36004638671875,0.1064004159928279,15251.759999999998,4347.12,236.0
2020-04-05,2020-04-11,97.0,35.0,476.6666666666667,172.45317843970327,-0.5277777777777772,-13125.333333333334,-7155.555555555557,176.66666666666666
2020-04-12,2020-04-18,45.2,21.0,-206.66666666666666,-125.41656494140625,254.82114723364552,-190.0,-11590.0,643.3333333333334
2020-04-19,2020-04-25,-6.666666666666668,-11.2,122.0,-73.21922529295087,-17.836007289886478,673.32,550.24,446.0
2020-04-26,2020-05-02,-41.0,-4.0,260.0,554.4240846083396,-6.233337296379937,36720.0,20412.0,-26.666666666666668
2020-05-03,2020-05-09,-36.4,-25.6,40.0,70.07196289062499,-0.0,-266.28,10422.96,-294.0
2020-05-10,2020-05-16,39.0,1.0,58.0,123.84951230466365,2.68800064086914,17383.04,1808.6399999999999,-78.0
2020-05-17,2020-05-23,35.75,4.2,160.0,36.983898925781254,0.7920001888275148,-1807.0800000000002,-3581.6000000000004,270.0
2020-05-24,2020-05-30,-36.2,-9.0,-270.0,53.75051979068667,4.537499278783798,-0.0,-0.0,-5.0
2020-05-31,2020-06-06,-32.25,4.0,-102.0,3.69598388671875,-6.591999607086182,400.0,-70.4,-12.0
2020-06-07,2020-06-13,-19.8,13.0,-85.0,114.6736540985297,5.274998113512993,9334.375,453.125,5.0
2020-06-14,2020-06-20,15.2,-1.8,-144.0,3.816038818359375,0.0,8412.480000000001,3091.2000000000003,-8.0
2020-06-21,2020-06-27,18.800015258789067,-17.8,-220.0,69.72238295897829,0.9000005722045898,9320.880000000001,-2078.6,-270.0
2020-06-28,2020-07-04,-39.40001525878906,-10.600001525878884,35.99993896484375,-48.7599715118375,-25.984009431123408,-1140.4778381357964,1253.117730713915,-63.999877929688225
2020-07-05,2020-07-11,-40.6,3.4000015258788836,-349.99993896484375,90.85446320496645,5.183991328418055,967.9226483144072,427.28164856059476,97.99987792968822
2020-07-12,2020-07-18,8.2,23.6,60.0,16.526493310555818,-0.8959991455078125,-1.92,228.48000000000002,-56.0
2020-07-19,2020-07-25,-5.5,-14.2,-16.0,-29.203156445324424,-0.0,10.4,33.800000000000004,22.0
