first_day_in_week,last_day_in_week,GNRS_main_symb_weekly_mean_diff,UNON.TA_weekly_mean_diff_0.35,SHGR.TA_weekly_mean_diff_0.38,PTBL.TA_weekly_mean_diff_0.39,BIOV.TA_weekly_mean_diff_0.4,RMN.TA_weekly_mean_diff_0.4,AYAL.TA_weekly_mean_diff_0.41,IES.TA_weekly_mean_diff_0.41
2019-09-22,2019-09-28,-0.5499992370605469,-2.2,5.2,154.83984375,-1.5200012207031364,4.75999755859375,15.6,40.0
2019-09-29,2019-10-05,0.6666666666666666,-1.5,-6.0,-55.298828125,-3.149993896484375,32.5,-11.0,300.0
2019-10-06,2019-10-12,0.0666656494140625,2.6666666666666665,8.333333333333334,227.33333333333334,3.6666666666666665,-7.666666666666667,0.6666666666666666,66.66666666666667
2019-10-13,2019-10-19,0.16666666666666666,13.666666666666666,17.333333333333332,316.4322916666667,3.466664632161477,-9.0,19.666666666666668,250.0
2019-10-20,2019-10-26,-0.08000030517577841,34.666666666666664,-7.666666666666667,98.30078125,-2.466664632161477,-13.23333740234375,8.0,96.66666666666667
2019-10-27,2019-11-02,-0.4399993896484403,-7.4,-5.6,202.7796875,-1.25999755859375,-6.8199951171875,-30.8,-164.0
2019-11-03,2019-11-09,-0.4,-2.4,-1.8,-346.53984375,-1.74000244140625,-7.34000244140625,-15.4,-24.0
2019-11-10,2019-11-16,-0.08000030517578123,-0.2,-6.2,-51.6203125,-1.2399993896484376,4.080004882812477,-4.2,-380.0
2019-11-17,2019-11-23,0.5800003051757813,3.2,2.2,108.76015625,2.0800018310546875,0.3199951171875227,-3.4,278.0
2019-11-24,2019-11-30,-0.5,66.4,-21.6,40.53984375,6.439996337890625,-17.7800048828125,6.8,-164.0
2019-12-01,2019-12-07,0.08000030517578123,6.0,-1.0,218.6203125,-1.279998779296875,-2.8199951171875,-13.0,-298.0
2019-12-08,2019-12-14,-0.31999969482421875,39.6,-0.4,146.0,1.04000244140625,7.8,-11.0,356.0
2019-12-15,2019-12-21,0.379998779296875,-7.2,13.0,-228.0,1.239996337890625,-11.3,-15.0,-32.0
2019-12-22,2019-12-28,-0.15999908447265626,13.6,-1.4,56.0,1.660003662109375,-10.5,-4.8,-92.0
2019-12-29,2020-01-04,0.1399993896484375,-5.8,5.0,494.0,-1.8800048828125,20.34000244140625,19.8,76.0
2020-01-05,2020-01-11,0.2,2.8,7.8,-164.0,0.64000244140625,6.27999267578125,-1.0,-234.0
2020-01-12,2020-01-18,0.3400009155273409,-1.8,-4.2,-12.0,1.3,-11.65999755859375,-8.4,86.0
2020-01-19,2020-01-25,0.7,-0.4,2.4,88.0,-1.3,-7.05999755859375,-9.4,-26.0
2020-01-26,2020-02-01,0.05999908447265909,-47.8,-9.8,50.0,-1.75999755859375,-6.35999755859375,-14.6,-486.0
2020-02-02,2020-02-08,-0.3,3.2,-17.2,128.0,-1.820001220703125,-9.44000244140625,-8.2,-96.0
2020-02-09,2020-02-15,0.0,7.6,14.8,92.0,-0.34000244140623864,3.94000244140625,8.2,214.0
2020-02-16,2020-02-22,-0.3800003051757784,-9.8,-8.8,94.0,0.4999999999999886,-2.94000244140625,28.6,112.0
2020-02-23,2020-02-29,-1.2500000000000036,-29.4,-20.0,-682.0,0.560003662109375,-10.3199951171875,-53.8,-616.0
2020-03-01,2020-03-07,-2.424999237060547,-38.0,-31.074996948242188,-752.5,-8.925003051757812,-1.350006103515625,-33.75,-497.5
2020-03-08,2020-03-14,-1.0800003051757812,-93.5,-38.67500305175781,-2412.5,-16.549999237060547,-30.699996948242216,-84.75,-1000.0
2020-03-15,2020-03-21,-0.7999999999999972,-55.6,17.15999755859375,-1184.0,-4.380001831054687,-17.040002441406227,-46.85999755859375,-340.0
2020-03-22,2020-03-28,-0.7199996948242215,0.2,35.84000244140625,160.0,5.0800018310546875,4.6,-5.0800048828125,434.0
2020-03-29,2020-04-04,3.433334350585937,44.2,3.4,962.0,11.539999389648438,21.8199951171875,65.74000244140625,546.0
2020-04-05,2020-04-11,0.26666514078776044,16.666666666666668,-7.666666666666667,833.3333333333334,-4.799997965494801,5.800008138020833,15.666666666666666,476.6666666666667
2020-04-12,2020-04-18,-0.3800003051757813,5.333333333333333,8.0,-560.0,4.266662597656269,1.3000081380208333,-17.666666666666668,-206.66666666666666
2020-04-19,2020-04-25,2.9666671752929688,22.0,19.8,166.0,-1.9199981689453183,1.6,22.6,122.0
2020-04-26,2020-05-02,0.7800003051757812,45.333333333333336,12.333333333333334,350.0,3.899998982747396,14.5333251953125,28.0,260.0
2020-05-03,2020-05-09,-1.5800003051757812,-9.4,-10.2,-154.0,-2.2,-3.7199951171875,-5.4,40.0
2020-05-10,2020-05-16,0.8,-22.8,-15.8,-596.0,-0.6799987792968807,-1.4800048828125,-21.0,58.0
2020-05-17,2020-05-23,0.5750007629394531,11.8,14.0,38.0,0.019998168945318185,-1.2,4.6,160.0
2020-05-24,2020-05-30,-0.8400009155273438,10.75,-11.5,320.0,-2.424999237060547,22.550003051757812,-0.25,-270.0
2020-05-31,2020-06-06,0.4750003814697266,6.6,2.2,-314.0,0.4399993896484375,-8.44000244140625,-13.6,-102.0
2020-06-07,2020-06-13,1.0800003051757812,40.5,-11.75,352.5,1.4500007629394531,2.9250030517578125,-2.0,-85.0
2020-06-14,2020-06-20,-2.5,-11.2,-22.6,-384.0,-1.1399993896484375,-7.3800048828125,-4.0,-144.0
2020-06-21,2020-06-27,0.2199995517730713,-6.0,9.2,50.0,2.079998779296875,-2.3,11.8,-220.0
2020-06-28,2020-07-04,-0.8800001621246338,21.00000915527344,3.400002288818359,-130.00012207031176,-0.2200000762939453,-9.799994277954102,-4.0,35.99993896484375
2020-07-05,2020-07-11,0.120001220703125,-17.600009155273437,-3.2000022888183595,-197.99987792968824,0.02000007629394531,-3.8200008392333986,-21.8,-349.99993896484375
2020-07-12,2020-07-18,2.139999389648437,0.4,45.0,278.0,7.060000610351563,4.4199951171875,70.6,60.0
2020-07-19,2020-07-25,-0.6749992370605469,-4.2,16.8,664.0,2.120001220703114,2.65999755859375,33.8,-16.0
