first_day_in_week,last_day_in_week,GNRS_main_symb_weekly_mean_diff,UNON.TA_weekly_mean_diff_0.35,SHGR.TA_weekly_mean_diff_0.38,PTBL.TA_weekly_mean_diff_0.39,BIOV.TA_weekly_mean_diff_0.4,RMN.TA_weekly_mean_diff_0.4,AYAL.TA_weekly_mean_diff_0.41,IES.TA_weekly_mean_diff_0.41
2019-03-10,2019-03-16,0.2,8.0,4.6,14.740234375,1.839996337890625,-3.8,-3.8,-36.0
2019-03-17,2019-03-23,0.6199996948242188,-6.4,27.8,169.580078125,0.820001220703125,-3.0,-18.4,-2.0
2019-03-24,2019-03-30,-0.4399993896484375,-14.0,-8.6,-204.6,1.64000244140625,4.8,-6.0,16.0
2019-03-31,2019-04-06,1.3599990844726593,-5.6,15.2,-270.96015625,0.6,3.2,-2.4,-134.0
2019-04-07,2019-04-13,1.5600006103515596,9.0,1.0,409.2,0.879998779296875,18.6,2.0,104.0
2019-04-14,2019-04-20,0.08000030517578123,-0.6,-1.0,-147.46015625,-0.479998779296875,-11.6,1.0,-2.0
2019-04-21,2019-04-27,-0.5800003051757813,0.8,4.4,300.46015625,-0.320001220703125,-6.0,1.8,-44.0
2019-04-28,2019-05-04,-0.4,4.0,-14.4,-287.56015625,1.4,-10.2,-24.2,-70.0
2019-05-05,2019-05-11,0.03999938964844034,-3.2,3.4,125.340234375,-0.25999755859375,3.6,10.8,84.0
2019-05-12,2019-05-18,-0.4799987792968807,-4.8,-3.2,199.080078125,-1.160003662109375,-8.2,26.0,78.0
2019-05-19,2019-05-25,-1.1400009155273407,-3.4,-17.8,169.5796875,0.779998779296875,-7.6,-3.4,-90.0
2019-05-26,2019-06-01,-1.8,-5.0,6.8,-258.059765625,-0.879998779296875,-4.0,-10.4,-8.0
2019-06-02,2019-06-08,1.2800003051757811,-2.8,3.6,516.119921875,0.379998779296875,10.0,-45.8,66.0
2019-06-09,2019-06-15,0.06000061035155966,1.4,8.0,38.719921875,-2.1,-4.8,22.4,84.0
2019-06-16,2019-06-22,-0.26000061035155964,-2.8,3.4,357.600390625,-1.7,-6.4,-15.0,106.0
2019-06-23,2019-06-29,1.9199996948242188,8.0,-2.2,-429.500390625,2.920001220703125,-1.8,0.0,252.0
2019-06-30,2019-07-06,-0.21999969482421874,-1.0,-6.0,-105.059765625,-3.420001220703125,-1.3199951171875228,1.4,192.0
2019-07-07,2019-07-13,-1.4800003051757813,0.0,-5.2,-282.0203125,-2.3,-1.1600097656249546,-9.6,-22.0
2019-07-14,2019-07-20,0.1,-3.6,4.0,-160.359765625,-4.139996337890636,-2.5799926757812726,-9.4,-80.0
2019-07-21,2019-07-27,-1.4,-3.0,-14.8,1.83984375,1.4599975585937728,-4.720007324218727,2.4,-12.0
2019-07-28,2019-08-03,0.3800003051757813,2.6,-10.6,661.740234375,2.9400024414062385,-3.0199951171875226,4.8,458.0
2019-08-04,2019-08-10,-0.21999969482421874,-7.4,-0.2,-440.56015625,-3.560003662109375,-2.2199951171875227,-17.2,72.0
2019-08-11,2019-08-17,1.6199996948242188,-14.8,-3.4,-241.46015625,-0.05999755859375,-3.7,7.4,54.0
2019-08-18,2019-08-24,0.06000061035155966,16.4,17.4,674.640234375,-0.9,0.8799926757812727,10.4,-16.0
2019-08-25,2019-08-31,-0.8200012207031193,-13.4,11.2,-278.340234375,1.9200012207031136,0.05999755859377274,27.8,-44.0
2019-09-01,2019-09-07,1.1200012207031194,11.8,-12.6,309.68046875,-0.32000122070311365,21.980004882812477,13.4,-92.0
2019-09-08,2019-09-14,-1.6500015258788991,-3.0,8.4,-438.700390625,0.4799987792968864,-9.8,-7.8,-162.0
2019-09-15,2019-09-21,0.16000061035155966,-3.5,-4.5,414.72509765625,0.125,-0.9499969482421875,-16.0,425.0
