first_day_in_week,last_day_in_week,ORA_main_symb_weekly_mean_diff,LAPD.TA_weekly_mean_diff_-0.38,ELWS.TA_weekly_mean_diff_-0.41,DANH.TA_weekly_mean_diff_-0.42
2019-03-10,2019-03-16,-28.0,1.397998046875,-48.2,2.2
2019-03-17,2019-03-23,20.0,6.5880126953125,25.8,7.2
2019-03-24,2019-03-30,10.0,0.4,46.6,-10.6
2019-03-31,2019-04-06,8.0,18.7639892578125,32.6,-5.8
2019-04-07,2019-04-13,64.0,2.19599609375,139.8,0.0
2019-04-14,2019-04-20,98.0,-4.1919921875,437.4,-0.8
2019-04-21,2019-04-27,-42.0,0.197998046875,101.6,11.0
2019-04-28,2019-05-04,174.0,-10.1800048828125,-217.2,31.8
2019-05-05,2019-05-11,86.0,5.3900146484375,131.2,-4.8
2019-05-12,2019-05-18,-88.0,-1.397998046875,270.4,-29.0
2019-05-19,2019-05-25,-64.0,1.197998046875,-47.8,8.8
2019-05-26,2019-06-01,124.0,0.997998046875,-48.0,-4.8
2019-06-02,2019-06-08,144.0,-24.952001953125,-50.2,6.0
2019-06-09,2019-06-15,-26.0,5.389990234375,65.2,0.6
2019-06-16,2019-06-22,-82.0,0.597998046875,47.4,-13.4
2019-06-23,2019-06-29,64.0,-0.2,-76.0,0.4
2019-06-30,2019-07-06,-38.0,0.6,-62.6,3.4
2019-07-07,2019-07-13,16.0,-10.181982421875,-126.8,-3.6
2019-07-14,2019-07-20,38.0,-1.79599609375,42.6,-0.6
2019-07-21,2019-07-27,158.0,4.989990234375,29.6,2.8
2019-07-28,2019-08-03,176.0,-23.75400390625,-11.4,-4.0
2019-08-04,2019-08-10,264.0,2.793994140625,-78.0,-4.4
2019-08-11,2019-08-17,14.0,1.397998046875,-79.2,-11.0
2019-08-18,2019-08-24,42.0,9.5820068359375,-95.2,-1.6
2019-08-25,2019-08-31,-126.0,9.9800048828125,-98.0,-22.6
2019-09-01,2019-09-07,106.0,-10.3800048828125,-167.6,-14.6
2019-09-08,2019-09-14,40.0,85.8380126953125,265.6,1.8
2019-09-15,2019-09-21,118.0,-60.385009765625,-12.0,-13.0
2019-09-22,2019-09-28,-340.0,9.1820068359375,306.0,12.0
2019-09-29,2019-10-05,133.33333333333334,-38.925048828125,34.5,2.0
2019-10-06,2019-10-12,96.66666666666669,-15.636637369791666,76.33333333333333,14.666666666666666
2019-10-13,2019-10-19,233.33333333333331,22.289998372395832,123.33333333333333,6.0
2019-10-20,2019-10-26,26.0,14.973307291666666,40.666666666666664,21.333333333333332
2019-10-27,2019-11-02,-40.0,6.9860107421875,-120.2,11.8
2019-11-03,2019-11-09,-36.0,20.6239990234375,-40.8,-2.4
2019-11-10,2019-11-16,-96.0,9.4,-38.4,-10.4
2019-11-17,2019-11-23,82.0,-5.8,89.8,18.0
2019-11-24,2019-11-30,-48.0,59.0,-45.2,45.2
2019-12-01,2019-12-07,14.0,-43.4,-214.4,-40.6
2019-12-08,2019-12-14,-126.0,7.8,49.6,23.0
2019-12-15,2019-12-21,-42.0,9.8,-75.0,44.4
2019-12-22,2019-12-28,-10.0,-0.6,-23.0,6.4
2019-12-29,2020-01-04,84.0,-10.6,7.2,28.8
2020-01-05,2020-01-11,170.0,13.2,-4.6,-10.2
2020-01-12,2020-01-18,262.0,36.8,29.6,-13.0
2020-01-19,2020-01-25,-124.0,58.4,253.4,2.8
2020-01-26,2020-02-01,392.0,-34.6,-67.2,-9.4
2020-02-02,2020-02-08,-110.0,14.2,98.4,13.8
2020-02-09,2020-02-15,88.0,26.8,26.6,6.0
2020-02-16,2020-02-22,-980.0,14.8,794.2,16.4
2020-02-23,2020-02-29,87.5,-29.8,-158.0,-71.0
2020-03-01,2020-03-07,-902.5,-14.75,322.5,6.25
2020-03-08,2020-03-14,662.0,-205.5,-712.5,-195.0
2020-03-15,2020-03-21,-118.0,-39.0,-330.0,-6.2
2020-03-22,2020-03-28,-34.0,30.2,0.0,13.6
2020-03-29,2020-04-04,-263.3333333333333,47.8,-40.0,54.8
2020-04-05,2020-04-11,-576.6666666666666,71.33333333333333,66.66666666666667,50.0
2020-04-12,2020-04-18,-40.0,46.0,370.0,32.0
2020-04-19,2020-04-25,473.33333333333326,8.8,150.0,-7.2
2020-04-26,2020-05-02,-112.0,61.333333333333336,713.3333333333334,40.0
2020-05-03,2020-05-09,90.0,20.4,280.0,-5.8
2020-05-10,2020-05-16,400.0,-14.2,-26.0,-12.2
2020-05-17,2020-05-23,0.0,-20.0,226.0,-11.6
2020-05-24,2020-05-30,62.0,40.0,522.5,13.5
2020-05-31,2020-06-06,-190.0,-1.4,-246.0,0.0
2020-06-07,2020-06-13,-52.0,-25.25,-147.5,-20.0
2020-06-14,2020-06-20,-546.0,12.2,52.0,3.8
2020-06-21,2020-06-27,127.99993896484376,-7.6,454.0,-2.0
2020-06-28,2020-07-04,24.00006103515625,10.200003051757813,-132.0001220703125,-11.00000457763672
2020-07-05,2020-07-11,-22.0,-19.000003051757812,64.0001220703125,4.57763671875e-06
2020-07-12,2020-07-18,-34.0,11.0,420.0,-5.6
2020-07-19,2020-07-25,-90.0,44.2,338.0,-19.8
