first_day_in_week,last_day_in_week,LDER_main_symb_weekly_mean_diff,AYAL.TA_weekly_mean_diff_0.43
2019-03-10,2019-03-16,0.04000015258789134,-3.8
2019-03-17,2019-03-23,0.2999996185302713,-18.4
2019-03-24,2019-03-30,0.2400001525878935,-6.0
2019-03-31,2019-04-06,0.1,-2.4
2019-04-07,2019-04-13,0.1400001525878892,2.0
2019-04-14,2019-04-20,-0.01999969482421875,1.0
2019-04-21,2019-04-27,-0.020000457763671875,1.8
2019-04-28,2019-05-04,-0.059999847412109376,-24.2
2019-05-05,2019-05-11,-0.1400001525878892,10.8
2019-05-12,2019-05-18,0.5800003051757798,26.0
2019-05-19,2019-05-25,0.0,-3.4
2019-05-26,2019-06-01,0.31999969482421875,-10.4
2019-06-02,2019-06-08,0.24000015258789065,-45.8
2019-06-09,2019-06-15,0.6400001525878907,22.4
2019-06-16,2019-06-22,-0.6200004577636719,-15.0
2019-06-23,2019-06-29,0.6800003051757812,0.0
2019-06-30,2019-07-06,-0.1400001525878906,1.4
2019-07-07,2019-07-13,1.3400001525878906,-9.6
2019-07-14,2019-07-20,-0.3800003051757813,-9.4
2019-07-21,2019-07-27,0.4200004577636719,2.4
2019-07-28,2019-08-03,-1.140000152587891,4.8
2019-08-04,2019-08-10,-0.5599998474121094,-17.2
2019-08-11,2019-08-17,1.1400001525878891,7.4
2019-08-18,2019-08-24,0.41999969482422017,10.4
2019-08-25,2019-08-31,0.2599998474121093,27.8
2019-09-01,2019-09-07,-0.040000152587890615,13.4
2019-09-08,2019-09-14,-0.6749992370605487,-7.8
2019-09-15,2019-09-21,0.7,-16.0
2019-09-22,2019-09-28,0.0,15.6
2019-09-29,2019-10-05,1.266666412353518,-11.0
2019-10-06,2019-10-12,1.0999997456868489,0.6666666666666666
2019-10-13,2019-10-19,0.09999974568684897,19.666666666666668
2019-10-20,2019-10-26,0.28000030517578123,8.0
2019-10-27,2019-11-02,-1.2,-30.8
2019-11-03,2019-11-09,0.6599998474121094,-15.4
2019-11-10,2019-11-16,0.6800003051757798,-4.2
2019-11-17,2019-11-23,0.3,-3.4
2019-11-24,2019-11-30,-0.28000030517577984,6.8
2019-12-01,2019-12-07,0.5199996948242187,-13.0
2019-12-08,2019-12-14,-0.01999969482421875,-11.0
2019-12-15,2019-12-21,-0.1400001525878906,-15.0
2019-12-22,2019-12-28,0.8799995422363281,-4.8
2019-12-29,2020-01-04,0.3400009155273409,19.8
2020-01-05,2020-01-11,-0.5199996948242159,-1.0
2020-01-12,2020-01-18,0.4399993896484375,-8.4
2020-01-19,2020-01-25,0.019999694824221592,-9.4
2020-01-26,2020-02-01,-0.3199996948242216,-14.6
2020-02-02,2020-02-08,0.5199996948242216,-8.2
2020-02-09,2020-02-15,0.919999694824216,8.2
2020-02-16,2020-02-22,-0.11999969482421875,28.6
2020-02-23,2020-02-29,-2.524999618530273,-53.8
2020-03-01,2020-03-07,-3.8000001907348633,-33.75
2020-03-08,2020-03-14,-0.4400001525878906,-84.75
2020-03-15,2020-03-21,-0.31999969482421875,-46.85999755859375
2020-03-22,2020-03-28,0.4199996948242187,-5.0800048828125
2020-03-29,2020-04-04,1.5333340962727864,65.74000244140625
2020-04-05,2020-04-11,0.1999994913736979,15.666666666666666
2020-04-12,2020-04-18,0.7200004577636705,-17.666666666666668
2020-04-19,2020-04-25,2.366666158040367,22.6
2020-04-26,2020-05-02,-0.7599998474121094,28.0
2020-05-03,2020-05-09,-0.7400001525878906,-5.4
2020-05-10,2020-05-16,0.3,-21.0
2020-05-17,2020-05-23,-1.5249996185302752,4.6
2020-05-24,2020-05-30,0.3799995422363295,-0.25
2020-05-31,2020-06-06,-0.125,-13.6
2020-06-07,2020-06-13,0.059999847412109376,-2.0
2020-06-14,2020-06-20,-0.2,-4.0
2020-06-21,2020-06-27,0.18000001907348775,11.8
2020-06-28,2020-07-04,-0.18000001907348775,-4.0
2020-07-05,2020-07-11,0.3400001525878906,-21.8
2020-07-12,2020-07-18,2.3200004577636704,70.6
2020-07-19,2020-07-25,-0.4750003814697248,33.8
