first_day_in_week,last_day_in_week,KARE_main_symb_weekly_mean_diff,HOD.TA_weekly_mean_diff_0.37,TGTR.TA_weekly_mean_diff_0.37,ORL.TA_weekly_mean_diff_0.44
2019-03-10,2019-03-16,1.1800018310546818,7.999992370605469,-2.3400024414062273,-1.9799987792968807
2019-03-17,2019-03-23,-0.4600006103515568,-0.7999992370605469,-2.0400024414062727,-0.2
2019-03-24,2019-03-30,0.1399993896484375,-11.599998474121094,-0.739990234375,-0.3
2019-03-31,2019-04-06,-0.6200012207031194,-40.19998550415039,-2.8800048828125,-0.7399993896484375
2019-04-07,2019-04-13,-3.6799987792968807,-3.200016021728561,-3.6400024414062386,0.9
2019-04-14,2019-04-20,0.079998779296875,-4.200000762939408,-3.159997558593761,0.3
2019-04-21,2019-04-27,1.320001220703125,1.4000129699706576,0.8,-0.220001220703125
2019-04-28,2019-05-04,-0.5399993896484375,3.7999916076660156,-2.25999755859375,-0.3399993896484375
2019-05-05,2019-05-11,-0.720001220703125,5.7999992370606375,-2.34000244140625,0.1
2019-05-12,2019-05-18,0.9399993896484432,0.2000045776366733,-13.9,0.9600006103515625
2019-05-19,2019-05-25,-0.7399993896484431,7.999992370605469,6.0599975585937615,-1.7600006103515624
2019-05-26,2019-06-01,0.5600006103515625,-3.599987030029342,-2.379998779296886,1.0
2019-06-02,2019-06-08,1.0,-13.400001525878816,-4.979998779296875,-0.3
2019-06-09,2019-06-15,1.7799987792968808,-4.400005340576217,10.44000244140625,-0.1399993896484375
2019-06-16,2019-06-22,-2.159997558593761,-7.000007629394531,-9.3,1.5399993896484374
2019-06-23,2019-06-29,1.719998168945318,13.200016021728562,-0.220001220703125,-0.2
2019-06-30,2019-07-06,-0.8600006103515568,5.1999855041503,-1.9600036621093637,-0.4799987792968807
2019-07-07,2019-07-13,1.3400024414062386,-12.199993133544876,-2.1199951171875115,-0.12000122070311932
2019-07-14,2019-07-20,0.9,-3.4000015258789062,-4.7,0.2
2019-07-21,2019-07-27,-1.780001831054682,7.800006866455033,0.279998779296875,1.3200012207031193
2019-07-28,2019-08-03,-0.0399993896484375,-7.20001220703125,-2.420001220703125,0.27999877929688066
2019-08-04,2019-08-10,0.8600006103515625,-8.79999160766597,-4.2,0.0
2019-08-11,2019-08-17,2.679998779296875,4.799995422363236,-5.44000244140625,-2.5
2019-08-18,2019-08-24,1.1399993896484433,10.200004577636765,5.34000244140625,1.1399993896484375
2019-08-25,2019-08-31,3.340002441406239,-6.000003814697266,5.15999755859375,-1.4199981689453125
2019-09-01,2019-09-07,-1.5200012207031193,7.20001220703125,-5.379998779296875,0.779998779296875
2019-09-08,2019-09-14,-2.025001525878899,15.799999237060547,-3.579998779296875,-1.4
2019-09-15,2019-09-21,0.2,11.500000953674316,1.0749969482421875,2.25
2019-09-22,2019-09-28,1.5500030517577983,6.399993896484375,-1.939996337890625,0.4600006103515625
2019-09-29,2019-10-05,0.6666666666666666,13.99998664855957,-7.4000091552734375,0.34999847412109375
2019-10-06,2019-10-12,1.4333343505859375,-11.666647593180338,-3.26666259765625,0.6000010172526041
2019-10-13,2019-10-19,-0.3333333333333333,-8.000024159749273,3.4666646321614585,-0.06666564941407198
2019-10-20,2019-10-26,-1.1399993896484433,-3.9999961853028103,0.16666666666666666,-0.9333343505859281
2019-10-27,2019-11-02,-1.1600006103515568,-20.200004577636765,4.64000244140625,-0.4
2019-11-03,2019-11-09,0.9399993896484377,-15.799999237060547,1.95999755859375,-0.6399993896484375
2019-11-10,2019-11-16,0.5399993896484375,4.8000144958497,3.360003662109375,0.25999755859375
2019-11-17,2019-11-23,-0.179998779296875,0.5999946594237826,10.11999511718751,-1.679998779296875
2019-11-24,2019-11-30,-3.2800018310546815,12.999992370605515,-7.0599975585937615,-0.1
2019-12-01,2019-12-07,2.4200012207031194,5.0,-4.14000244140625,-0.3
2019-12-08,2019-12-14,-0.6399993896484375,41.00000381469722,-3.739996337890625,-2.279998779296875
2019-12-15,2019-12-21,3.4600006103515564,-7.999992370605469,-2.420001220703125,0.6399993896484375
2019-12-22,2019-12-28,6.179998779296881,23.99997711181627,-3.85999755859375,2.2399993896484376
2019-12-29,2020-01-04,2.6200012207031143,-3.40000152587877,7.65999755859375,0.9399993896484375
2020-01-05,2020-01-11,3.2200012207031365,-7.79998779296875,-2.220001220703125,0.420001220703125
2020-01-12,2020-01-18,2.15999755859375,5.600013732910156,6.3,-2.3399993896484377
2020-01-19,2020-01-25,-3.85999755859375,13.800010681152344,-4.6,-0.9
2020-01-26,2020-02-01,-0.54000244140625,8.199996948242188,1.04000244140625,-1.9600006103515626
2020-02-02,2020-02-08,0.0,-29.600009918212937,-0.6,-2.2600006103515624
2020-02-09,2020-02-15,-1.1200012207031136,9.200000762939363,-0.320001220703125,-1.1
2020-02-16,2020-02-22,-4.839999389648449,-8.600006103515488,-0.75999755859375,-1.3
2020-02-23,2020-02-29,-6.875,-25.400009155273438,-5.4,-2.2
2020-03-01,2020-03-07,-12.25,-22.999978065490723,-3.5,-1.3500003814697266
2020-03-08,2020-03-14,-6.119998168945313,-82.50000476837158,-30.175003051757812,-9.149999618530273
2020-03-15,2020-03-21,6.319998168945313,-11.35999679565432,1.920001220703125,-0.7800003051757812
2020-03-22,2020-03-28,-1.5399993896484374,2.1799850463867188,7.979998779296875,-2.1799995422363283
2020-03-29,2020-04-04,11.799997965494802,22.580013275146463,12.55999755859375,6.320000457763669
2020-04-05,2020-04-11,1.3333333333333333,34.333324432373125,5.533335367838561,5.099998474121098
2020-04-12,2020-04-18,0.8800018310546818,5.3333282470703125,-2.5666605631510606,-2.3666661580403647
2020-04-19,2020-04-25,5.833333333333332,21.60000228881836,11.25999755859375,0.6
2020-04-26,2020-05-02,-6.8600006103515625,-10.666666666666666,-2.4666646321614585,-2.266667683919266
2020-05-03,2020-05-09,1.3399993896484377,0.6,-5.460003662109375,0.3400009155273409
2020-05-10,2020-05-16,0.5800018310546818,-21.8,3.920001220703125,-0.48000030517578124
2020-05-17,2020-05-23,-0.4000015258788992,5.2,-2.779998779296875,0.46000061035155965
