first_day_in_week,last_day_in_week,ORBI_main_symb_weekly_mean_diff,PCBT.TA_weekly_mean_diff_0.45
2019-03-10,2019-03-16,5.6,1.379998779296875
2019-03-17,2019-03-23,-5.2,7.8
2019-03-24,2019-03-30,-3.0,-0.6599975585937727
2019-03-31,2019-04-06,15.0,1.4799926757812727
2019-04-07,2019-04-13,5.6,3.1800048828125
2019-04-14,2019-04-20,2.4,1.7
2019-04-21,2019-04-27,0.4,0.3199951171875
2019-04-28,2019-05-04,-0.2,3.42000732421875
2019-05-05,2019-05-11,3.8,-0.85999755859375
2019-05-12,2019-05-18,0.0,0.4199951171875
2019-05-19,2019-05-25,-10.6,0.9199951171875
2019-05-26,2019-06-01,-4.6,0.72000732421875
2019-06-02,2019-06-08,5.0,-0.85999755859375
2019-06-09,2019-06-15,3.4,-0.52000732421875
2019-06-16,2019-06-22,1.0,-0.0199951171875
2019-06-23,2019-06-29,-13.8,-7.52000732421875
2019-06-30,2019-07-06,-6.8,2.060009765625
2019-07-07,2019-07-13,-6.6,0.7
2019-07-14,2019-07-20,4.8,-3.8400024414062726
2019-07-21,2019-07-27,-0.4,-0.6800048828124545
2019-07-28,2019-08-03,-12.119995117187527,-4.419995117187545
2019-08-04,2019-08-10,-5.980004882812477,-4.540002441406227
2019-08-11,2019-08-17,11.3,-2.25999755859375
2019-08-18,2019-08-24,-8.580004882812478,2.0199951171875115
2019-08-25,2019-08-31,-1.9799926757812727,-4.879998779296886
2019-09-01,2019-09-07,-7.5800048828125,-5.0
2019-09-08,2019-09-14,-5.149993896484375,-5.079998779296875
2019-09-15,2019-09-21,-5.9,2.6750030517578125
2019-09-22,2019-09-28,7.949981689453125,3.579998779296875
2019-09-29,2019-10-05,-1.9666544596354167,8.699996948242188
2019-10-06,2019-10-12,-0.9666748046875,5.466664632161458
2019-10-13,2019-10-19,-18.866658528645832,0.100006103515625
2019-10-20,2019-10-26,2.45999755859375,1.1999918619791856
2019-10-27,2019-11-02,-5.3800048828125,-3.2399963378906365
2019-11-03,2019-11-09,4.960009765625,0.920001220703125
2019-11-10,2019-11-16,8.07999267578125,-2.820001220703125
2019-11-17,2019-11-23,8.04000244140625,-8.679998779296875
2019-11-24,2019-11-30,-15.8800048828125,-2.620001220703125
2019-12-01,2019-12-07,1.060009765625,-0.720001220703125
2019-12-08,2019-12-14,3.07999267578125,1.3
2019-12-15,2019-12-21,-1.67999267578125,-2.4400024414062385
2019-12-22,2019-12-28,17.75999755859375,12.5
2019-12-29,2020-01-04,-5.32000732421875,-3.379998779296886
2020-01-05,2020-01-11,2.500000000000022,-0.32000122070311365
2020-01-12,2020-01-18,21.78000488281248,4.7
2020-01-19,2020-01-25,-6.84000244140625,2.5400024414062385
2020-01-26,2020-02-01,-17.8,-0.979998779296875
2020-02-02,2020-02-08,0.8800048828125,-1.920001220703125
2020-02-09,2020-02-15,-1.7800048828125,2.84000244140625
2020-02-16,2020-02-22,-17.07999267578125,1.079998779296875
2020-02-23,2020-02-29,-17.57501220703125,-6.279998779296875
2020-03-01,2020-03-07,-49.42498779296875,-13.200004577636719
2020-03-08,2020-03-14,-12.7800048828125,-19.875
2020-03-15,2020-03-21,1.879998779296875,-10.879998779296875
2020-03-22,2020-03-28,5.8,5.6
2020-03-29,2020-04-04,27.566660563151046,21.3
2020-04-05,2020-04-11,13.866678873697914,2.3333333333333335
2020-04-12,2020-04-18,-2.0,-0.3333333333333333
2020-04-19,2020-04-25,4.599995930989583,2.5599975585937615
2020-04-26,2020-05-02,3.75999755859375,1.1000061035156061
2020-05-03,2020-05-09,9.62000732421875,3.1399963378906364
2020-05-10,2020-05-16,9.95999755859375,1.6800048828124887
2020-05-17,2020-05-23,9.099990844726562,4.539996337890625
2020-05-24,2020-05-30,-36.15999755859375,4.625
2020-05-31,2020-06-06,2.0,-0.32000122070311365
2020-06-07,2020-06-13,0.35999755859375,1.2000045776367045
2020-06-14,2020-06-20,-7.6199951171875,-1.820001220703125
2020-06-21,2020-06-27,3.3200046539306407,1.64000244140625
2020-06-28,2020-07-04,-9.280002212524414,-3.0400062561035157
2020-07-05,2020-07-11,-5.7,0.46000137329102697
2020-07-12,2020-07-18,5.240002441406273,-9.959997558593761
2020-07-19,2020-07-25,0.524993896484375,10.120001220703125
