first_day_in_week,last_day_in_week,WTS_main_symb_weekly_mean_diff,MTRX.TA_weekly_mean_diff_0.36,PIU.TA_weekly_mean_diff_0.36,SHGR.TA_weekly_mean_diff_0.38,DLEKG.TA_weekly_mean_diff_0.41,KRDI.TA_weekly_mean_diff_0.47
2020-03-01,2020-03-07,-38.15000104904175,-163.25,-33.8999938964844,-31.074996948242188,-1590.0,-2.5250015258789062
2020-03-08,2020-03-14,-34.32000160217285,-328.0,-71.30000305175778,-38.67500305175781,-5595.0,-14.274999618530273
2020-03-15,2020-03-21,45.0,127.0,-6.85999755859375,17.15999755859375,2190.0,23.2999984741211
2020-03-22,2020-03-28,-20.31999588012697,95.6,11.039990234375,35.84000244140625,-1332.6,-17.519998168945317
2020-03-29,2020-04-04,10.099999109904047,77.4,37.32000732421875,3.4,256.6,3.3
2020-04-05,2020-04-11,-21.1333433787028,93.0,4.666666666666667,-7.666666666666667,1833.3333333333333,3.1666666666666665
2020-04-12,2020-04-18,18.36000442504881,2.6666666666666665,25.466654459635453,8.0,63.333333333333336,-2.8333333333333335
2020-04-19,2020-04-25,0.1666704813639702,86.8,3.3,19.8,-106.0,1.8
2020-04-26,2020-05-02,-3.800001144409225,33.0,16.46667480468746,12.333333333333334,-56.666666666666664,-2.600001017252604
2020-05-03,2020-05-09,-7.100000381469657,-77.0,4.2,-10.2,-512.0,-1.8399993896484375
2020-05-10,2020-05-16,9.179992675781204,-20.2,-10.6,-15.8,-786.0,-1.3
2020-05-17,2020-05-23,-9.299993515014675,128.2,3.8,14.0,28.0,3.6199981689453127
2020-05-24,2020-05-30,6.349992752075309,208.5,-19.875,-11.5,-37.5,-1.0
