first_day_in_week,last_day_in_week,TNPV_main_symb_weekly_mean_diff,CANF.TA_weekly_mean_diff_0.39,LDER.TA_weekly_mean_diff_0.39,PCBT.TA_weekly_mean_diff_0.39,ELRN.TA_weekly_mean_diff_0.4,PAYT.TA_weekly_mean_diff_0.42,HAIN.TA_weekly_mean_diff_0.46,SEFA.TA_weekly_mean_diff_0.57
2019-03-10,2019-03-16,3.2600006103515624,-1.7,0.03999977111816477,1.379998779296875,1.1399902343750454,18.6,0.9599975585937613,4.800003051757824
2019-03-17,2019-03-23,8.179998779296879,5.460000610351562,0.04000015258789134,7.8,3.7600097656249547,79.8,0.22000122070311362,54.19999694824219
2019-03-24,2019-03-30,-3.459997558593761,-14.520001220703126,0.2999996185302713,-0.6599975585937727,-5.880004882812477,-104.0,-0.85999755859375,-21.199996948242188
2019-03-31,2019-04-06,-1.7600006103515569,-7.619999694824219,0.24000015258789348,1.4799926757812727,9.1,-51.2,-5.079998779296875,-7.599998474121094
2019-04-07,2019-04-13,-4.3600006103515625,-1.2,0.1,3.1800048828125,-1.15999755859375,18.2,0.779998779296875,-1.8000030517578125
2019-04-14,2019-04-20,0.7,-2.8199996948242188,0.1400001525878892,1.7,-4.6,-21.4,1.9399963378906364,-14.799995422363292
2019-04-21,2019-04-27,-1.2399993896484376,0.36000061035155967,-0.01999969482421875,0.3199951171875,-3.3,2.8,0.18000488281248864,-11.600006103515625
2019-04-28,2019-05-04,-1.6800018310546876,-2.1600006103515597,-0.020000457763671875,3.42000732421875,-12.65999755859375,-24.4,-2.1800048828124887,-8.399993896484364
2019-05-05,2019-05-11,-4.55999755859375,-1.3199996948242188,-0.059999847412109376,-0.85999755859375,-5.34000244140625,10.0,-1.2,2.3999938964843635
2019-05-12,2019-05-18,-0.420001220703125,-2.4,-0.1400001525878892,0.4199951171875,-8.35999755859375,-22.6,1.0400024414062385,12.400001525878917
2019-05-19,2019-05-25,-0.3,-6.320000457763672,0.5800003051757798,0.9199951171875,-10.32000732421875,18.0,-0.420001220703125,-6.0
2019-05-26,2019-06-01,0.2600006103515625,-0.9599998474121094,0.0,0.72000732421875,-19.57999267578125,-5.4,0.24000244140625,1.8000030517578125
2019-06-02,2019-06-08,0.6600006103515625,0.9599998474121094,0.31999969482421875,-0.85999755859375,-7.8,-56.0,2.679998779296875,4.599998474121094
2019-06-09,2019-06-15,0.479998779296875,-0.8799995422363281,0.24000015258789062,-0.52000732421875,-1.8800048828125,78.2,-0.24000244140623864,-2.800003051757824
2019-06-16,2019-06-22,1.7,0.6,0.6400001525878907,-0.0199951171875,0.6,9.6,-2.0,-9.399993896484364
2019-06-23,2019-06-29,-1.8399993896484372,-0.3600006103515625,-0.6200004577636719,-7.52000732421875,1.5800048828125,2.2,2.4400024414062385,9.199996948242188
2019-06-30,2019-07-06,-2.9200012207031194,0.1600006103515625,0.6800003051757812,2.060009765625,2.939990234375,-6.8,4.659997558593761,-6.0
2019-07-07,2019-07-13,-0.1,0.0399993896484375,-0.14000015258789061,0.7,-4.6199951171875,13.8,3.2,-7.400001525878906
2019-07-14,2019-07-20,-2.039999389648443,0.1600006103515625,1.3400001525878906,-3.8400024414062726,-13.720001220703125,33.8,2.5,4.200004577636719
2019-07-21,2019-07-27,-1.3800003051757812,-0.5800003051757813,-0.38000030517578126,-0.6800048828124545,-1.3200012207031135,45.2,8.900000000000011,-8.0
2019-07-28,2019-08-03,0.019999694824221592,0.18000030517578125,0.4200004577636719,-4.419995117187545,-2.0599975585937615,-54.0,4.080004882812455,5.599998474121094
2019-08-04,2019-08-10,-1.3399993896484403,-1.0600002288818353,-1.1400001525878907,-4.540002441406227,-1.8400024414062386,-57.2,-4.880004882812466,0.7999954223632699
2019-08-11,2019-08-17,2.080000305175781,-0.12000007629394602,-0.5599998474121094,-2.25999755859375,0.3,-60.0,1.1000000000000114,0.20000457763673013
2019-08-18,2019-08-24,-1.4199996948242215,-0.44000015258788994,1.1400001525878891,2.0199951171875115,4.980004882812489,-79.0,4.240002441406228,-1.20000457763673
2019-08-25,2019-08-31,0.4199996948242216,0.6,0.41999969482422017,-4.879998779296886,1.27999267578125,-25.8,0.5599975585937728,-0.5999984741210824
2019-09-01,2019-09-07,0.4,-0.6399997711181641,0.25999984741210935,-5.0,5.4800048828125,12.0,1.3400024414062273,-0.5999984741210938
2019-09-08,2019-09-14,-1.3250007629394531,1.0200000762939432,-0.04000015258789062,-5.079998779296875,-2.0800048828125,24.8,-0.3,-1.5999984741210938
2019-09-15,2019-09-21,-0.4199996948242187,-0.6249999999999991,-0.6749992370605487,2.6750030517578125,0.4250030517578409,-57.5,0.350006103515625,5.0
2019-09-22,2019-09-28,0.4500007629394531,-0.42000007629394387,0.7,3.579998779296875,-2.879992675781273,2.2,0.5799926757812728,-6.200004577636719
2019-09-29,2019-10-05,1.8666661580403645,-1.4000005722045898,0.0,8.699996948242188,2.25,41.5,-3.25,9.999999999999972
2019-10-06,2019-10-12,0.8000005086263021,0.7333335876464832,1.266666412353518,5.466664632161458,0.0,-12.666666666666666,-0.5999959309896212,-2.9999923706054497
2019-10-13,2019-10-19,0.0,-0.03333346048990885,1.0999997456868489,0.100006103515625,-4.066670735677083,34.333333333333336,-0.8000081380208334,0.0
2019-10-20,2019-10-26,1.899997711181648,-0.20000012715657434,0.09999974568684895,1.1999918619791856,-2.9000040690104165,18.333333333333332,-4.233317057291667,-9.00000254313151
