first_day_in_week,last_day_in_week,SHOM_main_symb_weekly_mean_diff,SHGR.TA_weekly_mean_diff_0.37
2019-03-10,2019-03-16,1.44000244140625,4.6
2019-03-17,2019-03-23,3.3,27.8
2019-03-24,2019-03-30,5.05999755859375,-8.6
2019-03-31,2019-04-06,6.34000244140625,15.2
2019-04-07,2019-04-13,2.479998779296875,1.0
2019-04-14,2019-04-20,1.979998779296875,-1.0
2019-04-21,2019-04-27,-5.0,4.4
2019-04-28,2019-05-04,4.620001220703125,-14.4
2019-05-05,2019-05-11,-1.620001220703125,3.4
2019-05-12,2019-05-18,8.74000244140625,-3.2
2019-05-19,2019-05-25,-6.54000244140625,-17.8
2019-05-26,2019-06-01,4.8,6.8
2019-06-02,2019-06-08,-3.820001220703125,3.6
2019-06-09,2019-06-15,-0.639996337890625,8.0
2019-06-16,2019-06-22,3.35999755859375,3.4
2019-06-23,2019-06-29,1.059997558593761,-2.2
2019-06-30,2019-07-06,-0.5,-6.0
2019-07-07,2019-07-13,-0.6399963378906364,-5.2
2019-07-14,2019-07-20,5.95999755859375,4.0
2019-07-21,2019-07-27,1.94000244140625,-14.8
2019-07-28,2019-08-03,-4.520001220703125,-10.6
2019-08-04,2019-08-10,1.14000244140625,-0.2
2019-08-11,2019-08-17,6.119995117187523,-3.4
2019-08-18,2019-08-24,2.5800048828124544,17.4
2019-08-25,2019-08-31,6.159997558593773,11.2
2019-09-01,2019-09-07,4.15999755859375,-12.6
2019-09-08,2019-09-14,-0.649993896484375,8.4
2019-09-15,2019-09-21,-1.94000244140625,-4.5
2019-09-22,2019-09-28,4.79998779296875,5.2
2019-09-29,2019-10-05,6.900004069010418,-6.0
2019-10-06,2019-10-12,2.20001220703125,8.333333333333334
2019-10-13,2019-10-19,4.133321126302083,17.333333333333332
2019-10-20,2019-10-26,8.05999755859375,-7.666666666666667
2019-10-27,2019-11-02,6.6800048828125,-5.6
2019-11-03,2019-11-09,5.4199951171875,-1.8
2019-11-10,2019-11-16,4.7800048828125,-6.2
2019-11-17,2019-11-23,-6.0,2.2
2019-11-24,2019-11-30,-5.7800048828125,-21.6
2019-12-01,2019-12-07,-5.1,-1.0
2019-12-08,2019-12-14,13.24000244140625,-0.4
2019-12-15,2019-12-21,3.6800048828125,13.0
2019-12-22,2019-12-28,12.07999267578125,-1.4
2019-12-29,2020-01-04,23.000000000000018,5.0
2020-01-05,2020-01-11,-10.739990234375023,7.8
2020-01-12,2020-01-18,-0.84000244140625,-4.2
2020-01-19,2020-01-25,-3.3800048828125,2.4
2020-01-26,2020-02-01,15.34000244140625,-9.8
2020-02-02,2020-02-08,-6.5199951171875,-17.2
2020-02-09,2020-02-15,19.27999267578125,14.8
2020-02-16,2020-02-22,-20.4,-8.8
2020-02-23,2020-02-29,-40.44999694824219,-20.0
2020-03-01,2020-03-07,-62.2750015258789,-31.074996948242188
2020-03-08,2020-03-14,-2.179998779296875,-38.67500305175781
2020-03-15,2020-03-21,37.6,17.15999755859375
2020-03-22,2020-03-28,-6.44000244140625,35.84000244140625
2020-03-29,2020-04-04,11.599995930989586,3.4
2020-04-05,2020-04-11,12.5,-7.666666666666667
2020-04-12,2020-04-18,10.52000732421875,8.0
2020-04-19,2020-04-25,27.13332112630208,19.8
2020-04-26,2020-05-02,-9.2199951171875,12.333333333333334
2020-05-03,2020-05-09,-23.2800048828125,-10.2
2020-05-10,2020-05-16,13.8,-15.8
2020-05-17,2020-05-23,-8.17498779296875,14.0
2020-05-24,2020-05-30,1.1199951171875,-11.5
2020-05-31,2020-06-06,-11.524993896484375,2.2
2020-06-07,2020-06-13,-0.72000732421875,-11.75
2020-06-14,2020-06-20,-5.55999755859375,-22.6
2020-06-21,2020-06-27,11.500001144409179,9.2
2020-06-28,2020-07-04,-13.440003585815427,3.400002288818359
2020-07-05,2020-07-11,1.32000732421875,-3.2000022888183595
2020-07-12,2020-07-18,8.639990234375,45.0
2020-07-19,2020-07-25,-4.75,16.8
