first_day_in_week,last_day_in_week,LSCO_main_symb_weekly_mean_diff,FIBIH.TA_weekly_mean_diff_0.39
2019-03-10,2019-03-16,-0.3799987792968864,32.0
2019-03-17,2019-03-23,7.160003662109375,24.0
2019-03-24,2019-03-30,-1.04000244140625,-54.0
2019-03-31,2019-04-06,-0.1,24.0
2019-04-07,2019-04-13,-2.379998779296875,118.0
2019-04-14,2019-04-20,-0.420001220703125,-38.0
2019-04-21,2019-04-27,1.9,22.0
2019-04-28,2019-05-04,0.579998779296875,-88.0
2019-05-05,2019-05-11,-0.2,6.0
2019-05-12,2019-05-18,-0.779998779296875,38.0
2019-05-19,2019-05-25,-2.75999755859375,-14.0
2019-05-26,2019-06-01,-1.860003662109375,-56.0
2019-06-02,2019-06-08,2.2799987792968865,16.0
2019-06-09,2019-06-15,0.18000488281248864,14.0
2019-06-16,2019-06-22,-2.9,-24.0
2019-06-23,2019-06-29,1.0199951171875117,62.0
2019-06-30,2019-07-06,1.7600036621093635,32.0
2019-07-07,2019-07-13,-3.84000244140625,-56.0
2019-07-14,2019-07-20,1.260003662109375,-66.0
2019-07-21,2019-07-27,4.019995117187511,32.0
2019-07-28,2019-08-03,2.5200012207031137,92.0
2019-08-04,2019-08-10,-3.079998779296875,-20.0
2019-08-11,2019-08-17,7.859997558593762,-14.0
2019-08-18,2019-08-24,-2.559997558593761,66.0
2019-08-25,2019-08-31,-1.8,-36.0
2019-09-01,2019-09-07,-2.320001220703125,-34.0
2019-09-08,2019-09-14,-3.549995422363281,36.0
2019-09-15,2019-09-21,-3.0800048828124886,42.5
2019-09-22,2019-09-28,5.650009155273409,62.0
2019-09-29,2019-10-05,-1.9333394368489396,-25.0
2019-10-06,2019-10-12,9.23333740234373,126.66666666666667
2019-10-13,2019-10-19,-2.7000020345052085,0.0
2019-10-20,2019-10-26,4.74000244140625,20.0
2019-10-27,2019-11-02,1.820001220703125,6.0
2019-11-03,2019-11-09,8.44000244140625,8.0
2019-11-10,2019-11-16,3.659997558593728,80.0
2019-11-17,2019-11-23,-4.059997558593727,12.0
2019-11-24,2019-11-30,-8.7800048828125,72.0
2019-12-01,2019-12-07,5.4,-28.0
2019-12-08,2019-12-14,-3.020001220703125,-26.0
2019-12-15,2019-12-21,1.8799987792968864,-56.0
2019-12-22,2019-12-28,8.120007324218736,-2.0
2019-12-29,2020-01-04,9.2199951171875,-16.0
2020-01-05,2020-01-11,1.3199951171875,-14.0
2020-01-12,2020-01-18,7.460009765625,-8.0
2020-01-19,2020-01-25,-4.2800048828125,-30.0
2020-01-26,2020-02-01,-0.34000244140625,-36.0
2020-02-02,2020-02-08,2.54000244140625,124.0
2020-02-09,2020-02-15,-2.2199951171875,-166.0
2020-02-16,2020-02-22,-13.520007324218726,28.0
2020-02-23,2020-02-29,-8.849998474121124,-140.0
2020-03-01,2020-03-07,-29.400001525878892,-210.75
2020-03-08,2020-03-14,-5.000000000000012,-485.5
2020-03-15,2020-03-21,11.900000000000013,225.2
2020-03-22,2020-03-28,7.360003662109363,116.0
2020-03-29,2020-04-04,7.899993896484394,50.8
2020-04-05,2020-04-11,6.900004069010397,65.33333333333333
2020-04-12,2020-04-18,-7.679998779296875,-190.66666666666666
2020-04-19,2020-04-25,12.066660563151062,94.2
2020-04-26,2020-05-02,-3.219995117187511,163.33333333333334
2020-05-03,2020-05-09,-2.04000244140625,-104.8
2020-05-10,2020-05-16,7.079998779296875,-135.8
2020-05-17,2020-05-23,-2.6999969482421875,62.6
2020-05-24,2020-05-30,-4.279998779296875,-17.5
2020-05-31,2020-06-06,-5.575004577636719,-49.8
2020-06-07,2020-06-13,2.520001220703125,-4.5
2020-06-14,2020-06-20,-8.740002441406236,-10.8
2020-06-21,2020-06-27,0.26000213623046875,-81.8
2020-06-28,2020-07-04,-2.140000915527355,76.80001831054688
2020-07-05,2020-07-11,7.220001220703125,-141.80001831054688
2020-07-12,2020-07-18,-0.520001220703125,38.6
2020-07-19,2020-07-25,-7.5749969482421875,-65.6
