first_day_in_week,last_day_in_week,OPK_main_symb_weekly_mean_diff,ORA.TA_weekly_mean_diff_-0.37,ARKO.TA_weekly_mean_diff_0.48
2019-03-10,2019-03-16,-0.9,-14.0,0.279998779296875
2019-03-17,2019-03-23,-0.4,-28.0,-0.1399993896484375
2019-03-24,2019-03-30,6.2199951171875,20.0,2.2600006103515624
2019-03-31,2019-04-06,-3.94000244140625,10.0,-2.779998779296875
2019-04-07,2019-04-13,-7.95999755859375,8.0,1.95999755859375
2019-04-14,2019-04-20,1.0199951171875,64.0,-0.35999755859375
2019-04-21,2019-04-27,-11.75999755859375,98.0,-0.7800018310546875
2019-04-28,2019-05-04,14.05999755859375,-42.0,1.3600006103515625
2019-05-05,2019-05-11,-28.37999267578125,174.0,0.6399993896484375
2019-05-12,2019-05-18,-5.45999755859375,86.0,-0.579998779296875
2019-05-19,2019-05-25,-5.9800048828125,-88.0,-1.4399993896484375
2019-05-26,2019-06-01,3.6,-64.0,-0.120001220703125
2019-06-02,2019-06-08,-2.0,124.0,0.1
2019-06-09,2019-06-15,9.7,144.0,0.6
2019-06-16,2019-06-22,-0.7,-26.0,-0.5399993896484375
2019-06-23,2019-06-29,21.8199951171875,-82.0,-0.320001220703125
2019-06-30,2019-07-06,-9.65999755859375,64.0,0.2
2019-07-07,2019-07-13,-10.45999755859375,-38.0,-0.9399993896484375
2019-07-14,2019-07-20,1.14000244140625,16.0,1.379998779296875
2019-07-21,2019-07-27,1.75999755859375,38.0,-0.2199981689453125
2019-07-28,2019-08-03,-13.8800048828125,158.0,0.979998779296875
2019-08-04,2019-08-10,-5.7199951171875,176.0,-0.6600006103515625
2019-08-11,2019-08-17,7.7800048828125,264.0,-1.2
2019-08-18,2019-08-24,-12.04000244140625,14.0,-0.3199981689453182
2019-08-25,2019-08-31,2.4,42.0,-2.160000610351557
2019-09-01,2019-09-07,21.4199951171875,-126.0,0.7
2019-09-08,2019-09-14,-7.0,106.0,1.939999389648443
2019-09-15,2019-09-21,2.04000244140625,40.0,0.325000762939446
2019-09-22,2019-09-28,1.0,118.0,-0.2600006103515568
2019-09-29,2019-10-05,-9.866658528645834,-340.0,-1.449996948242216
2019-10-06,2019-10-12,12.066650390625,133.33333333333334,1.4666646321614678
2019-10-13,2019-10-19,-36.5333251953125,96.66666666666667,0.3999989827473958
2019-10-20,2019-10-26,-26.120001220703124,233.33333333333334,0.366668701171875
2019-10-27,2019-11-02,2.100006103515625,26.0,0.5399993896484375
2019-11-03,2019-11-09,-3.460003662109375,-40.0,1.220001220703125
2019-11-10,2019-11-16,9.320001220703102,-36.0,2.579998779296875
2019-11-17,2019-11-23,3.6,-96.0,0.8800018310546875
2019-11-24,2019-11-30,0.9599975585937728,82.0,-0.020001220703125
2019-12-01,2019-12-07,-6.159997558593773,-48.0,-1.8
2019-12-08,2019-12-14,-5.0200012207031035,14.0,1.3
2019-12-15,2019-12-21,5.979998779296875,-126.0,1.9600006103515626
2019-12-22,2019-12-28,-5.8,-42.0,-0.1600006103515625
2019-12-29,2020-01-04,-1.15999755859375,-10.0,-1.879998779296875
2020-01-05,2020-01-11,7.05999755859375,84.0,-0.74000244140625
2020-01-12,2020-01-18,11.1,170.0,-2.879998779296875
2020-01-19,2020-01-25,-17.55999755859375,262.0,0.2399993896484375
2020-01-26,2020-02-01,9.75999755859375,-124.0,-1.5600006103515625
2020-02-02,2020-02-08,-2.0,392.0,-0.15999755859375
2020-02-09,2020-02-15,-1.1800048828125,-110.0,-0.2600006103515682
2020-02-16,2020-02-22,-9.859997558593738,88.0,-1.0200012207031137
2020-02-23,2020-02-29,14.449996948242172,-980.0,-2.900000000000003
2020-03-01,2020-03-07,0.45001220703125,87.5,-1.1749992370605504
2020-03-08,2020-03-14,3.75999755859375,-902.5,-8.600000381469727
2020-03-15,2020-03-21,-15.1,662.0,-2.6800003051757812
2020-03-22,2020-03-28,-14.74000244140625,-118.0,-0.6199996948242159
2020-03-29,2020-04-04,12.666666666666664,-34.0,-0.019999694824221592
2020-04-05,2020-04-11,43.33333333333334,-263.3333333333333,4.4333343505859375
2020-04-12,2020-04-18,34.25999755859375,-576.6666666666666,1.9666646321614583
2020-04-19,2020-04-25,4.900004069010417,-40.0,0.34000091552734374
2020-04-26,2020-05-02,-2.0,473.3333333333333,2.8000005086262973
2020-05-03,2020-05-09,17.6,-112.0,-1.9600006103515597
2020-05-10,2020-05-16,17.55999755859375,90.0,-2.2
2020-05-17,2020-05-23,-44.149993896484375,400.0,1.2800003051757813
2020-05-24,2020-05-30,1.94000244140625,0.0,-1.5500011444091797
2020-05-31,2020-06-06,27.59999084472656,62.0,0.8600006103515625
2020-06-07,2020-06-13,2.4,-190.0,-0.875
2020-06-14,2020-06-20,1.9,-52.0,-0.6800003051757812
2020-06-21,2020-06-27,58.43999786376958,-546.0,-1.6399993896484388
2020-06-28,2020-07-04,42.00000457763667,127.99993896484375,2.2399996280670154
2020-07-05,2020-07-11,-1.6,24.00006103515625,-0.2800005435943575
2020-07-12,2020-07-18,96.0,-22.0,17.820001220703126
2020-07-19,2020-07-25,8.25,-34.0,3.0399993896484374
