first_day_in_week,last_day_in_week,FRSM_main_symb_weekly_mean_diff,GSFI.TA_weekly_mean_diff_-0.35
2019-05-12,2019-05-18,1.55999755859375,-1.4
2019-05-19,2019-05-25,-2.15999755859375,22.2
2019-05-26,2019-06-01,3.1,27.8
2019-06-02,2019-06-08,3.34000244140625,-18.8
2019-06-09,2019-06-15,-1.24000244140625,21.8
2019-06-16,2019-06-22,1.0,-46.0
2019-06-23,2019-06-29,-3.25999755859375,-31.2
2019-06-30,2019-07-06,-3.9800048828125,0.6
2019-07-07,2019-07-13,12.6199951171875,-19.8
2019-07-14,2019-07-20,-19.27999267578125,7.8
2019-07-21,2019-07-27,-1.34000244140625,1.2
2019-07-28,2019-08-03,6.3800048828125,3.2
2019-08-04,2019-08-10,-10.04000244140625,35.0
2019-08-11,2019-08-17,0.5,-5.8
2019-08-18,2019-08-24,3.4199951171875,-87.2
2019-08-25,2019-08-31,8.12000732421875,-11.4
2019-09-01,2019-09-07,8.37999267578125,-5.2
2019-09-08,2019-09-14,-9.925003051757812,-12.0
2019-09-15,2019-09-21,16.7,-12.25
2019-09-22,2019-09-28,-12.29998779296875,-25.2
2019-09-29,2019-10-05,3.4333292643229165,-5.0
2019-10-06,2019-10-12,-1.4666544596354167,-6.666666666666667
2019-10-13,2019-10-19,5.699991861979168,-7.666666666666667
2019-10-20,2019-10-26,-5.8,32.333333333333336
2019-10-27,2019-11-02,-0.7,-9.0
2019-11-03,2019-11-09,0.7199951171875,-6.6
2019-11-10,2019-11-16,-0.65999755859375,5.2
2019-11-17,2019-11-23,8.4800048828125,-35.2
2019-11-24,2019-11-30,-1.92000732421875,-8.4
2019-12-01,2019-12-07,2.44000244140625,-1.8
2019-12-08,2019-12-14,0.82000732421875,-3.0
2019-12-15,2019-12-21,4.3199951171875,-5.6
2019-12-22,2019-12-28,2.3,-32.0
2019-12-29,2020-01-04,0.3199951171875,13.2
2020-01-05,2020-01-11,-7.67999267578125,-7.2
2020-01-12,2020-01-18,-0.8800048828125,-1.0
2020-01-19,2020-01-25,7.64000244140625,-5.8
2020-01-26,2020-02-01,5.0,-10.4
2020-02-02,2020-02-08,4.04000244140625,-7.8
2020-02-09,2020-02-15,-4.5,13.8
2020-02-16,2020-02-22,-13.94000244140625,2.0
2020-02-23,2020-02-29,-1.25,-22.0
2020-03-01,2020-03-07,-6.1750030517578125,-25.0
2020-03-08,2020-03-14,20.84000244140625,-126.75
2020-03-15,2020-03-21,-4.85999755859375,-7.8
2020-03-22,2020-03-28,-0.84000244140625,16.6
2020-03-29,2020-04-04,24.633341471354125,-19.4
2020-04-05,2020-04-11,5.5,57.333333333333336
2020-04-12,2020-04-18,5.719995117187523,29.0
2020-04-19,2020-04-25,-6.23333740234375,19.6
2020-04-26,2020-05-02,6.74000244140625,11.666666666666666
2020-05-03,2020-05-09,-5.05999755859375,-15.2
2020-05-10,2020-05-16,7.25999755859375,-7.4
2020-05-17,2020-05-23,28.5,3.0
2020-05-24,2020-05-30,13.4,-31.25
2020-05-31,2020-06-06,-14.5,51.6
2020-06-07,2020-06-13,-2.4,65.5
2020-06-14,2020-06-20,-9.0,16.4
2020-06-21,2020-06-27,-11.600008392333985,-39.0
2020-06-28,2020-07-04,23.000008392333985,-52.39998168945313
2020-07-05,2020-07-11,17.2,-40.800018310546875
2020-07-12,2020-07-18,16.0,7.0
2020-07-19,2020-07-25,0.25,-20.0
