first_day_in_week,last_day_in_week,SMNIN_main_symb_weekly_mean_diff,BCOM.TA_weekly_mean_diff_-0.37
2019-03-10,2019-03-16,9.039990234375,-34.8
2019-03-17,2019-03-23,20.92000732421875,-149.6
2019-03-24,2019-03-30,-7.2800048828125,-4.3
2019-03-31,2019-04-06,-0.6,-24.5
2019-04-07,2019-04-13,-3.4199951171875,15.24000244140625
2019-04-14,2019-04-20,0.24000244140625,-9.82000732421875
2019-04-21,2019-04-27,-4.160009765625,9.360009765625
2019-04-28,2019-05-04,-0.9,-8.2800048828125
2019-05-05,2019-05-11,6.64000244140625,0.5800048828125
2019-05-12,2019-05-18,2.3,-11.5
2019-05-19,2019-05-25,6.4,-13.1800048828125
2019-05-26,2019-06-01,-6.97999267578125,-19.540002441406237
2019-06-02,2019-06-08,4.05999755859375,3.2
2019-06-09,2019-06-15,-3.25999755859375,23.899999999999988
2019-06-16,2019-06-22,-0.5,15.3
2019-06-23,2019-06-29,6.5199951171875,-9.25999755859375
2019-06-30,2019-07-06,-0.7800048828125,-18.959997558593773
2019-07-07,2019-07-13,-2.6999918619791665,4.840002441406273
2019-07-21,2019-07-27,-3.1800048828125,-6.759997558593772
2019-07-28,2019-08-03,0.7,-12.040002441406227
2019-08-04,2019-08-10,0.32000732421875,-4.420001220703125
2019-08-11,2019-08-17,-3.82000732421875,-9.339996337890625
2019-08-18,2019-08-24,-1.45999755859375,10.919995117187511
2019-08-25,2019-08-31,-22.699999999999974,-10.439996337890637
2019-09-01,2019-09-07,3.6,-2.74000244140625
2019-09-08,2019-09-14,-2.0,3.960003662109375
2019-09-15,2019-09-21,4.359997558593728,-1.2250061035156108
2019-09-22,2019-09-28,0.0,4.6600036621093635
2019-09-29,2019-10-05,1.1333414713541667,-3.400009155273409
2019-10-06,2019-10-12,0.9000040690104166,-3.399993896484394
2019-10-13,2019-10-19,-3.0333455403645835,5.866668701171875
2019-10-20,2019-10-26,-5.7199951171875,-5.200002034505208
2019-10-27,2019-11-02,-1.6,-4.1
2019-11-03,2019-11-09,0.0,30.260003662109376
2019-11-10,2019-11-16,-1.2,12.3
2019-11-17,2019-11-23,-0.0199951171875,-9.82000732421875
2019-11-24,2019-11-30,-0.1800048828125,4.6800048828125
2019-12-01,2019-12-07,-0.6400024414062273,10.0199951171875
2019-12-08,2019-12-14,-4.439996337890649,-2.87999267578125
2019-12-15,2019-12-21,-2.24000244140625,-12.3800048828125
2019-12-22,2019-12-28,-3.6,14.2800048828125
2019-12-29,2020-01-04,1.260003662109375,-5.9800048828125
2020-01-05,2020-01-11,0.0,-5.9
2020-01-12,2020-01-18,-1.54000244140625,-5.2800048828125
2020-01-19,2020-01-25,1.7,4.8800048828125
2020-01-26,2020-02-01,-4.8,-8.6199951171875
2020-02-02,2020-02-08,2.820001220703125,-10.220007324218738
2020-02-09,2020-02-15,4.479998779296875,6.100000000000011
2020-02-16,2020-02-22,5.5,-3.9399963378906477
2020-02-23,2020-02-29,-7.833333333333332,-10.860003662109364
2020-03-08,2020-03-14,-4.579998779296875,-19.675003051757812
2020-03-15,2020-03-21,1.079998779296875,-2.05999755859375
2020-03-22,2020-03-28,-0.9,4.5
2020-03-29,2020-04-04,4.766662597656269,-3.820001220703125
2020-04-05,2020-04-11,4.666666666666667,8.700002034505209
2020-04-12,2020-04-18,0.8600036621093636,2.133331298828125
2020-04-19,2020-04-25,1.5999959309895833,5.44000244140625
2020-04-26,2020-05-02,-5.45999755859375,13.233327229817727
2020-05-03,2020-05-09,-0.9600036621093636,16.040002441406237
2020-05-10,2020-05-16,4.940002441406239,3.320001220703125
2020-05-17,2020-05-23,12.324996948242214,7.679998779296875
2020-05-24,2020-05-30,-2.1599975585937727,0.07499694824221592
2020-05-31,2020-06-06,3.225006103515625,28.899999999999977
2020-06-07,2020-06-13,-3.1800048828125,-6.8499908447265625
2020-06-14,2020-06-20,-2.459997558593773,50.07999267578125
2020-06-21,2020-06-27,-6.200000381469704,-21.24000244140625
2020-06-28,2020-07-04,1.1599979400634766,9.560001373291016
2020-07-05,2020-07-11,1.9599975585937612,-13.039994049072266
2020-07-12,2020-07-18,1.0800048828124886,0.94000244140625
2020-07-19,2020-07-25,1.0499954223632812,-15.3800048828125
