first_day_in_week,last_day_in_week,EMCO_main_symb_weekly_mean_diff,SANO1.TA_weekly_mean_diff_0.36
2019-03-10,2019-03-16,2.4,18.0
2019-03-17,2019-03-23,2.4,-6.0
2019-03-24,2019-03-30,13.6,-2.0
2019-03-31,2019-04-06,8.0,-102.0
2019-04-07,2019-04-13,-14.6,-16.0
2019-04-14,2019-04-20,2.8,-32.0
2019-04-21,2019-04-27,3.8,106.0
2019-04-28,2019-05-04,1.0,16.0
2019-05-05,2019-05-11,8.2,-8.0
2019-05-12,2019-05-18,-1.8,-52.0
2019-05-19,2019-05-25,16.4,72.0
2019-05-26,2019-06-01,-7.2,106.0
2019-06-02,2019-06-08,5.6,26.0
2019-06-09,2019-06-15,5.2,40.0
2019-06-16,2019-06-22,-2.4,92.0
2019-06-23,2019-06-29,2.6,-24.0
2019-06-30,2019-07-06,-16.2,30.0
2019-07-07,2019-07-13,1.8,18.0
2019-07-14,2019-07-20,8.8,36.0
2019-07-21,2019-07-27,15.0,18.0
2019-07-28,2019-08-03,-1.2,-12.0
2019-08-04,2019-08-10,-5.2,28.0
2019-08-11,2019-08-17,-34.6,68.0
2019-08-18,2019-08-24,-24.6,4.0
2019-08-25,2019-08-31,8.6,-22.0
2019-09-01,2019-09-07,8.6,6.0
2019-09-08,2019-09-14,7.25,-42.0
2019-09-15,2019-09-21,1.6,-22.5
2019-09-22,2019-09-28,15.0,20.0
2019-09-29,2019-10-05,-2.333333333333333,185.0
2019-10-06,2019-10-12,0.3333333333333333,196.66666666666666
2019-10-13,2019-10-19,-11.666666666666664,110.0
2019-10-20,2019-10-26,-9.4,63.333333333333336
2019-10-27,2019-11-02,-10.4,-20.0
2019-11-03,2019-11-09,-1.0,-98.0
2019-11-10,2019-11-16,15.6,80.0
2019-11-17,2019-11-23,-3.6,30.0
2019-11-24,2019-11-30,10.0,170.0
2019-12-01,2019-12-07,6.2,112.0
2019-12-08,2019-12-14,-5.2,-100.0
2019-12-15,2019-12-21,1.4,-174.0
2019-12-22,2019-12-28,2.6,-86.0
2019-12-29,2020-01-04,3.8,80.0
2020-01-05,2020-01-11,21.8,130.0
2020-01-12,2020-01-18,-8.8,-12.0
2020-01-19,2020-01-25,0.6,56.0
2020-01-26,2020-02-01,-15.4,-144.0
2020-02-02,2020-02-08,3.8,-78.0
2020-02-09,2020-02-15,7.6,-30.0
2020-02-16,2020-02-22,-17.4,180.0
2020-02-23,2020-02-29,-31.25,-360.0
2020-03-01,2020-03-07,-64.875,102.5
2020-03-08,2020-03-14,-38.0199951171875,-690.0
2020-03-15,2020-03-21,36.37999267578125,40.0
2020-03-22,2020-03-28,5.859997558593773,214.0
2020-03-29,2020-04-04,29.46667480468746,236.0
2020-04-05,2020-04-11,18.33333333333333,176.66666666666666
2020-04-12,2020-04-18,3.8,643.3333333333334
2020-04-19,2020-04-25,42.0,446.0
2020-04-26,2020-05-02,8.2,-26.666666666666668
2020-05-03,2020-05-09,-8.6,-294.0
2020-05-10,2020-05-16,-1.0,-78.0
2020-05-17,2020-05-23,-9.0,270.0
2020-05-24,2020-05-30,1.4,-5.0
2020-05-31,2020-06-06,-2.25,-12.0
2020-06-07,2020-06-13,28.0,5.0
2020-06-14,2020-06-20,-15.0,-8.0
2020-06-21,2020-06-27,-1.7999992370605469,-270.0
2020-06-28,2020-07-04,-1.0000007629394532,-63.999877929688225
2020-07-05,2020-07-11,10.2,97.99987792968822
2020-07-12,2020-07-18,-1.0,-56.0
2020-07-19,2020-07-25,-16.0,22.0
