first_day_in_week,last_day_in_week,TDGN_main_symb_weekly_mean_diff,BRAM.TA_weekly_mean_diff_-0.39,GPGB.TA_weekly_mean_diff_-0.42
2019-03-10,2019-03-16,0.0,0.920001220703125,1.0
2019-03-17,2019-03-23,-0.12000007629394532,5.25999755859375,5.1199951171875
2019-03-24,2019-03-30,0.33999996185302694,1.160003662109375,2.22000732421875
2019-03-31,2019-04-06,0.0,-0.360003662109375,1.839990234375
2019-04-07,2019-04-13,0.12000007629394603,-1.35999755859375,2.1
2019-04-14,2019-04-20,0.11999988555908167,2.55999755859375,0.04000244140625
2019-04-21,2019-04-27,-0.21999988555908168,4.060003662109375,2.8
2019-04-28,2019-05-04,0.11999988555908167,-2.920001220703125,4.15999755859375
2019-05-05,2019-05-11,-0.11999988555908167,-3.2,0.72000732421875
2019-05-12,2019-05-18,-0.020000076293946026,-5.0,-2.52000732421875
2019-05-19,2019-05-25,0.0,0.15999755859375,0.960009765625
2019-05-26,2019-06-01,-0.03999996185302699,-0.739996337890625,-0.560009765625
2019-06-02,2019-06-08,-0.13999996185302696,-0.74000244140625,-4.2199951171875
2019-06-09,2019-06-15,0.23999996185302697,-0.720001220703125,-1.0
2019-06-16,2019-06-22,-0.020000076293945308,-0.1,-2.0
2019-06-23,2019-06-29,0.12000007629394532,1.460003662109375,0.95999755859375
2019-06-30,2019-07-06,0.0,0.039996337890625,13.24000244140625
2019-07-07,2019-07-13,-0.2,-0.2,-3.9800048828125
2019-07-14,2019-07-20,0.16000003814697303,-0.079998779296875,-4.2199951171875
2019-07-21,2019-07-27,0.033333142598469465,-4.9,-4.1800048828125
2019-07-28,2019-08-03,0.0,0.55999755859375,0.4
2019-08-11,2019-08-17,0.0,-5.119998168945324,-1.64000244140625
2019-08-18,2019-08-24,-0.1399999618530277,0.1399993896484375,0.02000732421875
2019-08-25,2019-08-31,0.2399999618530277,-1.4,-4.1800048828125
2019-09-01,2019-09-07,0.18000011444091832,2.120001220703119,-7.95999755859375
2019-09-08,2019-09-14,-1.1500000953674323,8.77999877929688,29.94000244140625
2019-09-29,2019-10-05,0.4666668574015305,-2.3000030517578125,-20.5
2019-10-06,2019-10-12,0.23333326975504615,-2.100006103515625,5.699991861979167
2019-10-13,2019-10-19,-0.4333333969116217,2.4666748046875,11.433349609375
2019-10-20,2019-10-26,-0.2799999237060547,-0.100006103515625,7.833333333333333
2019-10-27,2019-11-02,-0.12000007629394532,-0.639996337890625,2.8199951171875
2019-11-03,2019-11-09,0.1799999237060547,-2.7800048828125,4.0800048828125
2019-11-10,2019-11-16,-0.2799999237060547,1.260003662109375,4.6
2019-11-17,2019-11-23,0.03999996185302699,1.85999755859375,4.37999267578125
2019-11-24,2019-11-30,-0.0600000381469723,0.5,6.12000732421875
2019-12-01,2019-12-07,0.040000152587890615,-0.479998779296875,3.1199951171875
2019-12-08,2019-12-14,0.1799999237060547,1.4,0.5
2019-12-15,2019-12-21,-0.12000007629394532,-0.2,0.6199951171875
2019-12-22,2019-12-28,0.12000007629394532,0.220001220703125,-7.2199951171875
2019-12-29,2020-01-04,-0.1799999237060547,3.639996337890625,6.44000244140625
2020-01-05,2020-01-11,-0.0600000381469723,0.920001220703125,0.67999267578125
2020-01-12,2020-01-18,0.2799999237060539,1.260003662109375,-0.039990234375
2020-01-19,2020-01-25,-0.07999992370605398,1.5199951171875,21.07999267578125
2020-01-26,2020-02-01,0.0,-0.85999755859375,-7.25999755859375
2020-02-02,2020-02-08,-0.08000011444091833,-5.620001220703125,-15.3199951171875
2020-02-09,2020-02-15,0.1600000381469723,-1.45999755859375,0.0199951171875
2020-02-16,2020-02-22,-0.03999996185302699,-0.54000244140625,0.0
2020-02-23,2020-02-29,0.25,-3.9999999999999885,-4.35999755859375
2020-03-01,2020-03-07,0.0,-9.099998474121108,3.5999908447265625
2020-03-08,2020-03-14,0.020000076293945308,-6.025001525878899,-14.024993896484375
2020-03-15,2020-03-21,-0.12000007629394532,-0.7799987792968807,-16.54000244140625
2020-03-22,2020-03-28,-0.43999996185302737,8.22000122070312,-2.94000244140625
2020-03-29,2020-04-04,0.3333333333333333,1.3799987792968806,17.5800048828125
2020-04-26,2020-05-02,0.25,-1.6333363850911364,5.099995930989583
2020-05-03,2020-05-09,0.04999995231628418,-0.1399993896484375,-8.4199951171875
2020-06-07,2020-06-13,-0.1,10.575000762939453,2.524993896484375
2020-06-14,2020-06-20,0.039999961853027344,4.979998779296875,0.0800048828125
2020-06-21,2020-06-27,5.364417994258019e-08,-2.6,-3.5
2020-06-28,2020-07-04,0.2,1.6999988555908316,1.7400039672851562
2020-07-19,2020-07-25,0.125,5.420001220703125,0.94000244140625
