first_day_in_week,last_day_in_week,VNTZ_main_symb_weekly_mean_diff,MDPR.TA_weekly_mean_diff_0.36,ZUR.TA_weekly_mean_diff_0.36,DRAL.TA_weekly_mean_diff_-0.39,MNIN.TA_weekly_mean_diff_0.39,LAPD.TA_weekly_mean_diff_0.41,CFX.TA_weekly_mean_diff_-0.42,FIBIH.TA_weekly_mean_diff_-0.47,MDTR.TA_weekly_mean_diff_0.47,MGOR.TA_weekly_mean_diff_0.51,MRIN.TA_weekly_mean_diff_0.53,ALD.TA_weekly_mean_diff_0.55,MISH.TA_weekly_mean_diff_0.57,PLTF.TA_weekly_mean_diff_0.72
2019-03-03,2019-03-09,0.01380000114440918,-2.079998779296875,5.2,4.6,0.160009765625,-5.5900146484375,0.04000244140622726,-22.0,-3.8199951171875,-35.4,2.4800048828125,-5.020001220703125,27.6,-2.3400009155273436
2019-03-10,2019-03-16,0.007199996709823608,1.479998779296875,2.2,15.0,5.0,1.397998046875,-3.6599975585937727,10.0,7.2,40.4,3.479992675781273,-3.439996337890625,134.8,0.18000030517578125
2019-03-17,2019-03-23,-0.003799998760223389,3.7799987792968865,1.8,22.8,2.139990234375,6.5880126953125,0.05999755859377274,24.0,2.0199951171875,12.2,-0.6,-2.74000244140625,-6.8,2.1399993896484375
2019-03-24,2019-03-30,-0.003600001335144043,4.560003662109364,-8.0,49.2,-13.77999267578125,0.4,-4.979998779296875,-54.0,-7.9199951171875,-3.4,-7.600000000000011,-4.920001220703114,-34.0,-2.3399993896484377
2019-03-31,2019-04-06,-0.0005999982357025146,3.15999755859375,-6.0,-59.0,6.45999755859375,18.7639892578125,-2.479998779296875,24.0,-0.8,49.4,6.959997558593739,-2.2000000000000055,-21.8,5.239999389648441
2019-04-07,2019-04-13,-0.0054000020027160645,5.079998779296886,7.2,79.0,6.64000244140625,2.19599609375,-1.960003662109375,118.0,3.4,10.0,-1.0,4.120001220703119,-19.8,1.3
2019-04-14,2019-04-20,0.005200004577636719,2.7,2.6,18.4,-2.45999755859375,-4.1919921875,0.2799987792968864,-38.0,-1.4199951171875,3.2,3.640002441406273,6.65999755859375,-40.6,-2.2
2019-04-21,2019-04-27,-0.006000000238418579,-1.5399963378906363,4.0,25.8,-4.0,0.197998046875,1.9,22.0,4.25999755859375,7.0,2.8200073242187274,6.920001220703125,20.8,0.3400009155273409
2019-04-28,2019-05-04,-0.0016000032424926755,-2.879998779296875,-7.4,17.4,-4.7,-10.1800048828125,0.24000244140623864,-88.0,-2.04000244140625,-37.2,-0.1,1.0,-33.0,-3.8
2019-05-05,2019-05-11,-0.0033999979496002197,1.079998779296875,5.0,1.0,6.47999267578125,5.3900146484375,-5.6,6.0,0.84000244140625,8.4,-3.2,1.7,-34.8,0.45999908447265625
