first_day_in_week,last_day_in_week,SNCM_main_symb_weekly_mean_diff,ALRPR.TA_weekly_mean_diff_0.44_INT_MRIN.TA_weekly_mean_diff_0.43_corr_0.72,SHOM.TA_weekly_mean_diff_0.43_INT_OPAL.TA_weekly_mean_diff_0.41_corr_0.77
2019-03-10,2019-03-16,-0.2399993896484375,222.71953125000147,-0.7920007324218818
2019-03-17,2019-03-23,1.2,-0.0,3.052798144519329
2019-03-24,2019-03-30,-0.8,-349.60000000000053,-0.857991943359375
2019-03-31,2019-04-06,-0.2,83.51997070312487,39.36677482910454
2019-04-07,2019-04-13,1.6,14.0,16.864429711923005
2019-04-14,2019-04-20,0.7600006103515625,327.60021972656455,-0.8432056396454574
2019-04-21,2019-04-27,-1.6399993896484433,39.48010253906218,3.365997924804687
2019-04-28,2019-05-04,0.27999877929688066,7.0,17.899993896484375
2019-05-05,2019-05-11,-1.2799987792968808,-115.2,-2.8644063964858653
2019-05-12,2019-05-18,-0.9600006103515568,-21.96013183593709,0.032402001954615116
2019-05-19,2019-05-25,0.6199981689453182,163.83984374999855,7.866002197265626
2019-05-26,2019-06-01,-1.3799987792968806,2154.959399414063,3.270001220703125
2019-06-02,2019-06-08,-0.0600006103515625,-115.2000732421875,8.64
2019-06-09,2019-06-15,-0.5199981689453181,-535.7601806640624,3.820001220703125
2019-06-16,2019-06-22,-0.8800018310546818,342.0,1.3055901855602863
2019-06-23,2019-06-29,-0.060000610351556814,62.4000244140625,6.04799560546875
2019-06-30,2019-07-06,-0.3399993896484432,936.3598022460975,4.621586767584135
2019-07-07,2019-07-13,-0.4,125.39999999999999,-1.2100006103515626
2019-07-14,2019-07-20,0.3,-76.16174316405709,0.24319782715291216
2019-07-21,2019-07-27,-0.2399993896484375,-83.63991699218673,7.390375146493316
2019-07-28,2019-08-03,0.6,-285.7598144531233,2.4056077636778355
2019-08-04,2019-08-10,-0.6600006103515625,-555.3605712890625,3.7064065185561774
2019-08-11,2019-08-17,-1.4600006103515568,54.719860839843754,-0.114000244140625
2019-08-18,2019-08-24,-2.9799987792968805,-22.40039062499909,-39.7799682617189
2019-08-25,2019-08-31,1.7,-186.31995849609416,-7.740014648437363
2019-09-01,2019-09-07,-0.5,0.0,18.479992675781318
2019-09-08,2019-09-14,-0.3250007629394531,158.40021972656248,5.32479179687798
2019-09-15,2019-09-21,-2.1199981689453127,-277.8752899169949,-0.25999855040572584
2019-09-22,2019-09-28,1.6999969482421875,10.800048828124659,3.49200439453125
2019-09-29,2019-10-05,2.1666666666666665,175.0,-6.239998779259622
2019-10-06,2019-10-12,1.9666646321614585,2383.336385091141,4.830016886401508
2019-10-13,2019-10-19,0.10000101725260416,-61.33327907986111,1.833343505859375
2019-10-20,2019-10-26,0.1600006103515625,-68.99963378906591,11.022189670138888
2019-10-27,2019-11-02,-0.379998779296875,124.40014648437455,12.734786303713918
2019-11-03,2019-11-09,0.5199981689453125,-730.3197509765624,4.809611669927835
2019-11-10,2019-11-16,-0.5600006103515625,185.7601318359375,4.986402124017476
2019-11-17,2019-11-23,0.64000244140625,146.63974609375,12.332406762689352
2019-11-24,2019-11-30,-2.54000244140625,-567.6,-3.1200073242187503
2019-12-01,2019-12-07,-1.2,22.4000244140625,-6.589184399396247
2019-12-08,2019-12-14,-0.55999755859375,42.400146484375,10.301975097656308
2019-12-15,2019-12-21,1.8399993896484372,40.8,44.22155966795981
2019-12-22,2019-12-28,1.1399993896484375,-70.5596923828125,5.59361191406846
2019-12-29,2020-01-04,-1.079998779296875,404.400146484375,59.19196411132813
2020-01-05,2020-01-11,0.1199981689453125,1528.5601074218748,207.0000000000002
2020-01-12,2020-01-18,-1.2,6704.721020507803,10.095617040991684
2020-01-19,2020-01-25,-1.2199981689453123,-115.91938476562692,0.20159750975669385
2020-01-26,2020-02-01,-2.420001220703125,3995.1994628906255,11.559620825201273
2020-02-02,2020-02-08,1.6399993896484375,-1041.6000000000001,-32.82764267578704
2020-02-09,2020-02-15,1.0,-666.0,-15.908804003894256
2020-02-16,2020-02-22,-2.0600006103515627,2921.6000000000004,103.72633706055582
2020-02-23,2020-02-29,-2.274997711181648,17038.2,57.11999999999999
2020-03-01,2020-03-07,-12.650001525878901,25031.25,859.5624351501465
2020-03-08,2020-03-14,-2.279998779296875,76102.625,1899.3875465393062
2020-03-15,2020-03-21,1.3599990844726562,435.5359204101563,30.258380395509313
2020-03-22,2020-03-28,0.18000030517578125,5425.92,412.09602294921876
2020-03-29,2020-04-04,2.333333333333333,4173.9715502929685,-39.41280314940967
2020-04-05,2020-04-11,4.833333333333333,-4702.222222222223,26.293394910999254
2020-04-12,2020-04-18,-0.6,1425.0,-3.333409627278409
2020-04-19,2020-04-25,2.9333343505859326,615.4000000000001,17.46325068362045
2020-04-26,2020-05-02,-1.0400009155273409,8229.601318359375,164.60864922424986
2020-05-03,2020-05-09,-2.6199996948242186,768.4084643554686,-49.60356247559189
2020-05-10,2020-05-16,1.1600006103515597,3913.6972265624995,179.72152402341365
2020-05-17,2020-05-23,0.649999618530277,1499.3885961914066,-2.7600000000000002
2020-05-24,2020-05-30,-1.4,-0.0,18.393722534179688
2020-05-31,2020-06-06,-0.22500038146972656,-150.4,0.5151950195431709
2020-06-07,2020-06-13,1.0199996948242187,3792.6568031311035,-15.270581741351634
2020-06-14,2020-06-20,-1.6,1236.48,3.7152360351383686
2020-06-21,2020-06-27,0.8000003814697265,918.96,19.571198193356363
2020-06-28,2020-07-04,-0.12000007629394532,253.43975830078125,-47.150006885528775
2020-07-05,2020-07-11,0.0,81.9681992185861,21.23518669585683
2020-07-12,2020-07-18,-0.7800003051757812,-19.9680078125,1.5576070312410668
2020-07-19,2020-07-25,-0.25,-37.96,16.93438613280649
